1,石丸 海渡,石丸 海渡.1,2,山田 祐也,山田 祐也.1,3,定松 勇樹,定松 勇樹.1,4,永井 彪也,永井 彪也.1,5,土屋 智則,土屋 智則.1,6,竹井 貴史,竹井 貴史.1
2.0,3.0,11.5,1.0,3.0,60.0,1.0,2.0,61.9,1.0,2.0,240.7,1.0,2.0,107.0,1.0,2.0,787.3
2.0,4.0,16.4,1.0,4.0,75.5,1.0,4.0,48.2,1.0,3.0,209.9,1.0,3.0,61.6,1.0,3.0,575.7
2.0,5.0,16.7,1.0,5.0,75.4,1.0,5.0,28.2,1.0,5.0,159.5,1.0,4.0,135.2,1.0,4.0,869.8
2.0,6.0,48.3,1.0,6.0,157.2,1.0,6.0,79.3,1.0,6.0,229.0,1.0,6.0,99.4,1.0,5.0,414.9
3.0,2.0,13.5,3.0,1.0,159.8,2.0,1.0,135.6,2.0,1.0,439.6,2.0,1.0,239.3,2.0,1.0,1152.0
3.0,4.0,12.4,3.0,4.0,289.5,2.0,4.0,235.3,2.0,3.0,658.2,2.0,3.0,336.8,2.0,3.0,1647.0
3.0,5.0,8.4,3.0,5.0,248.3,2.0,5.0,172.7,2.0,5.0,554.1,2.0,4.0,596.1,2.0,4.0,1974.0
3.0,6.0,27.3,3.0,6.0,524.4,2.0,6.0,304.6,2.0,6.0,755.0,2.0,6.0,455.8,2.0,5.0,1341.0
4.0,2.0,28.2,4.0,1.0,258.7,4.0,1.0,127.3,3.0,1.0,319.0,3.0,1.0,100.5,3.0,1.0,899.5
4.0,3.0,20.6,4.0,3.0,419.2,4.0,2.0,273.2,3.0,2.0,635.4,3.0,2.0,288.2,3.0,2.0,1876.0
4.0,5.0,24.6,4.0,5.0,414.3,4.0,5.0,125.2,3.0,5.0,362.3,3.0,4.0,314.1,3.0,4.0,1717.0
4.0,6.0,47.1,4.0,6.0,660.4,4.0,6.0,250.1,3.0,6.0,561.8,3.0,6.0,249.3,3.0,5.0,1059.0
5.0,2.0,24.1,5.0,1.0,229.5,5.0,1.0,57.7,5.0,1.0,268.7,4.0,1.0,321.1,4.0,1.0,1350.0
5.0,3.0,14.6,5.0,3.0,320.7,5.0,2.0,159.7,5.0,2.0,521.7,4.0,2.0,664.7,4.0,2.0,2305.0
5.0,4.0,30.6,5.0,4.0,478.5,5.0,4.0,128.1,5.0,3.0,341.3,4.0,3.0,446.4,4.0,3.0,1974.0
5.0,6.0,31.3,5.0,6.0,562.9,5.0,6.0,139.2,5.0,6.0,367.2,4.0,6.0,406.0,4.0,5.0,1409.0
6.0,2.0,125.7,6.0,1.0,694.4,6.0,1.0,326.3,6.0,1.0,536.5,6.0,1.0,192.4,5.0,1.0,480.4
6.0,3.0,89.2,6.0,3.0,1148.0,6.0,2.0,604.4,6.0,2.0,993.8,6.0,2.0,436.1,5.0,2.0,1279.0
6.0,4.0,121.1,6.0,4.0,1229.0,6.0,4.0,568.7,6.0,3.0,924.1,6.0,3.0,313.3,5.0,3.0,887.6
6.0,5.0,82.3,6.0,5.0,959.2,6.0,5.0,340.0,6.0,5.0,659.7,6.0,4.0,475.8,5.0,4.0,1116.0
