1,山田 丈,山田 丈.1,2,大神 康司,大神 康司.1,3,黒野 元基,黒野 元基.1,4,北山 康介,北山 康介.1,5,守屋 大地,守屋 大地.1,6,志道 吉和,志道 吉和.1
2.0,3.0,7.5,1.0,3.0,39.4,1.0,2.0,41.0,1.0,2.0,40.4,1.0,2.0,295.0,1.0,2.0,1304.0
2.0,4.0,11.2,1.0,4.0,54.3,1.0,4.0,33.1,1.0,3.0,41.5,1.0,3.0,323.7,1.0,3.0,2246.0
2.0,5.0,26.8,1.0,5.0,111.9,1.0,5.0,67.4,1.0,5.0,54.1,1.0,4.0,272.0,1.0,4.0,1915.0
2.0,6.0,142.6,1.0,6.0,328.1,1.0,6.0,247.8,1.0,6.0,152.6,1.0,6.0,527.1,1.0,5.0,1935.0
3.0,2.0,7.8,3.0,1.0,80.7,2.0,1.0,74.1,2.0,1.0,81.1,2.0,1.0,443.0,2.0,1.0,1910.0
3.0,4.0,8.2,3.0,4.0,98.7,2.0,4.0,82.8,2.0,3.0,103.0,2.0,3.0,655.3,2.0,3.0,2298.0
3.0,5.0,20.1,3.0,5.0,214.8,2.0,5.0,168.6,2.0,5.0,127.0,2.0,4.0,566.9,2.0,4.0,1600.0
3.0,6.0,117.2,3.0,6.0,674.8,2.0,6.0,502.3,2.0,6.0,296.4,2.0,6.0,966.6,2.0,5.0,2274.0
4.0,2.0,13.5,4.0,1.0,121.8,4.0,1.0,63.7,3.0,1.0,82.7,3.0,1.0,529.9,3.0,1.0,2420.0
4.0,3.0,13.2,4.0,3.0,134.0,4.0,2.0,94.0,3.0,2.0,118.4,3.0,2.0,757.6,3.0,2.0,2646.0
4.0,5.0,29.8,4.0,5.0,285.0,4.0,5.0,136.8,3.0,5.0,158.1,3.0,4.0,720.4,3.0,4.0,2440.0
4.0,6.0,118.2,4.0,6.0,611.2,4.0,6.0,324.0,3.0,6.0,350.7,3.0,6.0,1420.0,3.0,5.0,3288.0
5.0,2.0,62.7,5.0,1.0,372.9,5.0,1.0,237.5,5.0,1.0,70.3,4.0,1.0,260.2,4.0,1.0,1848.0
5.0,3.0,59.1,5.0,3.0,451.1,5.0,2.0,353.0,5.0,2.0,98.8,4.0,2.0,387.9,4.0,2.0,1650.0
5.0,4.0,83.2,5.0,4.0,525.6,5.0,4.0,315.7,5.0,3.0,127.6,4.0,3.0,489.0,4.0,3.0,2303.0
5.0,6.0,233.1,5.0,6.0,1035.0,5.0,6.0,769.2,5.0,6.0,123.9,4.0,6.0,420.8,4.0,5.0,1485.0
6.0,2.0,396.0,6.0,1.0,1194.0,6.0,1.0,877.0,6.0,1.0,371.7,6.0,1.0,1229.0,5.0,1.0,2784.0
6.0,3.0,428.1,6.0,3.0,1392.0,6.0,2.0,1194.0,6.0,2.0,459.6,6.0,2.0,1409.0,5.0,2.0,2035.0
6.0,4.0,450.7,6.0,4.0,1169.0,6.0,4.0,949.4,6.0,3.0,575.9,6.0,3.0,1570.0,5.0,3.0,2742.0
6.0,5.0,494.1,6.0,5.0,1742.0,6.0,5.0,1323.0,6.0,5.0,311.0,6.0,4.0,882.9,5.0,4.0,1530.0
