1,原田　才一郎,原田　才一郎.1,2,田村 慶,田村 慶.1,3,中野 仁照,中野 仁照.1,4,久永 祥平,久永 祥平.1,5,坂本 雄紀,坂本 雄紀.1,6,登玉 隼百,登玉 隼百.1
2.0,3.0,7.7,1.0,3.0,77.3,1.0,2.0,72.2,1.0,2.0,136.3,1.0,2.0,409.2,1.0,2.0,1106.0
2.0,4.0,12.9,1.0,4.0,99.3,1.0,4.0,40.4,1.0,3.0,111.8,1.0,3.0,341.3,1.0,3.0,804.6
2.0,5.0,18.8,1.0,5.0,153.9,1.0,5.0,50.5,1.0,5.0,124.1,1.0,4.0,390.0,1.0,4.0,1162.0
2.0,6.0,39.0,1.0,6.0,219.8,1.0,6.0,86.3,1.0,6.0,166.7,1.0,6.0,527.5,1.0,5.0,1486.0
3.0,2.0,7.9,3.0,1.0,236.7,2.0,1.0,245.2,2.0,1.0,346.8,2.0,1.0,906.8,2.0,1.0,1839.0
3.0,4.0,6.7,3.0,4.0,455.4,2.0,4.0,445.7,2.0,3.0,629.3,2.0,3.0,1779.0,2.0,3.0,2809.0
3.0,5.0,9.9,3.0,5.0,590.8,2.0,5.0,554.9,2.0,5.0,654.7,2.0,4.0,1528.0,2.0,4.0,2189.0
3.0,6.0,22.2,3.0,6.0,740.3,2.0,6.0,670.1,2.0,6.0,723.8,2.0,6.0,1853.0,2.0,5.0,3304.0
4.0,2.0,17.6,4.0,1.0,275.3,4.0,1.0,132.7,3.0,1.0,219.7,3.0,1.0,683.6,3.0,1.0,1239.0
4.0,3.0,13.5,4.0,3.0,488.8,4.0,2.0,390.0,3.0,2.0,536.2,3.0,2.0,1538.0,3.0,2.0,2633.0
4.0,5.0,22.2,4.0,5.0,570.5,4.0,5.0,236.5,3.0,5.0,363.7,3.0,4.0,1295.0,3.0,4.0,1988.0
4.0,6.0,33.3,4.0,6.0,604.3,4.0,6.0,312.8,3.0,6.0,472.6,3.0,6.0,1477.0,3.0,5.0,2444.0
5.0,2.0,32.9,5.0,1.0,537.8,5.0,1.0,246.7,5.0,1.0,247.1,4.0,1.0,586.9,4.0,1.0,1593.0
5.0,3.0,25.8,5.0,3.0,1040.0,5.0,2.0,663.9,5.0,2.0,486.5,4.0,2.0,1179.0,4.0,2.0,2202.0
5.0,4.0,42.6,5.0,4.0,797.4,5.0,4.0,387.4,5.0,3.0,423.5,4.0,3.0,1091.0,4.0,3.0,2244.0
5.0,6.0,62.5,5.0,6.0,1055.0,5.0,6.0,538.6,5.0,6.0,354.5,4.0,6.0,994.0,4.0,5.0,2010.0
6.0,2.0,95.1,6.0,1.0,853.7,6.0,1.0,468.9,6.0,1.0,499.8,6.0,1.0,1372.0,5.0,1.0,2469.0
6.0,3.0,75.9,6.0,3.0,1292.0,6.0,2.0,1162.0,6.0,2.0,892.1,6.0,2.0,2265.0,5.0,2.0,3024.0
6.0,4.0,91.8,6.0,4.0,975.0,6.0,4.0,823.2,6.0,3.0,827.0,6.0,3.0,1988.0,5.0,3.0,2866.0
6.0,5.0,128.9,6.0,5.0,1189.0,6.0,5.0,893.2,6.0,5.0,666.4,6.0,4.0,1703.0,5.0,4.0,2294.0
