1,山田 丈,山田 丈.1,2,樋口 亮,樋口 亮.1,3,関根 彰人,関根 彰人.1,4,西岡 顕心,西岡 顕心.1,5,北川 潤二,北川 潤二.1,6,相原 利章,相原 利章.1
2.0,3.0,14.0,1.0,3.0,28.2,1.0,2.0,160.0,1.0,2.0,126.8,1.0,2.0,41.5,1.0,2.0,544.7
2.0,4.0,15.3,1.0,4.0,25.7,1.0,4.0,327.0,1.0,3.0,308.7,1.0,3.0,129.5,1.0,3.0,1291.0
2.0,5.0,6.5,1.0,5.0,11.8,1.0,5.0,179.8,1.0,5.0,173.8,1.0,4.0,105.7,1.0,4.0,901.0
2.0,6.0,25.7,1.0,6.0,35.2,1.0,6.0,498.0,1.0,6.0,194.0,1.0,6.0,104.4,1.0,5.0,650.9
3.0,2.0,25.6,3.0,1.0,95.3,2.0,1.0,249.0,2.0,1.0,193.2,2.0,1.0,54.0,2.0,1.0,660.0
3.0,4.0,61.3,3.0,4.0,122.8,2.0,4.0,385.8,2.0,3.0,362.9,2.0,3.0,190.0,2.0,3.0,1503.0
3.0,5.0,31.6,3.0,5.0,109.8,2.0,5.0,313.4,2.0,5.0,208.3,2.0,4.0,156.0,2.0,4.0,1008.0
3.0,6.0,102.5,3.0,6.0,186.4,2.0,6.0,587.3,2.0,6.0,219.8,2.0,6.0,109.4,2.0,5.0,539.4
4.0,2.0,36.3,4.0,1.0,83.4,4.0,1.0,841.4,3.0,1.0,812.4,3.0,1.0,305.8,3.0,1.0,2092.0
4.0,3.0,79.8,4.0,3.0,132.2,4.0,2.0,679.0,3.0,2.0,657.4,3.0,2.0,385.4,3.0,2.0,1968.0
4.0,5.0,47.8,4.0,5.0,86.9,4.0,5.0,1036.0,3.0,5.0,893.7,3.0,4.0,806.5,3.0,4.0,2133.0
4.0,6.0,102.6,4.0,6.0,130.3,4.0,6.0,1160.0,3.0,6.0,820.5,3.0,6.0,632.2,3.0,5.0,2396.0
5.0,2.0,10.2,5.0,1.0,24.9,5.0,1.0,345.1,5.0,1.0,272.3,4.0,1.0,218.2,4.0,1.0,898.5
5.0,3.0,27.9,5.0,3.0,80.9,5.0,2.0,453.6,5.0,2.0,247.3,4.0,2.0,238.5,4.0,2.0,947.4
5.0,4.0,29.9,5.0,4.0,67.3,5.0,4.0,944.7,5.0,3.0,649.6,4.0,3.0,623.9,4.0,3.0,1653.0
5.0,6.0,32.2,5.0,6.0,63.5,5.0,6.0,1144.0,5.0,6.0,318.2,4.0,6.0,296.5,4.0,5.0,1140.0
6.0,2.0,100.2,6.0,1.0,144.1,6.0,1.0,1257.0,6.0,1.0,337.0,6.0,1.0,260.5,5.0,1.0,936.7
6.0,3.0,239.4,6.0,3.0,339.5,6.0,2.0,1678.0,6.0,2.0,359.8,6.0,2.0,233.6,5.0,2.0,608.9
6.0,4.0,192.7,6.0,4.0,240.4,6.0,4.0,1992.0,6.0,3.0,656.1,6.0,3.0,700.5,5.0,3.0,2053.0
6.0,5.0,134.6,6.0,5.0,180.7,6.0,5.0,1992.0,6.0,5.0,480.6,6.0,4.0,408.2,5.0,4.0,1349.0
