1,長岡 良也,長岡 良也.1,2,富永 修一,富永 修一.1,3,村越 篤,村越 篤.1,4,小畑 実成,小畑 実成.1,5,原村 拓也,原村 拓也.1,6,岡本 大,岡本 大.1
2.0,3.0,4.3,1.0,3.0,22.8,1.0,2.0,27.7,1.0,2.0,230.5,1.0,2.0,430.4,1.0,2.0,1465.0
2.0,4.0,11.0,1.0,4.0,53.0,1.0,4.0,45.3,1.0,3.0,263.6,1.0,3.0,384.5,1.0,3.0,3487.0
2.0,5.0,19.5,1.0,5.0,80.7,1.0,5.0,56.3,1.0,5.0,349.1,1.0,4.0,695.9,1.0,4.0,5231.0
2.0,6.0,60.5,1.0,6.0,225.1,1.0,6.0,151.1,1.0,6.0,788.1,1.0,6.0,1123.0,1.0,5.0,3746.0
3.0,2.0,4.7,3.0,1.0,47.2,2.0,1.0,52.6,2.0,1.0,383.1,2.0,1.0,705.6,2.0,1.0,1754.0
3.0,4.0,7.5,3.0,4.0,138.4,2.0,4.0,159.9,2.0,3.0,614.2,2.0,3.0,954.2,2.0,3.0,4894.0
3.0,5.0,13.5,3.0,5.0,194.7,2.0,5.0,213.8,2.0,5.0,736.5,2.0,4.0,1487.0,2.0,4.0,3793.0
3.0,6.0,36.2,3.0,6.0,429.8,2.0,6.0,432.8,2.0,6.0,1336.0,2.0,6.0,1861.0,2.0,5.0,5418.0
4.0,2.0,25.2,4.0,1.0,182.1,4.0,1.0,147.8,3.0,1.0,352.0,3.0,1.0,732.9,3.0,1.0,3569.0
4.0,3.0,23.3,4.0,3.0,273.1,4.0,2.0,222.7,3.0,2.0,552.7,3.0,2.0,1032.0,3.0,2.0,5231.0
4.0,5.0,71.5,4.0,5.0,463.9,4.0,5.0,317.4,3.0,5.0,877.0,3.0,4.0,1564.0,3.0,4.0,4816.0
4.0,6.0,146.6,4.0,6.0,824.5,4.0,6.0,558.8,3.0,6.0,1319.0,3.0,6.0,2447.0,3.0,5.0,6192.0
5.0,2.0,61.1,5.0,1.0,318.0,5.0,1.0,242.1,5.0,1.0,554.7,4.0,1.0,1032.0,4.0,1.0,5835.0
5.0,3.0,52.8,5.0,3.0,513.4,5.0,2.0,424.9,5.0,2.0,820.1,4.0,2.0,1336.0,4.0,2.0,4974.0
5.0,4.0,118.5,5.0,4.0,704.0,5.0,4.0,514.3,5.0,3.0,1171.0,4.0,3.0,1983.0,4.0,3.0,6456.0
5.0,6.0,210.1,5.0,6.0,1032.0,5.0,6.0,802.7,5.0,6.0,1014.0,4.0,6.0,1873.0,4.0,5.0,4462.0
6.0,2.0,329.8,6.0,1.0,691.2,6.0,1.0,1025.0,6.0,1.0,1517.0,6.0,1.0,2507.0,5.0,1.0,5418.0
6.0,3.0,339.0,6.0,3.0,1676.0,6.0,2.0,1411.0,6.0,2.0,1754.0,6.0,2.0,3890.0,5.0,2.0,7985.0
6.0,4.0,448.8,6.0,4.0,1524.0,6.0,4.0,1404.0,6.0,3.0,2036.0,6.0,3.0,2889.0,5.0,3.0,5835.0
6.0,5.0,513.4,6.0,5.0,2050.0,6.0,5.0,1444.0,6.0,5.0,1676.0,6.0,4.0,2615.0,5.0,4.0,4668.0
