1,田頭 虎親,田頭 虎親.1,2,海老澤　泰行,海老澤　泰行.1,3,河野 真也,河野 真也.1,4,植田 太一,植田 太一.1,5,山本 修一,山本 修一.1,6,富永 正人,富永 正人.1
2.0,3.0,12.5,1.0,3.0,48.7,1.0,2.0,57.1,1.0,2.0,251.9,1.0,2.0,87.3,1.0,2.0,1099.0
2.0,4.0,28.3,1.0,4.0,93.9,1.0,4.0,43.7,1.0,3.0,133.7,1.0,3.0,44.2,1.0,3.0,1307.0
2.0,5.0,16.8,1.0,5.0,57.8,1.0,5.0,22.7,1.0,5.0,108.7,1.0,4.0,113.3,1.0,4.0,2069.0
2.0,6.0,78.3,1.0,6.0,175.0,1.0,6.0,125.6,1.0,6.0,331.1,1.0,6.0,127.0,1.0,5.0,1079.0
3.0,2.0,12.1,3.0,1.0,96.6,2.0,1.0,109.4,2.0,1.0,512.9,2.0,1.0,182.6,2.0,1.0,1425.0
3.0,4.0,14.4,3.0,4.0,234.1,2.0,4.0,215.4,2.0,3.0,714.6,2.0,3.0,247.7,2.0,3.0,1828.0
3.0,5.0,7.3,3.0,5.0,133.2,2.0,5.0,110.9,2.0,5.0,503.4,2.0,4.0,547.8,2.0,4.0,2084.0
3.0,6.0,49.3,3.0,6.0,359.4,2.0,6.0,393.1,2.0,6.0,1027.0,2.0,6.0,402.1,2.0,5.0,1693.0
4.0,2.0,44.3,4.0,1.0,246.9,4.0,1.0,86.0,3.0,1.0,172.1,3.0,1.0,62.8,3.0,1.0,1646.0
4.0,3.0,27.4,4.0,3.0,417.9,4.0,2.0,245.8,3.0,2.0,477.6,3.0,2.0,182.3,3.0,2.0,1986.0
4.0,5.0,28.9,4.0,5.0,362.5,4.0,5.0,63.3,3.0,5.0,110.0,3.0,4.0,136.3,3.0,4.0,2013.0
4.0,6.0,117.3,4.0,6.0,659.3,4.0,6.0,256.9,3.0,6.0,405.4,3.0,6.0,189.7,3.0,5.0,1120.0
5.0,2.0,23.4,5.0,1.0,136.3,5.0,1.0,34.8,5.0,1.0,143.4,4.0,1.0,203.1,4.0,1.0,2660.0
5.0,3.0,12.7,5.0,3.0,177.8,5.0,2.0,91.6,5.0,2.0,363.4,4.0,2.0,488.5,4.0,2.0,2865.0
5.0,4.0,31.9,5.0,4.0,392.1,5.0,4.0,56.2,5.0,3.0,130.8,4.0,3.0,196.4,4.0,3.0,2442.0
5.0,6.0,60.9,5.0,6.0,421.5,5.0,6.0,133.5,5.0,6.0,302.5,4.0,6.0,372.0,4.0,5.0,2175.0
6.0,2.0,209.2,6.0,1.0,693.0,6.0,1.0,488.5,6.0,1.0,792.6,6.0,1.0,259.1,5.0,1.0,1141.0
6.0,3.0,198.9,6.0,3.0,1112.0,6.0,2.0,844.2,6.0,2.0,1257.0,6.0,2.0,376.7,5.0,2.0,1619.0
6.0,4.0,316.3,6.0,4.0,1552.0,6.0,4.0,803.3,6.0,3.0,1017.0,6.0,3.0,301.0,5.0,3.0,1072.0
6.0,5.0,179.1,6.0,5.0,964.4,6.0,5.0,421.5,6.0,5.0,762.2,6.0,4.0,487.7,5.0,4.0,1722.0
