1,益田 啓司,益田 啓司.1,2,伊藤 啓三,伊藤 啓三.1,3,上田 洋平,上田 洋平.1,4,羽野 直也,羽野 直也.1,5,竹下 大樹,竹下 大樹.1,6,川崎 公靖,川崎 公靖.1
2.0,3.0,28.1,1.0,3.0,186.9,1.0,2.0,502.9,1.0,2.0,19.4,1.0,2.0,96.8,1.0,2.0,2037.0
2.0,4.0,9.9,1.0,4.0,58.3,1.0,4.0,285.4,1.0,3.0,69.1,1.0,3.0,230.6,1.0,3.0,3611.0
2.0,5.0,25.3,1.0,5.0,142.0,1.0,5.0,503.9,1.0,5.0,10.7,1.0,4.0,45.8,1.0,4.0,1462.0
2.0,6.0,150.4,1.0,6.0,463.7,1.0,6.0,1010.0,1.0,6.0,47.6,1.0,6.0,130.5,1.0,5.0,2187.0
3.0,2.0,51.6,3.0,1.0,752.0,2.0,1.0,892.8,2.0,1.0,64.7,2.0,1.0,256.8,2.0,1.0,2740.0
3.0,4.0,26.3,3.0,4.0,752.0,2.0,4.0,1116.0,2.0,3.0,298.1,2.0,3.0,857.5,2.0,3.0,4497.0
3.0,5.0,54.7,3.0,5.0,1672.0,2.0,5.0,1938.0,2.0,5.0,86.0,2.0,4.0,264.4,2.0,4.0,3095.0
3.0,6.0,237.3,3.0,6.0,2383.0,2.0,6.0,2281.0,2.0,6.0,223.5,2.0,6.0,580.0,2.0,5.0,4110.0
4.0,2.0,7.2,4.0,1.0,121.0,4.0,1.0,517.1,3.0,1.0,262.1,3.0,1.0,658.5,3.0,1.0,4040.0
4.0,3.0,14.4,4.0,3.0,411.0,4.0,2.0,1018.0,3.0,2.0,591.5,3.0,2.0,1366.0,3.0,2.0,4455.0
4.0,5.0,6.6,4.0,5.0,243.9,4.0,5.0,908.1,3.0,5.0,421.5,3.0,4.0,837.9,3.0,4.0,3844.0
4.0,6.0,39.5,4.0,6.0,703.2,4.0,6.0,1799.0,3.0,6.0,752.0,3.0,6.0,1819.0,3.0,5.0,5814.0
5.0,2.0,33.7,5.0,1.0,390.4,5.0,1.0,1171.0,5.0,1.0,16.5,4.0,1.0,43.8,4.0,1.0,1241.0
5.0,3.0,62.1,5.0,3.0,1146.0,5.0,2.0,2118.0,5.0,2.0,39.7,4.0,2.0,99.8,4.0,2.0,2395.0
5.0,4.0,17.9,5.0,4.0,409.2,5.0,4.0,1489.0,5.0,3.0,126.0,4.0,3.0,279.3,4.0,3.0,3199.0
5.0,6.0,88.8,5.0,6.0,1377.0,5.0,6.0,2998.0,5.0,6.0,36.5,4.0,6.0,104.1,4.0,5.0,1292.0
6.0,2.0,459.7,6.0,1.0,2217.0,6.0,1.0,3116.0,6.0,1.0,135.6,6.0,1.0,402.0,5.0,1.0,2137.0
6.0,3.0,619.1,6.0,3.0,2924.0,6.0,2.0,3531.0,6.0,2.0,260.6,6.0,2.0,791.9,5.0,2.0,3480.0
6.0,4.0,224.4,6.0,4.0,2314.0,6.0,4.0,3876.0,6.0,3.0,448.0,6.0,3.0,1124.0,5.0,3.0,5018.0
6.0,5.0,320.8,6.0,5.0,3221.0,6.0,5.0,4256.0,6.0,5.0,128.3,6.0,4.0,396.9,5.0,4.0,1436.0
