1,黄金井　力良,黄金井　力良.1,2,上野　真之介,上野　真之介.1,3,荒川 健太,荒川 健太.1,4,加藤 高史,加藤 高史.1,5,羽野 諒,羽野 諒.1,6,向井田　直弥,向井田　直弥.1
2.0,3.0,6.0,1.0,3.0,11.7,1.0,2.0,33.5,1.0,2.0,101.3,1.0,2.0,360.3,1.0,2.0,471.6
2.0,4.0,10.1,1.0,4.0,18.7,1.0,4.0,45.2,1.0,3.0,133.0,1.0,3.0,491.6,1.0,3.0,803.7
2.0,5.0,22.5,1.0,5.0,40.8,1.0,5.0,85.9,1.0,5.0,214.6,1.0,4.0,677.5,1.0,4.0,793.2
2.0,6.0,38.6,1.0,6.0,56.6,1.0,6.0,128.5,1.0,6.0,217.3,1.0,6.0,703.7,1.0,5.0,1331.0
3.0,2.0,8.7,3.0,1.0,26.5,2.0,1.0,49.7,2.0,1.0,129.9,2.0,1.0,488.7,2.0,1.0,603.4
3.0,4.0,13.1,3.0,4.0,40.3,2.0,4.0,85.8,2.0,3.0,174.3,2.0,3.0,606.7,2.0,3.0,774.1
3.0,5.0,27.3,3.0,5.0,87.3,2.0,5.0,163.3,2.0,5.0,333.2,2.0,4.0,839.7,2.0,4.0,836.6
3.0,6.0,47.2,3.0,6.0,109.3,2.0,6.0,205.7,2.0,6.0,304.7,2.0,6.0,763.6,2.0,5.0,1406.0
4.0,2.0,23.8,4.0,1.0,62.2,4.0,1.0,132.0,3.0,1.0,235.7,3.0,1.0,818.3,3.0,1.0,1265.0
4.0,3.0,31.3,4.0,3.0,70.7,4.0,2.0,135.6,3.0,2.0,214.7,3.0,2.0,802.7,3.0,2.0,1173.0
4.0,5.0,70.3,4.0,5.0,162.5,4.0,5.0,240.9,3.0,5.0,453.2,3.0,4.0,1235.0,3.0,4.0,1270.0
4.0,6.0,82.2,4.0,6.0,150.4,4.0,6.0,253.1,3.0,6.0,421.9,3.0,6.0,1496.0,3.0,5.0,2275.0
5.0,2.0,77.6,5.0,1.0,195.2,5.0,1.0,353.7,5.0,1.0,419.8,4.0,1.0,1025.0,4.0,1.0,1179.0
5.0,3.0,98.1,5.0,3.0,253.1,5.0,2.0,379.6,5.0,2.0,438.4,4.0,2.0,960.7,4.0,2.0,948.5
5.0,4.0,169.2,5.0,4.0,384.4,5.0,4.0,488.0,5.0,3.0,637.1,4.0,3.0,1287.0,4.0,3.0,1622.0
5.0,6.0,206.5,5.0,6.0,393.8,5.0,6.0,719.5,5.0,6.0,541.4,4.0,6.0,1347.0,4.0,5.0,2363.0
6.0,2.0,156.8,6.0,1.0,290.8,6.0,1.0,520.0,6.0,1.0,475.3,6.0,1.0,1696.0,5.0,1.0,2806.0
6.0,3.0,198.2,6.0,3.0,357.6,6.0,2.0,527.4,6.0,2.0,389.5,6.0,2.0,1290.0,5.0,2.0,2290.0
6.0,4.0,245.3,6.0,4.0,367.2,6.0,4.0,615.0,6.0,3.0,651.9,6.0,3.0,1749.0,5.0,3.0,2841.0
6.0,5.0,378.1,6.0,5.0,536.6,6.0,5.0,913.8,6.0,5.0,744.2,6.0,4.0,2237.0,5.0,4.0,2878.0
