1,大場 敏,大場 敏.1,2,土性 雅也,土性 雅也.1,3,古賀 繁輝,古賀 繁輝.1,4,繁野谷　圭介,繁野谷　圭介.1,5,牧山 敦也,牧山 敦也.1,6,鈴木 賢一,鈴木 賢一.1
2.0,3.0,24.3,1.0,3.0,133.7,1.0,2.0,23.2,1.0,2.0,174.0,1.0,2.0,431.5,1.0,2.0,791.3
2.0,4.0,40.3,1.0,4.0,208.3,1.0,4.0,9.0,1.0,3.0,71.1,1.0,3.0,190.4,1.0,3.0,362.9
2.0,5.0,79.1,1.0,5.0,381.0,1.0,5.0,21.9,1.0,5.0,129.5,1.0,4.0,312.0,1.0,4.0,747.0
2.0,6.0,100.6,1.0,6.0,384.8,1.0,6.0,23.1,1.0,6.0,166.7,1.0,6.0,443.4,1.0,5.0,1170.0
3.0,2.0,12.1,3.0,1.0,203.3,2.0,1.0,107.6,2.0,1.0,355.1,2.0,1.0,851.6,2.0,1.0,1393.0
3.0,4.0,5.9,3.0,4.0,321.1,2.0,4.0,121.7,2.0,3.0,561.0,2.0,3.0,1053.0,2.0,3.0,1375.0
3.0,5.0,14.4,3.0,5.0,580.1,2.0,5.0,190.4,2.0,5.0,628.0,2.0,4.0,1006.0,2.0,4.0,2043.0
3.0,6.0,17.2,3.0,6.0,513.7,2.0,6.0,183.0,2.0,6.0,857.0,2.0,6.0,1484.0,2.0,5.0,2697.0
4.0,2.0,31.9,4.0,1.0,385.9,4.0,1.0,26.1,3.0,1.0,79.4,3.0,1.0,236.5,3.0,1.0,401.7
4.0,3.0,13.7,4.0,3.0,530.6,4.0,2.0,65.5,3.0,2.0,240.9,3.0,2.0,760.5,3.0,2.0,1073.0
4.0,5.0,35.3,4.0,5.0,850.3,4.0,5.0,43.1,3.0,5.0,137.9,3.0,4.0,342.2,3.0,4.0,639.7
4.0,6.0,45.3,4.0,6.0,1006.0,4.0,6.0,51.8,3.0,6.0,156.1,3.0,6.0,575.2,3.0,5.0,1165.0
5.0,2.0,99.4,5.0,1.0,992.0,5.0,1.0,78.3,5.0,1.0,202.8,4.0,1.0,430.1,4.0,1.0,1037.0
5.0,3.0,48.0,5.0,3.0,1033.0,5.0,2.0,212.8,5.0,2.0,470.4,4.0,2.0,850.3,4.0,2.0,2122.0
5.0,4.0,76.1,5.0,4.0,1279.0,5.0,4.0,87.7,5.0,3.0,222.6,4.0,3.0,414.5,4.0,3.0,915.7
5.0,6.0,135.9,5.0,6.0,1578.0,5.0,6.0,141.5,5.0,6.0,312.7,4.0,6.0,655.8,4.0,5.0,1452.0
6.0,2.0,166.3,6.0,1.0,1021.0,6.0,1.0,89.2,6.0,1.0,339.0,6.0,1.0,870.6,5.0,1.0,1555.0
6.0,3.0,67.3,6.0,3.0,1167.0,6.0,2.0,227.9,6.0,2.0,838.6,6.0,2.0,1456.0,5.0,2.0,2738.0
6.0,4.0,111.2,6.0,4.0,1777.0,6.0,4.0,117.5,6.0,3.0,353.0,6.0,3.0,847.7,5.0,3.0,1504.0
6.0,5.0,209.4,6.0,5.0,2423.0,6.0,5.0,202.4,6.0,5.0,492.0,6.0,4.0,954.0,5.0,4.0,1472.0
