1,松尾 祭,松尾 祭.1,2,山本 幸也,山本 幸也.1,3,野中 義生,野中 義生.1,4,樋口 亮,樋口 亮.1,5,垂水 悠,垂水 悠.1,6,西村 秀樹,西村 秀樹.1
2.0,3.0,23.3,1.0,3.0,88.1,1.0,2.0,77.7,1.0,2.0,89.8,1.0,2.0,174.2,1.0,2.0,1750.0
2.0,4.0,24.1,1.0,4.0,83.0,1.0,4.0,26.5,1.0,3.0,50.8,1.0,3.0,71.6,1.0,3.0,2121.0
2.0,5.0,32.8,1.0,5.0,111.7,1.0,5.0,27.6,1.0,5.0,54.7,1.0,4.0,77.0,1.0,4.0,1997.0
2.0,6.0,131.7,1.0,6.0,346.3,1.0,6.0,182.8,1.0,6.0,174.3,1.0,6.0,169.6,1.0,5.0,1602.0
3.0,2.0,20.4,3.0,1.0,196.8,2.0,1.0,163.7,2.0,1.0,244.3,2.0,1.0,435.4,2.0,1.0,2648.0
3.0,4.0,8.1,3.0,4.0,203.7,2.0,4.0,166.8,2.0,3.0,350.6,2.0,3.0,528.1,2.0,3.0,4057.0
3.0,5.0,8.8,3.0,5.0,270.2,2.0,5.0,193.6,2.0,5.0,370.4,2.0,4.0,591.7,2.0,4.0,3098.0
3.0,6.0,58.3,3.0,6.0,994.6,2.0,6.0,639.8,2.0,6.0,792.6,2.0,6.0,929.5,2.0,5.0,3007.0
4.0,2.0,21.0,4.0,1.0,207.1,4.0,1.0,44.2,3.0,1.0,85.4,3.0,1.0,116.8,3.0,1.0,2493.0
4.0,3.0,10.5,4.0,3.0,257.6,4.0,2.0,153.5,3.0,2.0,250.9,3.0,2.0,373.1,3.0,2.0,3994.0
4.0,5.0,12.2,4.0,5.0,295.6,4.0,5.0,49.9,3.0,5.0,101.7,3.0,4.0,185.7,3.0,4.0,2824.0
4.0,6.0,61.3,4.0,6.0,787.7,4.0,6.0,214.9,3.0,6.0,334.7,3.0,6.0,388.4,3.0,5.0,2621.0
5.0,2.0,37.5,5.0,1.0,378.1,5.0,1.0,60.4,5.0,1.0,91.8,4.0,1.0,128.0,4.0,1.0,2334.0
5.0,3.0,16.5,5.0,3.0,457.6,5.0,2.0,192.1,5.0,2.0,262.8,4.0,2.0,494.9,4.0,2.0,2972.0
5.0,4.0,21.1,5.0,4.0,474.6,5.0,4.0,76.2,5.0,3.0,127.9,4.0,3.0,208.5,4.0,3.0,2808.0
5.0,6.0,72.3,5.0,6.0,977.5,5.0,6.0,220.1,5.0,6.0,218.7,4.0,6.0,370.4,4.0,5.0,2411.0
6.0,2.0,422.5,6.0,1.0,1377.0,6.0,1.0,612.9,6.0,1.0,532.5,6.0,1.0,480.0,5.0,1.0,1886.0
6.0,3.0,291.4,6.0,3.0,2194.0,6.0,2.0,1243.0,6.0,2.0,988.8,6.0,2.0,948.4,5.0,2.0,3043.0
6.0,4.0,267.8,6.0,4.0,1499.0,6.0,4.0,633.5,6.0,3.0,772.2,6.0,3.0,653.7,5.0,3.0,2292.0
6.0,5.0,273.8,6.0,5.0,1592.0,6.0,5.0,487.8,6.0,5.0,504.1,6.0,4.0,723.1,5.0,4.0,1951.0
