1,荒牧 凪沙,荒牧 凪沙.1,2,西丸 敦基,西丸 敦基.1,3,山一 鉄也,山一 鉄也.1,4,上原 崚,上原 崚.1,5,赤坂 俊輔,赤坂 俊輔.1,6,齋藤 和政,齋藤 和政.1
2.0,3.0,27.9,1.0,3.0,93.7,1.0,2.0,60.0,1.0,2.0,131.7,1.0,2.0,158.0,1.0,2.0,2687.0
2.0,4.0,36.0,1.0,4.0,113.3,1.0,4.0,25.2,1.0,3.0,69.4,1.0,3.0,40.7,1.0,3.0,2175.0
2.0,5.0,35.4,1.0,5.0,103.4,1.0,5.0,16.2,1.0,5.0,53.5,1.0,4.0,85.0,1.0,4.0,2752.0
2.0,6.0,277.6,1.0,6.0,474.9,1.0,6.0,162.8,1.0,6.0,258.7,1.0,6.0,252.1,1.0,5.0,2307.0
3.0,2.0,22.3,3.0,1.0,167.0,2.0,1.0,128.5,2.0,1.0,248.0,2.0,1.0,330.6,2.0,1.0,2596.0
3.0,4.0,9.7,3.0,4.0,228.7,2.0,4.0,146.5,2.0,3.0,313.4,2.0,3.0,324.5,2.0,3.0,3872.0
3.0,5.0,7.9,3.0,5.0,171.6,2.0,5.0,101.2,2.0,5.0,179.6,2.0,4.0,445.3,2.0,4.0,3263.0
3.0,6.0,107.5,3.0,6.0,917.5,2.0,6.0,424.6,2.0,6.0,607.6,2.0,6.0,796.0,2.0,5.0,2483.0
4.0,2.0,31.8,4.0,1.0,217.5,4.0,1.0,43.9,3.0,1.0,82.2,3.0,1.0,59.1,3.0,1.0,3006.0
4.0,3.0,17.9,4.0,3.0,290.3,4.0,2.0,105.1,3.0,2.0,203.4,3.0,2.0,204.7,3.0,2.0,4569.0
4.0,5.0,20.7,4.0,5.0,256.1,4.0,5.0,32.8,3.0,5.0,59.0,3.0,4.0,83.1,3.0,4.0,1969.0
4.0,6.0,144.8,4.0,6.0,865.4,4.0,6.0,163.6,3.0,6.0,278.2,3.0,6.0,205.2,3.0,5.0,1597.0
5.0,2.0,44.3,5.0,1.0,219.0,5.0,1.0,27.1,5.0,1.0,51.6,4.0,1.0,89.7,4.0,1.0,3217.0
5.0,3.0,18.7,5.0,3.0,239.4,5.0,2.0,78.2,5.0,2.0,100.5,4.0,2.0,213.9,4.0,2.0,3263.0
5.0,4.0,32.6,5.0,4.0,328.7,5.0,4.0,34.2,5.0,3.0,56.0,4.0,3.0,79.3,4.0,3.0,2355.0
5.0,6.0,172.3,5.0,6.0,913.8,5.0,6.0,119.3,5.0,6.0,117.8,4.0,6.0,207.3,4.0,5.0,1730.0
6.0,2.0,865.4,6.0,1.0,1608.0,6.0,1.0,690.2,6.0,1.0,612.5,6.0,1.0,581.3,5.0,1.0,2786.0
6.0,3.0,564.1,6.0,3.0,1872.0,6.0,2.0,673.9,6.0,2.0,636.4,6.0,2.0,827.8,5.0,2.0,3046.0
6.0,4.0,590.3,6.0,4.0,2058.0,6.0,4.0,528.8,6.0,3.0,647.2,6.0,3.0,459.7,5.0,3.0,1554.0
6.0,5.0,582.8,6.0,5.0,1455.0,6.0,5.0,370.8,6.0,5.0,300.2,6.0,4.0,461.5,5.0,4.0,1730.0
