1,川添 英正,川添 英正.1,2,小川 広大,小川 広大.1,3,山田 丈,山田 丈.1,4,檀 将太,檀 将太.1,5,野相 弘司,野相 弘司.1,6,小松 卓司,小松 卓司.1
2.0,3.0,13.2,1.0,3.0,27.4,1.0,2.0,21.0,1.0,2.0,130.8,1.0,2.0,224.4,1.0,2.0,673.2
2.0,4.0,31.8,1.0,4.0,78.7,1.0,4.0,23.6,1.0,3.0,84.5,1.0,3.0,134.9,1.0,3.0,539.8
2.0,5.0,36.7,1.0,5.0,90.6,1.0,5.0,19.4,1.0,5.0,119.3,1.0,4.0,333.9,1.0,4.0,811.1
2.0,6.0,41.4,1.0,6.0,76.0,1.0,6.0,30.4,1.0,6.0,137.8,1.0,6.0,240.3,1.0,5.0,710.6
3.0,2.0,11.0,3.0,1.0,56.5,2.0,1.0,44.0,2.0,1.0,210.2,2.0,1.0,332.5,2.0,1.0,939.4
3.0,4.0,12.9,3.0,4.0,137.9,2.0,4.0,99.4,2.0,3.0,217.9,2.0,3.0,395.9,2.0,3.0,908.6
3.0,5.0,12.8,3.0,5.0,161.1,2.0,5.0,106.3,2.0,5.0,309.6,2.0,4.0,777.0,2.0,4.0,1319.0
3.0,6.0,25.7,3.0,6.0,171.0,2.0,6.0,95.8,2.0,6.0,313.1,2.0,6.0,652.1,2.0,5.0,1433.0
4.0,2.0,51.0,4.0,1.0,147.0,4.0,1.0,40.0,3.0,1.0,96.2,3.0,1.0,179.7,3.0,1.0,689.9
4.0,3.0,31.0,4.0,3.0,181.5,4.0,2.0,79.7,3.0,2.0,176.5,3.0,2.0,358.3,3.0,2.0,1065.0
4.0,5.0,53.9,4.0,5.0,342.8,4.0,5.0,48.1,3.0,5.0,119.7,3.0,4.0,306.8,3.0,4.0,852.7
4.0,6.0,91.5,4.0,6.0,389.4,4.0,6.0,68.2,3.0,6.0,156.4,3.0,6.0,272.1,3.0,5.0,654.6
5.0,2.0,65.0,5.0,1.0,209.1,5.0,1.0,55.3,5.0,1.0,159.8,4.0,1.0,441.0,4.0,1.0,848.4
5.0,3.0,43.0,5.0,3.0,285.7,5.0,2.0,109.6,5.0,2.0,289.1,4.0,2.0,742.3,4.0,2.0,1179.0
5.0,4.0,104.6,5.0,4.0,406.5,5.0,4.0,83.8,5.0,3.0,170.7,4.0,3.0,347.1,4.0,3.0,866.0
5.0,6.0,90.1,5.0,6.0,505.4,5.0,6.0,74.8,5.0,6.0,187.8,4.0,6.0,433.0,4.0,5.0,831.4
6.0,2.0,142.0,6.0,1.0,424.2,6.0,1.0,133.4,6.0,1.0,303.4,6.0,1.0,410.5,5.0,1.0,722.9
6.0,3.0,111.0,6.0,3.0,559.8,6.0,2.0,215.9,6.0,2.0,479.2,6.0,2.0,652.1,5.0,2.0,1065.0
6.0,4.0,206.0,6.0,4.0,722.9,6.0,4.0,179.5,6.0,3.0,291.2,6.0,3.0,350.0,5.0,3.0,627.5
6.0,5.0,181.9,6.0,5.0,659.8,6.0,5.0,132.5,6.0,5.0,321.0,6.0,4.0,536.4,5.0,4.0,755.8
