1,林 祐介,林 祐介.1,2,大塚 雅治,大塚 雅治.1,3,浜本 裕己,浜本 裕己.1,4,中曽 瑠華,中曽 瑠華.1,5,末永 和也,末永 和也.1,6,間野 兼礼,間野 兼礼.1
2.0,3.0,37.4,1.0,3.0,113.0,1.0,2.0,180.9,1.0,2.0,786.0,1.0,2.0,15.8,1.0,2.0,279.3
2.0,4.0,285.6,1.0,4.0,608.3,1.0,4.0,699.4,1.0,3.0,1531.0,1.0,3.0,17.4,1.0,3.0,339.0
2.0,5.0,17.8,1.0,5.0,54.2,1.0,5.0,70.2,1.0,5.0,1153.0,1.0,4.0,200.9,1.0,4.0,1644.0
2.0,6.0,52.7,1.0,6.0,136.8,1.0,6.0,166.3,1.0,6.0,1480.0,1.0,6.0,13.7,1.0,5.0,120.6
3.0,2.0,46.6,3.0,1.0,133.5,2.0,1.0,191.4,2.0,1.0,934.9,2.0,1.0,31.1,2.0,1.0,394.7
3.0,4.0,262.7,3.0,4.0,693.9,2.0,4.0,759.1,2.0,3.0,2220.0,2.0,3.0,41.6,2.0,3.0,437.5
3.0,5.0,17.0,3.0,5.0,71.4,2.0,5.0,92.9,2.0,5.0,1409.0,2.0,4.0,474.9,2.0,4.0,1558.0
3.0,6.0,66.9,3.0,6.0,162.0,2.0,6.0,185.0,2.0,6.0,1776.0,2.0,6.0,34.6,2.0,5.0,232.5
4.0,2.0,854.0,4.0,1.0,1558.0,4.0,1.0,1708.0,3.0,1.0,2400.0,3.0,1.0,36.9,3.0,1.0,525.5
4.0,3.0,870.8,4.0,3.0,1708.0,4.0,2.0,986.9,3.0,2.0,2537.0,3.0,2.0,49.0,3.0,2.0,504.6
4.0,5.0,584.3,4.0,5.0,1387.0,4.0,5.0,1009.0,3.0,5.0,1930.0,3.0,4.0,548.3,3.0,4.0,2114.0
4.0,6.0,854.0,4.0,6.0,1345.0,4.0,6.0,1233.0,3.0,6.0,1850.0,3.0,6.0,40.3,3.0,5.0,230.1
5.0,2.0,11.4,5.0,1.0,53.1,5.0,1.0,64.1,5.0,1.0,2400.0,4.0,1.0,793.0,4.0,1.0,3701.0
5.0,3.0,11.8,5.0,3.0,60.2,5.0,2.0,82.0,5.0,2.0,1930.0,4.0,2.0,1057.0,4.0,2.0,2166.0
5.0,4.0,226.5,5.0,4.0,538.3,5.0,4.0,592.1,5.0,3.0,1930.0,4.0,3.0,1287.0,4.0,3.0,4441.0
5.0,6.0,15.8,5.0,6.0,70.2,5.0,6.0,66.4,5.0,6.0,2467.0,4.0,6.0,759.1,4.0,5.0,2537.0
6.0,2.0,66.3,6.0,1.0,232.5,6.0,1.0,236.8,6.0,1.0,2277.0,6.0,1.0,16.3,5.0,1.0,104.3
6.0,3.0,92.3,6.0,3.0,274.9,6.0,2.0,261.2,6.0,2.0,2018.0,6.0,2.0,22.6,5.0,2.0,139.0
6.0,4.0,672.9,6.0,4.0,1009.0,6.0,4.0,1366.0,6.0,3.0,2277.0,6.0,3.0,29.0,5.0,3.0,163.2
6.0,5.0,33.5,6.0,5.0,163.8,6.0,5.0,132.3,6.0,5.0,2775.0,6.0,4.0,210.9,5.0,4.0,870.8
