1,越智 照浩,越智 照浩.1,2,鈴木 猛,鈴木 猛.1,3,坂東 満,坂東 満.1,4,岡部 大輔,岡部 大輔.1,5,伊達 正利,伊達 正利.1,6,立間 充宏,立間 充宏.1
2.0,3.0,56.4,1.0,3.0,42.2,1.0,2.0,48.3,1.0,2.0,82.7,1.0,2.0,980.6,1.0,2.0,521.3
2.0,4.0,54.8,1.0,4.0,44.4,1.0,4.0,45.3,1.0,3.0,75.3,1.0,3.0,769.8,1.0,3.0,722.5
2.0,5.0,192.6,1.0,5.0,183.6,1.0,5.0,147.4,1.0,5.0,167.9,1.0,4.0,607.9,1.0,4.0,533.1
2.0,6.0,141.9,1.0,6.0,116.1,1.0,6.0,108.3,1.0,6.0,121.5,1.0,6.0,867.1,1.0,5.0,881.0
3.0,2.0,61.1,3.0,1.0,48.3,2.0,1.0,45.0,2.0,1.0,69.3,2.0,1.0,1098.0,2.0,1.0,614.7
3.0,4.0,54.8,3.0,4.0,16.5,2.0,4.0,18.3,2.0,3.0,28.8,2.0,3.0,528.0,2.0,3.0,234.6
3.0,5.0,153.6,3.0,5.0,63.6,2.0,5.0,56.1,2.0,5.0,68.9,2.0,4.0,402.8,2.0,4.0,159.1
3.0,6.0,128.6,3.0,6.0,41.8,2.0,6.0,41.8,2.0,6.0,33.9,2.0,6.0,707.0,2.0,5.0,659.0
4.0,2.0,75.9,4.0,1.0,51.2,4.0,1.0,42.9,3.0,1.0,63.3,3.0,1.0,840.5,3.0,1.0,827.9
4.0,3.0,66.8,4.0,3.0,17.0,4.0,2.0,17.8,3.0,2.0,25.7,3.0,2.0,574.0,3.0,2.0,278.7
4.0,5.0,163.4,4.0,5.0,44.3,4.0,5.0,38.5,3.0,5.0,49.0,3.0,4.0,437.0,3.0,4.0,222.9
4.0,6.0,124.6,4.0,6.0,24.8,4.0,6.0,26.2,3.0,6.0,32.7,3.0,6.0,633.6,3.0,5.0,707.0
5.0,2.0,439.3,5.0,1.0,413.9,5.0,1.0,214.2,5.0,1.0,195.2,4.0,1.0,661.6,4.0,1.0,543.7
5.0,3.0,335.5,5.0,3.0,205.6,5.0,2.0,136.9,5.0,2.0,82.9,4.0,2.0,385.8,4.0,2.0,148.0
5.0,4.0,409.8,5.0,4.0,101.9,5.0,4.0,96.5,5.0,3.0,102.6,4.0,3.0,381.3,4.0,3.0,190.4
5.0,6.0,426.8,5.0,6.0,222.6,5.0,6.0,137.9,5.0,6.0,86.5,4.0,6.0,352.0,4.0,5.0,469.3
6.0,2.0,272.7,6.0,1.0,240.8,6.0,1.0,195.6,6.0,1.0,142.1,6.0,1.0,1091.0,5.0,1.0,1105.0
6.0,3.0,302.2,6.0,3.0,111.4,6.0,2.0,99.9,6.0,2.0,55.7,6.0,2.0,738.8,5.0,2.0,871.7
6.0,4.0,299.0,6.0,4.0,72.8,6.0,4.0,70.6,6.0,3.0,62.7,6.0,3.0,799.7,5.0,3.0,871.7
6.0,5.0,528.0,6.0,5.0,250.0,6.0,5.0,174.8,6.0,5.0,100.6,6.0,4.0,574.0,5.0,4.0,570.0
