1,中村 将隆,中村 将隆.1,2,宇佐見 淳,宇佐見 淳.1,3,梶山 涼斗,梶山 涼斗.1,4,松本 博昭,松本 博昭.1,5,重野 哲之,重野 哲之.1,6,渡邊　伸太郎,渡邊　伸太郎.1
2.0,3.0,14.2,1.0,3.0,24.5,1.0,2.0,71.5,1.0,2.0,166.5,1.0,2.0,110.1,1.0,2.0,1061.0
2.0,4.0,18.1,1.0,4.0,27.2,1.0,4.0,102.3,1.0,3.0,303.1,1.0,3.0,217.5,1.0,3.0,2208.0
2.0,5.0,16.9,1.0,5.0,25.2,1.0,5.0,98.3,1.0,5.0,180.3,1.0,4.0,183.8,1.0,4.0,1795.0
2.0,6.0,69.5,1.0,6.0,106.4,1.0,6.0,276.9,1.0,6.0,425.5,1.0,6.0,255.7,1.0,5.0,1738.0
3.0,2.0,22.2,3.0,1.0,44.4,2.0,1.0,80.4,2.0,1.0,144.8,2.0,1.0,89.5,2.0,1.0,1276.0
3.0,4.0,46.4,3.0,4.0,31.6,2.0,4.0,64.1,2.0,3.0,140.2,2.0,3.0,74.7,2.0,3.0,1296.0
3.0,5.0,44.4,3.0,5.0,23.5,2.0,5.0,51.9,2.0,5.0,55.1,2.0,4.0,46.0,2.0,4.0,797.1
3.0,6.0,162.2,3.0,6.0,107.0,2.0,6.0,167.7,2.0,6.0,172.5,2.0,6.0,100.6,2.0,5.0,707.4
4.0,2.0,42.6,4.0,1.0,47.1,4.0,1.0,196.6,3.0,1.0,375.6,3.0,1.0,268.7,3.0,1.0,2095.0
4.0,3.0,81.6,4.0,3.0,41.2,4.0,2.0,112.1,3.0,2.0,195.4,3.0,2.0,133.2,3.0,2.0,1286.0
4.0,5.0,73.1,4.0,5.0,17.8,4.0,5.0,112.6,3.0,5.0,234.1,3.0,4.0,222.0,3.0,4.0,1361.0
4.0,6.0,234.1,4.0,6.0,81.7,4.0,6.0,302.0,3.0,6.0,557.7,3.0,6.0,382.6,3.0,5.0,1738.0
5.0,2.0,33.1,5.0,1.0,38.9,5.0,1.0,165.9,5.0,1.0,175.3,4.0,1.0,210.0,4.0,1.0,2017.0
5.0,3.0,60.3,5.0,3.0,28.0,5.0,2.0,86.3,5.0,2.0,60.6,4.0,2.0,69.8,4.0,2.0,842.3
5.0,4.0,69.8,5.0,4.0,18.6,5.0,4.0,130.3,5.0,3.0,193.3,4.0,3.0,226.6,4.0,3.0,2017.0
5.0,6.0,182.3,5.0,6.0,59.5,5.0,6.0,248.3,5.0,6.0,178.7,4.0,6.0,198.7,4.0,5.0,1134.0
6.0,2.0,283.7,6.0,1.0,345.4,6.0,1.0,726.2,6.0,1.0,756.5,6.0,1.0,390.0,5.0,1.0,1420.0
6.0,3.0,446.4,6.0,3.0,328.1,6.0,2.0,453.9,6.0,2.0,387.2,6.0,2.0,224.4,5.0,2.0,686.6
6.0,4.0,462.9,6.0,4.0,266.1,6.0,4.0,522.0,6.0,3.0,753.0,6.0,3.0,470.9,5.0,3.0,1634.0
6.0,5.0,428.9,6.0,5.0,229.1,6.0,5.0,704.3,6.0,5.0,446.4,6.0,4.0,279.3,5.0,4.0,918.0
