1,横田 茂,横田 茂.1,2,渡邊 哲也,渡邊 哲也.1,3,山田 和佐,山田 和佐.1,4,池田 雷太,池田 雷太.1,5,越智 照浩,越智 照浩.1,6,黒野 元基,黒野 元基.1
2.0,3.0,22.7,1.0,3.0,206.0,1.0,2.0,110.0,1.0,2.0,183.1,1.0,2.0,1166.0,1.0,2.0,103.6
2.0,4.0,26.9,1.0,4.0,188.3,1.0,4.0,39.8,1.0,3.0,93.1,1.0,3.0,571.1,1.0,3.0,56.8
2.0,5.0,58.6,1.0,5.0,387.6,1.0,5.0,88.1,1.0,5.0,198.1,1.0,4.0,699.6,1.0,4.0,60.5
2.0,6.0,14.9,1.0,6.0,105.9,1.0,6.0,25.4,1.0,6.0,46.1,1.0,6.0,420.2,1.0,5.0,146.8
3.0,2.0,25.5,3.0,1.0,385.4,2.0,1.0,283.8,2.0,1.0,306.1,2.0,1.0,1793.0,2.0,1.0,251.6
3.0,4.0,15.2,3.0,4.0,538.1,2.0,4.0,351.5,2.0,3.0,587.9,2.0,3.0,1749.0,2.0,3.0,342.1
3.0,5.0,50.8,3.0,5.0,1146.0,2.0,5.0,880.0,2.0,5.0,813.5,2.0,4.0,1185.0,2.0,4.0,356.0
3.0,6.0,10.7,3.0,6.0,350.6,2.0,6.0,220.0,2.0,6.0,278.1,2.0,6.0,1249.0,2.0,5.0,740.3
4.0,2.0,36.6,4.0,1.0,330.0,4.0,1.0,65.2,3.0,1.0,125.0,3.0,1.0,555.2,3.0,1.0,75.2
4.0,3.0,24.7,4.0,3.0,538.1,4.0,2.0,230.5,3.0,2.0,404.4,3.0,2.0,1457.0,3.0,2.0,211.6
4.0,5.0,75.1,4.0,5.0,1295.0,4.0,5.0,138.6,3.0,5.0,316.5,3.0,4.0,804.1,3.0,4.0,108.9
4.0,6.0,16.9,4.0,6.0,302.2,4.0,6.0,47.4,3.0,6.0,93.0,3.0,6.0,348.9,3.0,5.0,174.9
5.0,2.0,122.9,5.0,1.0,1238.0,5.0,1.0,226.0,5.0,1.0,347.2,4.0,1.0,858.4,4.0,1.0,96.1
5.0,3.0,129.5,5.0,3.0,1554.0,5.0,2.0,703.1,5.0,2.0,641.8,4.0,2.0,1093.0,4.0,2.0,259.1
5.0,4.0,139.6,5.0,4.0,1488.0,5.0,4.0,239.6,5.0,3.0,378.1,4.0,3.0,725.0,4.0,3.0,144.1
5.0,6.0,57.2,5.0,6.0,869.1,5.0,6.0,124.8,5.0,6.0,198.4,4.0,6.0,578.2,4.0,5.0,292.1
6.0,2.0,18.0,6.0,1.0,244.6,6.0,1.0,36.6,6.0,1.0,60.5,6.0,1.0,573.4,5.0,1.0,415.2
6.0,3.0,16.3,6.0,3.0,376.1,6.0,2.0,143.2,6.0,2.0,177.5,6.0,2.0,1238.0,5.0,2.0,896.9
6.0,4.0,18.4,6.0,4.0,360.6,6.0,4.0,48.5,6.0,3.0,89.9,6.0,3.0,320.9,5.0,3.0,345.5
6.0,5.0,32.1,6.0,5.0,611.0,6.0,5.0,85.0,6.0,5.0,143.8,6.0,4.0,633.1,5.0,4.0,437.2
