1,森野 正弘,森野 正弘.1,2,大峯 豊,大峯 豊.1,3,松田 竜馬,松田 竜馬.1,4,赤坂 俊輔,赤坂 俊輔.1,5,岡崎 恭裕,岡崎 恭裕.1,6,庄司 孝輔,庄司 孝輔.1
2.0,3.0,11.7,1.0,3.0,56.6,1.0,2.0,142.7,1.0,2.0,84.0,1.0,2.0,40.1,1.0,2.0,932.5
2.0,4.0,10.5,1.0,4.0,50.9,1.0,4.0,127.8,1.0,3.0,135.4,1.0,3.0,63.2,1.0,3.0,999.8
2.0,5.0,9.1,1.0,5.0,43.4,1.0,5.0,131.7,1.0,5.0,64.3,1.0,4.0,53.0,1.0,4.0,816.2
2.0,6.0,74.8,1.0,6.0,190.3,1.0,6.0,285.2,1.0,6.0,129.9,1.0,6.0,145.8,1.0,5.0,711.4
3.0,2.0,21.0,3.0,1.0,112.1,2.0,1.0,193.5,2.0,1.0,161.3,2.0,1.0,86.8,2.0,1.0,1504.0
3.0,4.0,25.0,3.0,4.0,151.0,2.0,4.0,221.8,2.0,3.0,313.5,2.0,3.0,186.4,2.0,3.0,1898.0
3.0,5.0,21.1,3.0,5.0,170.3,2.0,5.0,260.6,2.0,5.0,184.3,2.0,4.0,153.1,2.0,4.0,1330.0
3.0,6.0,94.2,3.0,6.0,338.8,2.0,6.0,520.9,2.0,6.0,338.3,2.0,6.0,387.2,2.0,5.0,1811.0
4.0,2.0,21.9,4.0,1.0,118.4,4.0,1.0,169.2,3.0,1.0,232.3,3.0,1.0,169.5,3.0,1.0,1476.0
4.0,3.0,31.9,4.0,3.0,174.9,4.0,2.0,223.0,3.0,2.0,324.7,3.0,2.0,256.2,3.0,2.0,1783.0
4.0,5.0,19.9,4.0,5.0,148.3,4.0,5.0,218.0,3.0,5.0,305.4,3.0,4.0,282.6,3.0,4.0,1165.0
4.0,6.0,62.3,4.0,6.0,302.6,4.0,6.0,295.4,3.0,6.0,328.6,3.0,6.0,613.2,3.0,5.0,1868.0
5.0,2.0,10.2,5.0,1.0,90.6,5.0,1.0,188.2,5.0,1.0,105.5,4.0,1.0,119.1,4.0,1.0,798.2
5.0,3.0,16.9,5.0,3.0,170.3,5.0,2.0,255.9,5.0,2.0,162.7,4.0,2.0,198.4,4.0,2.0,987.3
5.0,4.0,15.6,5.0,4.0,152.8,5.0,4.0,248.9,5.0,3.0,291.7,4.0,3.0,304.8,4.0,3.0,1032.0
5.0,6.0,58.4,5.0,6.0,398.4,5.0,6.0,598.4,5.0,6.0,236.5,4.0,6.0,362.8,4.0,5.0,877.0
6.0,2.0,237.2,6.0,1.0,696.6,6.0,1.0,743.9,6.0,1.0,217.3,6.0,1.0,535.7,5.0,1.0,1090.0
6.0,3.0,250.3,6.0,3.0,817.6,6.0,2.0,893.6,6.0,2.0,290.3,6.0,2.0,900.4,5.0,2.0,1539.0
6.0,4.0,179.2,6.0,4.0,768.2,6.0,4.0,668.9,6.0,3.0,357.3,6.0,3.0,1021.0,5.0,3.0,1694.0
6.0,5.0,174.1,6.0,5.0,940.0,6.0,5.0,991.4,6.0,5.0,251.9,6.0,4.0,774.5,5.0,4.0,1140.0
