1,三苫 晃幸,三苫 晃幸.1,2,杉村 賢也,杉村 賢也.1,3,岩永 雅人,岩永 雅人.1,4,宮本 裕之,宮本 裕之.1,5,魚谷 香織,魚谷 香織.1,6,菅 章哉,菅 章哉.1
2.0,3.0,57.7,1.0,3.0,288.1,1.0,2.0,157.3,1.0,2.0,509.6,1.0,2.0,467.0,1.0,2.0,20.2
2.0,4.0,162.3,1.0,4.0,402.6,1.0,4.0,216.8,1.0,3.0,558.8,1.0,3.0,222.6,1.0,3.0,10.0
2.0,5.0,92.0,1.0,5.0,454.5,1.0,5.0,76.6,1.0,5.0,717.0,1.0,4.0,672.4,1.0,4.0,21.7
2.0,6.0,63.3,1.0,6.0,268.9,1.0,6.0,50.1,1.0,6.0,364.1,1.0,6.0,188.2,1.0,5.0,18.5
3.0,2.0,36.4,3.0,1.0,419.8,2.0,1.0,267.6,2.0,1.0,676.6,2.0,1.0,816.4,2.0,1.0,41.1
3.0,4.0,76.0,3.0,4.0,745.1,2.0,4.0,760.8,2.0,3.0,876.0,2.0,3.0,944.9,2.0,3.0,51.8
3.0,5.0,23.2,3.0,5.0,794.4,2.0,5.0,396.2,2.0,5.0,1379.0,2.0,4.0,1344.0,2.0,4.0,56.7
3.0,6.0,13.6,3.0,6.0,491.0,2.0,6.0,353.0,2.0,6.0,664.1,2.0,6.0,883.1,2.0,5.0,88.1
4.0,2.0,268.7,4.0,1.0,764.4,4.0,1.0,525.3,3.0,1.0,782.9,3.0,1.0,269.8,3.0,1.0,16.6
4.0,3.0,164.3,4.0,3.0,973.3,4.0,2.0,976.2,3.0,2.0,878.3,3.0,2.0,723.4,3.0,2.0,39.7
4.0,5.0,249.7,4.0,5.0,1604.0,4.0,5.0,646.9,3.0,5.0,1223.0,3.0,4.0,833.2,3.0,4.0,36.3
4.0,6.0,146.9,4.0,6.0,788.6,4.0,6.0,463.0,3.0,6.0,661.4,3.0,6.0,267.2,3.0,5.0,28.9
5.0,2.0,103.9,5.0,1.0,794.4,5.0,1.0,138.9,5.0,1.0,1022.0,4.0,1.0,1062.0,4.0,1.0,27.2
5.0,3.0,53.5,5.0,3.0,1019.0,5.0,2.0,330.7,5.0,2.0,1339.0,4.0,2.0,1379.0,4.0,2.0,46.0
5.0,4.0,193.3,5.0,4.0,1486.0,5.0,4.0,526.1,5.0,3.0,1291.0,4.0,3.0,1045.0,4.0,3.0,36.9
5.0,6.0,44.8,5.0,6.0,964.6,5.0,6.0,148.0,5.0,6.0,866.6,4.0,6.0,950.5,4.0,5.0,51.9
6.0,2.0,34.7,6.0,1.0,300.1,6.0,1.0,55.5,6.0,1.0,242.6,6.0,1.0,158.9,5.0,1.0,38.9
6.0,3.0,13.0,6.0,3.0,413.9,6.0,2.0,187.2,6.0,2.0,332.0,6.0,2.0,448.9,5.0,2.0,80.0
6.0,4.0,58.1,6.0,4.0,521.9,6.0,4.0,186.4,6.0,3.0,347.3,6.0,3.0,205.0,5.0,3.0,41.7
6.0,5.0,25.0,6.0,5.0,654.7,6.0,5.0,89.4,6.0,5.0,458.4,6.0,4.0,453.3,5.0,4.0,64.9
