1,安東 幸治,安東 幸治.1,2,西山 貴浩,西山 貴浩.1,3,小林 遼太,小林 遼太.1,4,柴田 朋哉,柴田 朋哉.1,5,林 恵祐,林 恵祐.1,6,田中 京介,田中 京介.1
2.0,3.0,7.7,1.0,3.0,16.6,1.0,2.0,130.5,1.0,2.0,31.8,1.0,2.0,400.7,1.0,2.0,375.2
2.0,4.0,5.4,1.0,4.0,9.5,1.0,4.0,239.6,1.0,3.0,124.4,1.0,3.0,952.0,1.0,3.0,1276.0
2.0,5.0,31.5,1.0,5.0,47.1,1.0,5.0,568.3,1.0,5.0,73.7,1.0,4.0,500.0,1.0,4.0,601.8
2.0,6.0,14.7,1.0,6.0,22.6,1.0,6.0,453.5,1.0,6.0,55.3,1.0,6.0,714.0,1.0,5.0,1291.0
3.0,2.0,22.7,3.0,1.0,69.3,2.0,1.0,174.1,2.0,1.0,37.9,2.0,1.0,514.5,2.0,1.0,397.4
3.0,4.0,46.1,3.0,4.0,112.2,2.0,4.0,238.1,2.0,3.0,148.3,2.0,3.0,1281.0,2.0,3.0,949.3
3.0,5.0,142.1,3.0,5.0,263.4,2.0,5.0,687.7,2.0,5.0,78.7,2.0,4.0,580.0,2.0,4.0,468.0
3.0,6.0,95.5,3.0,6.0,142.0,2.0,6.0,401.6,2.0,6.0,50.6,2.0,6.0,771.1,2.0,5.0,1182.0
4.0,2.0,14.6,4.0,1.0,31.3,4.0,1.0,464.8,3.0,1.0,412.4,3.0,1.0,1831.0,3.0,1.0,1982.0
4.0,3.0,47.9,4.0,3.0,89.6,4.0,2.0,392.7,3.0,2.0,340.7,3.0,2.0,2119.0,3.0,2.0,1643.0
4.0,5.0,73.7,4.0,5.0,122.6,4.0,5.0,1271.0,3.0,5.0,715.5,3.0,4.0,2324.0,3.0,4.0,2905.0
4.0,6.0,44.4,4.0,6.0,57.0,4.0,6.0,923.3,3.0,6.0,572.1,3.0,6.0,3663.0,3.0,5.0,3829.0
5.0,2.0,112.0,5.0,1.0,200.1,5.0,1.0,1332.0,5.0,1.0,107.0,4.0,1.0,494.1,4.0,1.0,720.1
5.0,3.0,272.4,5.0,3.0,448.1,5.0,2.0,1358.0,5.0,2.0,90.6,4.0,2.0,489.8,4.0,2.0,522.4
5.0,4.0,184.9,5.0,4.0,286.8,5.0,4.0,1831.0,5.0,3.0,389.6,4.0,3.0,1332.0,4.0,3.0,2246.0
5.0,6.0,261.2,5.0,6.0,271.5,5.0,6.0,2324.0,5.0,6.0,112.4,4.0,6.0,592.2,4.0,5.0,1446.0
6.0,2.0,84.5,6.0,1.0,111.1,6.0,1.0,1243.0,6.0,1.0,92.0,6.0,1.0,1434.0,5.0,1.0,2340.0
6.0,3.0,233.7,6.0,3.0,237.3,6.0,2.0,915.7,6.0,2.0,77.1,6.0,2.0,1337.0,5.0,2.0,1872.0
6.0,4.0,141.4,6.0,4.0,143.5,6.0,4.0,1560.0,6.0,3.0,348.8,6.0,3.0,2956.0,5.0,3.0,3585.0
6.0,5.0,355.1,6.0,5.0,312.0,6.0,5.0,2407.0,6.0,5.0,146.3,6.0,4.0,1101.0,5.0,4.0,1893.0
