1,井手 良太,井手 良太.1,2,岸本 隆,岸本 隆.1,3,山口 広樹,山口 広樹.1,4,佐々木　英樹,佐々木　英樹.1,5,松田　大志郎,松田　大志郎.1,6,日高　龍之介,日高　龍之介.1
2.0,3.0,12.3,1.0,3.0,46.1,1.0,2.0,102.4,1.0,2.0,330.2,1.0,2.0,19.5,1.0,2.0,3608.0
2.0,4.0,22.0,1.0,4.0,62.9,1.0,4.0,124.9,1.0,3.0,449.0,1.0,3.0,28.4,1.0,3.0,4531.0
2.0,5.0,5.7,1.0,5.0,25.1,1.0,5.0,53.3,1.0,5.0,171.5,1.0,4.0,54.4,1.0,4.0,8472.0
2.0,6.0,255.0,1.0,6.0,716.4,1.0,6.0,805.2,1.0,6.0,1891.0,1.0,6.0,217.4,1.0,5.0,2466.0
3.0,2.0,19.0,3.0,1.0,116.6,2.0,1.0,169.4,2.0,1.0,472.9,2.0,1.0,43.8,2.0,1.0,8857.0
3.0,4.0,35.4,3.0,4.0,323.7,2.0,4.0,333.1,2.0,3.0,941.4,2.0,3.0,90.2,2.0,3.0,7794.0
3.0,5.0,10.6,3.0,5.0,136.7,2.0,5.0,155.3,2.0,5.0,340.6,2.0,4.0,144.1,2.0,4.0,9279.0
3.0,6.0,470.7,3.0,6.0,2141.0,2.0,6.0,2319.0,2.0,6.0,2466.0,2.0,6.0,541.3,2.0,5.0,7495.0
4.0,2.0,45.1,4.0,1.0,202.7,4.0,1.0,324.7,3.0,1.0,579.9,3.0,1.0,69.9,3.0,1.0,6286.0
4.0,3.0,57.2,4.0,3.0,409.3,4.0,2.0,450.0,3.0,2.0,743.7,3.0,2.0,115.3,3.0,2.0,7217.0
4.0,5.0,32.8,4.0,5.0,186.6,4.0,5.0,239.9,3.0,5.0,550.4,3.0,4.0,204.9,3.0,4.0,9279.0
4.0,6.0,647.4,4.0,6.0,2633.0,4.0,6.0,2435.0,3.0,6.0,2189.0,3.0,6.0,671.9,3.0,5.0,9999.0
5.0,2.0,7.0,5.0,1.0,45.2,5.0,1.0,74.4,5.0,1.0,195.8,4.0,1.0,126.7,4.0,1.0,9743.0
5.0,3.0,9.8,5.0,3.0,99.4,5.0,2.0,130.2,5.0,2.0,294.8,4.0,2.0,184.8,4.0,2.0,7217.0
5.0,4.0,23.8,5.0,4.0,153.3,5.0,4.0,192.1,5.0,3.0,363.5,4.0,3.0,277.9,4.0,3.0,9999.0
5.0,6.0,183.1,5.0,6.0,752.3,5.0,6.0,858.4,5.0,6.0,914.8,4.0,6.0,795.3,4.0,5.0,6719.0
6.0,2.0,1597.0,6.0,1.0,2706.0,6.0,1.0,2952.0,6.0,1.0,3976.0,6.0,1.0,665.0,5.0,1.0,2239.0
6.0,3.0,1249.0,6.0,3.0,3976.0,6.0,2.0,4059.0,6.0,2.0,4330.0,6.0,2.0,1047.0,5.0,2.0,5413.0
6.0,4.0,1571.0,6.0,4.0,5266.0,6.0,4.0,5266.0,6.0,3.0,5266.0,6.0,3.0,1146.0,5.0,3.0,6495.0
6.0,5.0,889.8,6.0,5.0,3676.0,6.0,5.0,3676.0,6.0,5.0,3359.0,6.0,4.0,1334.0,5.0,4.0,6286.0
