1,大熊 辰弥,大熊 辰弥.1,2,木山 誠一,木山 誠一.1,3,赤峰 和也,赤峰 和也.1,4,奥田 誠,奥田 誠.1,5,土井 歩夢,土井 歩夢.1,6,越智 照浩,越智 照浩.1
2.0,3.0,22.3,1.0,3.0,33.4,1.0,2.0,53.7,1.0,2.0,84.6,1.0,2.0,98.6,1.0,2.0,1348.0
2.0,4.0,22.9,1.0,4.0,36.7,1.0,4.0,50.4,1.0,3.0,101.0,1.0,3.0,73.2,1.0,3.0,1683.0
2.0,5.0,30.7,1.0,5.0,43.0,1.0,5.0,38.3,1.0,5.0,64.9,1.0,4.0,92.0,1.0,4.0,1508.0
2.0,6.0,125.4,1.0,6.0,189.1,1.0,6.0,170.8,1.0,6.0,156.9,1.0,6.0,143.1,1.0,5.0,1486.0
3.0,2.0,25.4,3.0,1.0,52.8,2.0,1.0,52.6,2.0,1.0,106.2,2.0,1.0,97.6,2.0,1.0,1554.0
3.0,4.0,20.5,3.0,4.0,42.6,2.0,4.0,56.3,2.0,3.0,85.1,2.0,3.0,78.1,2.0,3.0,1851.0
3.0,5.0,19.6,3.0,5.0,39.6,2.0,5.0,42.7,2.0,5.0,66.4,2.0,4.0,124.2,2.0,4.0,1591.0
3.0,6.0,113.2,3.0,6.0,204.9,2.0,6.0,225.3,2.0,6.0,189.6,2.0,6.0,249.9,2.0,5.0,1903.0
4.0,2.0,36.4,4.0,1.0,60.3,4.0,1.0,68.0,3.0,1.0,116.3,3.0,1.0,102.4,3.0,1.0,2214.0
4.0,3.0,39.6,4.0,3.0,55.7,4.0,2.0,63.1,3.0,2.0,94.8,3.0,2.0,105.8,3.0,2.0,2016.0
4.0,5.0,39.6,4.0,5.0,50.8,4.0,5.0,48.3,3.0,5.0,79.9,3.0,4.0,124.7,3.0,4.0,1835.0
4.0,6.0,126.6,4.0,6.0,220.6,4.0,6.0,177.1,3.0,6.0,205.5,3.0,6.0,207.6,3.0,5.0,1444.0
5.0,2.0,59.4,5.0,1.0,63.8,5.0,1.0,50.5,5.0,1.0,66.5,4.0,1.0,97.7,4.0,1.0,1903.0
5.0,3.0,43.0,5.0,3.0,51.8,5.0,2.0,50.6,5.0,2.0,67.4,4.0,2.0,115.1,4.0,2.0,1755.0
5.0,4.0,58.0,5.0,4.0,73.1,5.0,4.0,64.1,5.0,3.0,82.0,4.0,3.0,124.5,4.0,3.0,1921.0
5.0,6.0,124.9,5.0,6.0,224.3,5.0,6.0,159.8,5.0,6.0,87.3,4.0,6.0,121.8,4.0,5.0,934.3
6.0,2.0,357.3,6.0,1.0,449.6,6.0,1.0,500.4,6.0,1.0,382.1,6.0,1.0,328.0,5.0,1.0,1629.0
6.0,3.0,335.0,6.0,3.0,444.7,6.0,2.0,504.1,6.0,2.0,427.0,6.0,2.0,396.2,5.0,2.0,1886.0
6.0,4.0,325.9,6.0,4.0,588.7,6.0,4.0,540.2,6.0,3.0,448.6,6.0,3.0,390.9,5.0,3.0,1603.0
6.0,5.0,277.8,6.0,5.0,472.6,6.0,5.0,394.7,6.0,5.0,272.3,6.0,4.0,328.5,5.0,4.0,1033.0
