1,黒井 達矢,黒井 達矢.1,2,永嶋 裕一,永嶋 裕一.1,3,萩原 秀人,萩原 秀人.1,4,原村 拓也,原村 拓也.1,5,表 憲一,表 憲一.1,6,桑原 将光,桑原 将光.1
2.0,3.0,15.4,1.0,3.0,151.0,1.0,2.0,37.7,1.0,2.0,209.1,1.0,2.0,551.4,1.0,2.0,1001.0
2.0,4.0,32.6,1.0,4.0,266.7,1.0,4.0,17.3,1.0,3.0,88.0,1.0,3.0,228.2,1.0,3.0,453.9
2.0,5.0,57.6,1.0,5.0,351.4,1.0,5.0,21.5,1.0,5.0,110.7,1.0,4.0,365.1,1.0,4.0,810.2
2.0,6.0,63.4,1.0,6.0,410.3,1.0,6.0,25.8,1.0,6.0,126.8,1.0,6.0,415.7,1.0,5.0,793.0
3.0,2.0,9.1,3.0,1.0,212.8,2.0,1.0,124.3,2.0,1.0,514.1,2.0,1.0,1222.0,2.0,1.0,1426.0
3.0,4.0,5.6,3.0,4.0,443.6,2.0,4.0,237.0,2.0,3.0,605.0,2.0,3.0,999.5,2.0,3.0,1630.0
3.0,5.0,7.6,3.0,5.0,544.8,2.0,5.0,271.5,2.0,5.0,699.8,2.0,4.0,1488.0,2.0,4.0,1656.0
3.0,6.0,11.9,3.0,6.0,589.3,2.0,6.0,274.4,2.0,6.0,614.9,2.0,6.0,1431.0,2.0,5.0,1984.0
4.0,2.0,32.1,4.0,1.0,506.5,4.0,1.0,55.1,3.0,1.0,134.2,3.0,1.0,311.2,3.0,1.0,547.7
4.0,3.0,15.7,4.0,3.0,611.3,4.0,2.0,168.0,3.0,2.0,405.9,3.0,2.0,847.0,3.0,2.0,1308.0
4.0,5.0,41.2,4.0,5.0,1004.0,4.0,5.0,101.5,3.0,5.0,220.5,3.0,4.0,628.1,3.0,4.0,906.8
4.0,6.0,45.6,4.0,6.0,828.2,4.0,6.0,102.0,3.0,6.0,226.8,3.0,6.0,581.0,3.0,5.0,910.8
5.0,2.0,103.0,5.0,1.0,885.3,5.0,1.0,89.0,5.0,1.0,153.5,4.0,1.0,401.9,4.0,1.0,971.1
5.0,3.0,37.2,5.0,3.0,785.4,5.0,2.0,242.2,5.0,2.0,376.5,4.0,2.0,834.9,4.0,2.0,1544.0
5.0,4.0,80.1,5.0,4.0,1421.0,5.0,4.0,169.1,5.0,3.0,250.4,4.0,3.0,558.9,4.0,3.0,978.1
5.0,6.0,94.0,5.0,6.0,1373.0,5.0,6.0,144.6,5.0,6.0,163.6,4.0,6.0,359.7,4.0,5.0,744.2
6.0,2.0,151.9,6.0,1.0,1173.0,6.0,1.0,128.9,6.0,1.0,262.3,6.0,1.0,615.9,5.0,1.0,1177.0
6.0,3.0,65.9,6.0,3.0,1131.0,6.0,2.0,319.4,6.0,2.0,415.7,6.0,2.0,1163.0,5.0,2.0,1817.0
6.0,4.0,120.6,6.0,4.0,1342.0,6.0,4.0,220.6,6.0,3.0,331.8,6.0,3.0,686.9,5.0,3.0,1011.0
6.0,5.0,161.7,6.0,5.0,1697.0,6.0,5.0,226.0,6.0,5.0,267.6,6.0,4.0,585.1,5.0,4.0,775.1
