1,下河 誉史,下河 誉史.1,2,東 健介,東 健介.1,3,梶山 涼斗,梶山 涼斗.1,4,表 健太,表 健太.1,5,檀 将太,檀 将太.1,6,栗原 謙治,栗原 謙治.1
2.0,3.0,5.6,1.0,3.0,31.3,1.0,2.0,34.3,1.0,2.0,243.7,1.0,2.0,238.3,1.0,2.0,239.2
2.0,4.0,27.5,1.0,4.0,101.0,1.0,4.0,67.4,1.0,3.0,259.3,1.0,3.0,169.5,1.0,3.0,244.6
2.0,5.0,25.0,1.0,5.0,113.5,1.0,5.0,51.1,1.0,5.0,269.1,1.0,4.0,406.2,1.0,4.0,561.6
2.0,6.0,15.1,1.0,6.0,72.4,1.0,6.0,51.4,1.0,6.0,364.9,1.0,6.0,294.9,1.0,5.0,474.9
3.0,2.0,6.5,3.0,1.0,54.5,2.0,1.0,65.5,2.0,1.0,318.1,2.0,1.0,424.9,2.0,1.0,398.6
3.0,4.0,16.7,3.0,4.0,185.5,2.0,4.0,195.1,2.0,3.0,587.1,2.0,3.0,442.3,2.0,3.0,445.4
3.0,5.0,15.3,3.0,5.0,211.0,2.0,5.0,147.1,2.0,5.0,468.0,2.0,4.0,687.1,2.0,4.0,964.0
3.0,6.0,12.8,3.0,6.0,135.1,2.0,6.0,139.8,2.0,6.0,471.4,2.0,6.0,694.5,2.0,5.0,709.7
4.0,2.0,68.8,4.0,1.0,436.4,4.0,1.0,175.0,3.0,1.0,451.6,3.0,1.0,303.2,3.0,1.0,315.0
4.0,3.0,29.9,4.0,3.0,493.0,4.0,2.0,254.2,3.0,2.0,633.2,3.0,2.0,581.8,3.0,2.0,427.7
4.0,5.0,92.1,4.0,5.0,525.1,4.0,5.0,251.3,3.0,5.0,482.0,3.0,4.0,725.7,3.0,4.0,797.3
4.0,6.0,97.7,4.0,6.0,828.0,4.0,6.0,297.6,3.0,6.0,659.0,3.0,6.0,702.0,3.0,5.0,709.7
5.0,2.0,57.4,5.0,1.0,373.3,5.0,1.0,144.1,5.0,1.0,329.5,4.0,1.0,512.6,4.0,1.0,377.7
5.0,3.0,45.3,5.0,3.0,389.0,5.0,2.0,205.0,5.0,2.0,516.7,4.0,2.0,627.0,4.0,2.0,936.0
5.0,4.0,103.1,5.0,4.0,587.1,5.0,4.0,266.8,5.0,3.0,500.6,4.0,3.0,725.7,4.0,3.0,897.0
5.0,6.0,87.0,5.0,6.0,538.2,5.0,6.0,296.2,5.0,6.0,665.8,4.0,6.0,849.8,4.0,5.0,709.7
6.0,2.0,28.3,6.0,1.0,280.8,6.0,1.0,134.5,6.0,1.0,797.3,6.0,1.0,547.3,5.0,1.0,343.5
6.0,3.0,25.3,6.0,3.0,284.5,6.0,2.0,207.0,6.0,2.0,936.0,6.0,2.0,922.6,5.0,2.0,751.0
6.0,4.0,71.5,6.0,4.0,659.0,6.0,4.0,282.0,6.0,3.0,1025.0,6.0,3.0,759.8,5.0,3.0,909.6
6.0,5.0,66.9,6.0,5.0,533.7,6.0,5.0,294.9,6.0,5.0,993.6,6.0,4.0,1374.0,5.0,4.0,1025.0
