1,山下 大輝,山下 大輝.1,2,山田 丈,山田 丈.1,3,浦野 海,浦野 海.1,4,大原 祥昌,大原 祥昌.1,5,中野 希一,中野 希一.1,6,篠原 飛翔,篠原 飛翔.1
2.0,3.0,7.9,1.0,3.0,42.3,1.0,2.0,50.4,1.0,2.0,257.0,1.0,2.0,64.3,1.0,2.0,462.3
2.0,4.0,19.7,1.0,4.0,82.5,1.0,4.0,76.8,1.0,3.0,352.1,1.0,3.0,101.8,1.0,3.0,602.4
2.0,5.0,8.1,1.0,5.0,37.0,1.0,5.0,40.2,1.0,5.0,245.1,1.0,4.0,165.0,1.0,4.0,769.6
2.0,6.0,28.1,1.0,6.0,92.3,1.0,6.0,76.4,1.0,6.0,323.3,1.0,6.0,104.6,1.0,5.0,553.5
3.0,2.0,9.4,3.0,1.0,116.8,2.0,1.0,123.2,2.0,1.0,432.2,2.0,1.0,114.8,2.0,1.0,751.7
3.0,4.0,21.1,3.0,4.0,475.8,2.0,4.0,385.3,2.0,3.0,892.7,2.0,3.0,272.8,2.0,3.0,1326.0
3.0,5.0,10.3,3.0,5.0,212.3,2.0,5.0,193.5,2.0,5.0,621.2,2.0,4.0,438.1,2.0,4.0,1620.0
3.0,6.0,22.0,3.0,6.0,413.6,2.0,6.0,300.0,2.0,6.0,793.1,2.0,6.0,272.4,2.0,5.0,1246.0
4.0,2.0,44.1,4.0,1.0,297.4,4.0,1.0,280.9,3.0,1.0,654.1,3.0,1.0,214.0,3.0,1.0,903.6
4.0,3.0,46.5,4.0,3.0,643.5,4.0,2.0,466.8,3.0,2.0,962.3,3.0,2.0,354.7,3.0,2.0,1473.0
4.0,5.0,59.7,4.0,5.0,505.0,4.0,5.0,372.1,3.0,5.0,711.5,3.0,4.0,519.2,3.0,4.0,1465.0
4.0,6.0,81.3,4.0,6.0,762.8,4.0,6.0,432.9,3.0,6.0,725.4,3.0,6.0,294.2,3.0,5.0,957.0
5.0,2.0,15.9,5.0,1.0,101.7,5.0,1.0,111.5,5.0,1.0,317.4,4.0,1.0,327.8,4.0,1.0,1176.0
5.0,3.0,19.6,5.0,3.0,207.4,5.0,2.0,172.4,5.0,2.0,502.1,4.0,2.0,461.4,4.0,2.0,1525.0
5.0,4.0,51.5,5.0,4.0,411.0,5.0,4.0,318.6,5.0,3.0,568.7,4.0,3.0,548.9,4.0,3.0,1512.0
5.0,6.0,35.2,5.0,6.0,316.2,5.0,6.0,193.6,5.0,6.0,379.1,4.0,6.0,342.6,4.0,5.0,1140.0
6.0,2.0,72.0,6.0,1.0,403.3,6.0,1.0,310.6,6.0,1.0,600.3,6.0,1.0,200.5,5.0,1.0,632.5
6.0,3.0,63.2,6.0,3.0,727.5,6.0,2.0,489.8,6.0,2.0,854.5,6.0,2.0,293.5,5.0,2.0,877.6
6.0,4.0,124.3,6.0,4.0,1094.0,6.0,4.0,616.0,6.0,3.0,806.7,6.0,3.0,298.2,5.0,3.0,867.4
6.0,5.0,77.2,6.0,5.0,679.8,6.0,5.0,343.2,6.0,5.0,565.0,6.0,4.0,311.7,5.0,4.0,955.2
