1,中嶋 達也,中嶋 達也.1,2,宇野 博之,宇野 博之.1,3,今出 晋二,今出 晋二.1,4,出畑 孝成,出畑 孝成.1,5,加藤 翔,加藤 翔.1,6,上田 隆章,上田 隆章.1
2.0,3.0,9.3,1.0,3.0,16.6,1.0,2.0,42.1,1.0,2.0,539.6,1.0,2.0,58.5,1.0,2.0,197.9
2.0,4.0,120.2,1.0,4.0,186.1,1.0,4.0,262.8,1.0,3.0,813.0,1.0,3.0,75.0,1.0,3.0,258.9
2.0,5.0,9.4,1.0,5.0,17.4,1.0,5.0,42.3,1.0,5.0,776.7,1.0,4.0,450.0,1.0,4.0,603.7
2.0,6.0,24.2,1.0,6.0,32.8,1.0,6.0,72.0,1.0,6.0,673.7,1.0,6.0,80.7,1.0,5.0,241.5
3.0,2.0,15.6,3.0,1.0,36.7,2.0,1.0,50.6,2.0,1.0,619.0,2.0,1.0,77.3,2.0,1.0,248.3
3.0,4.0,124.7,3.0,4.0,283.6,2.0,4.0,364.0,2.0,3.0,1311.0,2.0,3.0,101.0,2.0,3.0,268.0
3.0,5.0,19.1,3.0,5.0,39.4,2.0,5.0,44.9,2.0,5.0,1042.0,2.0,4.0,641.8,2.0,4.0,734.6
3.0,6.0,36.4,3.0,6.0,55.4,2.0,6.0,68.9,2.0,6.0,983.5,2.0,6.0,111.6,2.0,5.0,288.3
4.0,2.0,300.3,4.0,1.0,612.8,4.0,1.0,721.6,3.0,1.0,1098.0,3.0,1.0,86.4,3.0,1.0,378.7
4.0,3.0,315.9,4.0,3.0,813.0,4.0,2.0,757.5,3.0,2.0,1129.0,3.0,2.0,95.2,3.0,2.0,335.0
4.0,5.0,288.9,4.0,5.0,852.8,4.0,5.0,813.0,3.0,5.0,1161.0,3.0,4.0,549.3,3.0,4.0,858.8
4.0,6.0,290.3,4.0,6.0,666.4,4.0,6.0,677.5,3.0,6.0,1088.0,3.0,6.0,124.1,3.0,5.0,320.0
5.0,2.0,19.5,5.0,1.0,47.4,5.0,1.0,54.9,5.0,1.0,1024.0,4.0,1.0,835.3,4.0,1.0,1207.0
5.0,3.0,26.0,5.0,3.0,55.9,5.0,2.0,56.8,5.0,2.0,858.8,4.0,2.0,846.9,4.0,2.0,1270.0
5.0,4.0,249.9,5.0,4.0,402.5,5.0,4.0,332.3,5.0,3.0,991.5,4.0,3.0,858.8,4.0,3.0,1583.0
5.0,6.0,39.0,5.0,6.0,76.4,5.0,6.0,78.3,5.0,6.0,999.6,4.0,6.0,673.7,4.0,5.0,1451.0
6.0,2.0,50.7,6.0,1.0,108.6,6.0,1.0,142.9,6.0,1.0,1016.0,6.0,1.0,111.8,5.0,1.0,295.2
6.0,3.0,65.0,6.0,3.0,97.8,6.0,2.0,124.9,6.0,2.0,1150.0,6.0,2.0,129.0,5.0,2.0,282.9
6.0,4.0,307.9,6.0,4.0,544.4,6.0,4.0,625.4,6.0,3.0,1283.0,6.0,3.0,173.9,5.0,3.0,337.8
6.0,5.0,67.3,6.0,5.0,134.4,6.0,5.0,144.6,6.0,5.0,1370.0,6.0,4.0,489.7,5.0,4.0,841.0
