1,大神 康司,大神 康司.1,2,菊池 宏志,菊池 宏志.1,3,上田 洋平,上田 洋平.1,4,清水 敦揮,清水 敦揮.1,5,福嶋 智之,福嶋 智之.1,6,関野 文,関野 文.1
2.0,3.0,31.6,1.0,3.0,108.3,1.0,2.0,183.1,1.0,2.0,22.8,1.0,2.0,401.4,1.0,2.0,767.6
2.0,4.0,15.2,1.0,4.0,47.9,1.0,4.0,62.0,1.0,3.0,19.7,1.0,3.0,532.5,1.0,3.0,617.5
2.0,5.0,68.6,1.0,5.0,159.5,1.0,5.0,231.5,1.0,5.0,33.3,1.0,4.0,210.0,1.0,4.0,268.4
2.0,6.0,54.4,1.0,6.0,161.5,1.0,6.0,163.5,1.0,6.0,20.6,1.0,6.0,359.4,1.0,5.0,1014.0
3.0,2.0,31.9,3.0,1.0,232.7,2.0,1.0,318.6,2.0,1.0,51.7,2.0,1.0,689.1,2.0,1.0,1214.0
3.0,4.0,12.6,3.0,4.0,214.5,2.0,4.0,254.9,2.0,3.0,75.0,2.0,3.0,1116.0,2.0,3.0,2188.0
3.0,5.0,68.8,3.0,5.0,609.9,2.0,5.0,636.4,2.0,5.0,98.7,2.0,4.0,647.1,2.0,4.0,875.3
3.0,6.0,43.0,3.0,6.0,601.8,2.0,6.0,651.3,2.0,6.0,84.3,2.0,6.0,831.6,2.0,5.0,2640.0
4.0,2.0,9.9,4.0,1.0,67.3,4.0,1.0,82.2,3.0,1.0,47.6,3.0,1.0,1016.0,3.0,1.0,966.9
4.0,3.0,9.3,4.0,3.0,119.3,4.0,2.0,177.3,3.0,2.0,80.4,3.0,2.0,1525.0,3.0,2.0,2003.0
4.0,5.0,25.5,4.0,5.0,177.4,4.0,5.0,211.6,3.0,5.0,99.1,3.0,4.0,770.0,3.0,4.0,777.1
4.0,6.0,13.9,4.0,6.0,156.7,4.0,6.0,167.4,3.0,6.0,78.4,3.0,6.0,1260.0,3.0,5.0,2169.0
5.0,2.0,129.9,5.0,1.0,469.8,5.0,1.0,659.1,5.0,1.0,45.3,4.0,1.0,219.6,4.0,1.0,237.2
5.0,3.0,152.2,5.0,3.0,1043.0,5.0,2.0,995.9,5.0,2.0,77.1,4.0,2.0,358.1,4.0,2.0,658.2
5.0,4.0,86.5,5.0,4.0,462.0,5.0,4.0,470.2,5.0,3.0,88.4,4.0,3.0,417.8,4.0,3.0,528.5
5.0,6.0,145.5,5.0,6.0,854.3,5.0,6.0,789.4,5.0,6.0,48.5,4.0,6.0,252.8,4.0,5.0,693.9
6.0,2.0,110.1,6.0,1.0,598.9,6.0,1.0,434.2,6.0,1.0,41.8,6.0,1.0,600.4,5.0,1.0,1157.0
6.0,3.0,109.1,6.0,3.0,1160.0,6.0,2.0,851.4,6.0,2.0,85.3,6.0,2.0,974.5,5.0,2.0,1897.0
6.0,4.0,53.7,6.0,4.0,501.9,6.0,4.0,362.0,6.0,3.0,89.9,6.0,3.0,1199.0,5.0,3.0,2096.0
6.0,5.0,176.5,6.0,5.0,1330.0,6.0,5.0,910.5,6.0,5.0,74.5,6.0,4.0,512.8,5.0,4.0,927.4
