1,野長瀬　正孝,野長瀬　正孝.1,2,津久井　拓也,津久井　拓也.1,3,志道 吉和,志道 吉和.1,4,小林 遼太,小林 遼太.1,5,平田　健之佑,平田　健之佑.1,6,宮城 那菜,宮城 那菜.1
2.0,3.0,9.3,1.0,3.0,30.9,1.0,2.0,93.4,1.0,2.0,126.6,1.0,2.0,24.1,1.0,2.0,2836.0
2.0,4.0,12.9,1.0,4.0,34.9,1.0,4.0,175.7,1.0,3.0,281.9,1.0,3.0,56.2,1.0,3.0,4471.0
2.0,5.0,5.8,1.0,5.0,17.2,1.0,5.0,95.3,1.0,5.0,101.2,1.0,4.0,58.4,1.0,4.0,5000.0
2.0,6.0,387.0,1.0,6.0,491.6,1.0,6.0,1104.0,1.0,6.0,1165.0,1.0,6.0,468.6,1.0,5.0,3486.0
3.0,2.0,17.6,3.0,1.0,101.9,2.0,1.0,160.3,2.0,1.0,214.8,2.0,1.0,43.4,2.0,1.0,3585.0
3.0,4.0,30.8,3.0,4.0,230.3,2.0,4.0,322.0,2.0,3.0,511.5,2.0,3.0,105.3,2.0,3.0,6910.0
3.0,5.0,17.1,3.0,5.0,122.4,2.0,5.0,187.1,2.0,5.0,205.6,2.0,4.0,98.4,2.0,4.0,7308.0
3.0,6.0,482.9,3.0,6.0,2043.0,2.0,6.0,2043.0,2.0,6.0,2010.0,2.0,6.0,723.9,2.0,5.0,4419.0
4.0,2.0,27.8,4.0,1.0,135.0,4.0,1.0,378.5,3.0,1.0,582.0,3.0,1.0,160.2,3.0,1.0,5278.0
4.0,3.0,47.7,4.0,3.0,259.4,4.0,2.0,441.4,3.0,2.0,723.9,3.0,2.0,207.9,3.0,2.0,8445.0
4.0,5.0,28.5,4.0,5.0,138.8,4.0,5.0,373.7,3.0,5.0,524.2,3.0,4.0,331.3,3.0,4.0,9501.0
4.0,6.0,485.3,4.0,6.0,1784.0,4.0,6.0,2603.0,3.0,6.0,2879.0,3.0,6.0,1478.0,3.0,5.0,4368.0
5.0,2.0,8.1,5.0,1.0,38.9,5.0,1.0,156.3,5.0,1.0,110.8,4.0,1.0,114.8,4.0,1.0,7452.0
5.0,3.0,16.9,5.0,3.0,90.6,5.0,2.0,190.8,5.0,2.0,141.3,4.0,2.0,143.2,4.0,2.0,6129.0
5.0,4.0,23.6,5.0,4.0,100.7,5.0,4.0,304.2,5.0,3.0,334.8,4.0,3.0,318.5,4.0,3.0,9999.0
5.0,6.0,373.3,5.0,6.0,902.7,5.0,6.0,1674.0,5.0,6.0,803.5,4.0,6.0,1000.0,4.0,5.0,5672.0
6.0,2.0,1450.0,6.0,1.0,2346.0,6.0,1.0,2857.0,6.0,1.0,3654.0,6.0,1.0,1392.0,5.0,1.0,3878.0
6.0,3.0,1564.0,6.0,3.0,3918.0,6.0,2.0,2857.0,6.0,2.0,4368.0,6.0,2.0,1711.0,5.0,2.0,5672.0
6.0,4.0,1456.0,6.0,4.0,4692.0,6.0,4.0,4419.0,6.0,3.0,6129.0,6.0,3.0,2262.0,5.0,3.0,4750.0
6.0,5.0,1418.0,6.0,5.0,3519.0,6.0,5.0,2857.0,6.0,5.0,2639.0,6.0,4.0,2516.0,5.0,4.0,5589.0
