1,大場 広孝,大場 広孝.1,2,森 晋太郎,森 晋太郎.1,3,前田 将太,前田 将太.1,4,小川 広大,小川 広大.1,5,日高 逸子,日高 逸子.1,6,小林 遼太,小林 遼太.1
2.0,3.0,23.0,1.0,3.0,50.3,1.0,2.0,13.1,1.0,2.0,482.8,1.0,2.0,429.1,1.0,2.0,1094.0
2.0,4.0,106.0,1.0,4.0,177.9,1.0,4.0,12.0,1.0,3.0,163.3,1.0,3.0,123.4,1.0,3.0,397.9
2.0,5.0,109.0,1.0,5.0,178.1,1.0,5.0,9.8,1.0,5.0,358.8,1.0,4.0,554.1,1.0,4.0,1026.0
2.0,6.0,148.5,1.0,6.0,249.6,1.0,6.0,14.2,1.0,6.0,359.8,1.0,6.0,414.2,1.0,5.0,1059.0
3.0,2.0,10.4,3.0,1.0,73.4,2.0,1.0,40.3,2.0,1.0,694.8,2.0,1.0,698.5,2.0,1.0,1459.0
3.0,4.0,13.1,3.0,4.0,202.0,2.0,4.0,85.1,2.0,3.0,721.5,2.0,3.0,656.6,2.0,3.0,1397.0
3.0,5.0,13.7,3.0,5.0,184.1,2.0,5.0,73.5,2.0,5.0,1216.0,2.0,4.0,1412.0,2.0,4.0,1705.0
3.0,6.0,18.3,3.0,6.0,213.5,2.0,6.0,86.2,2.0,6.0,1034.0,2.0,6.0,1076.0,2.0,5.0,2225.0
4.0,2.0,98.2,4.0,1.0,523.2,4.0,1.0,27.7,3.0,1.0,149.5,3.0,1.0,113.6,3.0,1.0,401.6
4.0,3.0,43.7,4.0,3.0,586.2,4.0,2.0,72.6,3.0,2.0,411.6,3.0,2.0,387.4,3.0,2.0,1122.0
4.0,5.0,112.0,4.0,5.0,1010.0,4.0,5.0,32.2,3.0,5.0,213.5,3.0,4.0,360.7,3.0,4.0,643.7
4.0,6.0,110.5,4.0,6.0,1103.0,4.0,6.0,36.5,3.0,6.0,231.2,3.0,6.0,284.8,3.0,5.0,640.6
5.0,2.0,130.8,5.0,1.0,523.2,5.0,1.0,23.8,5.0,1.0,505.1,4.0,1.0,795.9,4.0,1.0,1443.0
5.0,3.0,49.6,5.0,3.0,519.0,5.0,2.0,63.2,5.0,2.0,1034.0,4.0,2.0,1492.0,4.0,2.0,2477.0
5.0,4.0,161.7,5.0,4.0,1275.0,5.0,4.0,46.1,5.0,3.0,432.0,4.0,3.0,576.0,4.0,3.0,825.9
5.0,6.0,164.1,5.0,6.0,912.0,5.0,6.0,37.3,5.0,6.0,631.3,4.0,6.0,1141.0,4.0,5.0,2084.0
6.0,2.0,233.2,6.0,1.0,702.2,6.0,1.0,54.7,6.0,1.0,687.5,6.0,1.0,706.0,5.0,1.0,1443.0
6.0,3.0,90.5,6.0,3.0,763.5,6.0,2.0,157.0,6.0,2.0,1313.0,6.0,2.0,1427.0,5.0,2.0,2626.0
6.0,4.0,193.7,6.0,4.0,1849.0,6.0,4.0,87.7,6.0,3.0,503.1,6.0,3.0,505.1,5.0,3.0,795.9
6.0,5.0,222.9,6.0,5.0,1172.0,6.0,5.0,75.0,6.0,5.0,899.5,6.0,4.0,1227.0,5.0,4.0,2304.0
