1,青木　幸太郎,青木　幸太郎.1,2,森林 太,森林 太.1,3,亀山 雅幸,亀山 雅幸.1,4,檀 将太,檀 将太.1,5,向井田　佑紀,向井田　佑紀.1,6,水摩 敦,水摩 敦.1
2.0,3.0,17.3,1.0,3.0,137.7,1.0,2.0,55.1,1.0,2.0,814.0,1.0,2.0,116.6,1.0,2.0,129.8
2.0,4.0,128.4,1.0,4.0,449.3,1.0,4.0,120.5,1.0,3.0,652.0,1.0,3.0,54.1,1.0,3.0,61.1
2.0,5.0,38.9,1.0,5.0,183.1,1.0,5.0,23.5,1.0,5.0,664.1,1.0,4.0,362.7,1.0,4.0,362.7
2.0,6.0,32.1,1.0,6.0,237.2,1.0,6.0,26.5,1.0,6.0,577.3,1.0,6.0,44.8,1.0,5.0,73.4
3.0,2.0,12.4,3.0,1.0,241.3,2.0,1.0,165.6,2.0,1.0,954.3,2.0,1.0,270.0,2.0,1.0,269.3
3.0,4.0,44.8,3.0,4.0,553.7,2.0,4.0,618.2,2.0,3.0,1828.0,2.0,3.0,295.4,2.0,3.0,295.8
3.0,5.0,8.2,3.0,5.0,264.7,2.0,5.0,184.1,2.0,5.0,1489.0,2.0,4.0,773.9,2.0,4.0,916.5
3.0,6.0,7.9,3.0,6.0,313.2,2.0,6.0,183.2,2.0,6.0,1297.0,2.0,6.0,234.8,2.0,5.0,312.5
4.0,2.0,192.5,4.0,1.0,936.1,4.0,1.0,446.2,3.0,1.0,973.2,3.0,1.0,87.9,3.0,1.0,107.6
4.0,3.0,111.6,4.0,3.0,1248.0,4.0,2.0,761.9,3.0,2.0,1709.0,3.0,2.0,227.4,3.0,2.0,238.4
4.0,5.0,184.2,4.0,5.0,1365.0,4.0,5.0,495.8,3.0,5.0,1389.0,3.0,4.0,572.3,3.0,4.0,573.9
4.0,6.0,136.7,4.0,6.0,1083.0,4.0,6.0,420.0,3.0,6.0,914.3,3.0,6.0,73.3,3.0,5.0,108.1
5.0,2.0,37.3,5.0,1.0,388.9,5.0,1.0,44.0,5.0,1.0,840.1,4.0,1.0,769.4,4.0,1.0,700.8
5.0,3.0,15.2,5.0,3.0,394.7,5.0,2.0,159.7,5.0,2.0,1414.0,4.0,2.0,1228.0,4.0,2.0,978.0
5.0,4.0,141.2,5.0,4.0,1341.0,5.0,4.0,334.9,5.0,3.0,1389.0,4.0,3.0,1092.0,4.0,3.0,956.6
5.0,6.0,19.1,5.0,6.0,424.6,5.0,6.0,43.3,5.0,6.0,748.9,4.0,6.0,652.0,4.0,5.0,843.7
6.0,2.0,42.1,6.0,1.0,496.4,6.0,1.0,63.2,6.0,1.0,860.3,6.0,1.0,50.7,5.0,1.0,89.2
6.0,3.0,18.2,6.0,3.0,358.0,6.0,2.0,178.8,6.0,2.0,1566.0,6.0,2.0,116.5,5.0,2.0,187.1
6.0,4.0,131.4,6.0,4.0,809.0,6.0,4.0,358.7,6.0,3.0,1159.0,6.0,3.0,56.6,5.0,3.0,92.9
6.0,5.0,28.8,6.0,5.0,398.7,6.0,5.0,56.0,6.0,5.0,873.7,6.0,4.0,326.2,5.0,4.0,478.3
