1,平池 仁志,平池 仁志.1,2,菅 章哉,菅 章哉.1,3,吉本 玲緒,吉本 玲緒.1,4,佐竹 太一,佐竹 太一.1,5,西丸　侑太朗,西丸　侑太朗.1,6,松本 博昭,松本 博昭.1
2.0,3.0,47.2,1.0,3.0,30.9,1.0,2.0,301.1,1.0,2.0,80.7,1.0,2.0,361.9,1.0,2.0,319.0
2.0,4.0,17.0,1.0,4.0,9.1,1.0,4.0,393.7,1.0,3.0,356.3,1.0,3.0,1065.0,1.0,3.0,1416.0
2.0,5.0,50.6,1.0,5.0,27.8,1.0,5.0,604.7,1.0,5.0,177.4,1.0,4.0,586.9,1.0,4.0,664.1
2.0,6.0,31.8,1.0,6.0,16.3,1.0,6.0,622.7,1.0,6.0,135.2,1.0,6.0,490.5,1.0,5.0,1097.0
3.0,2.0,92.9,3.0,1.0,59.6,2.0,1.0,218.2,2.0,1.0,57.3,2.0,1.0,263.8,2.0,1.0,265.1
3.0,4.0,147.9,3.0,4.0,30.8,2.0,4.0,116.0,2.0,3.0,127.4,2.0,3.0,416.5,2.0,3.0,653.3
3.0,5.0,246.9,3.0,5.0,54.8,2.0,5.0,181.1,2.0,5.0,63.9,2.0,4.0,188.4,2.0,4.0,182.3
3.0,6.0,270.3,3.0,6.0,44.8,2.0,6.0,183.3,2.0,6.0,44.8,2.0,6.0,180.5,2.0,5.0,421.7
4.0,2.0,38.0,4.0,1.0,12.6,4.0,1.0,481.3,3.0,1.0,580.7,3.0,1.0,1579.0,3.0,1.0,2195.0
4.0,3.0,123.3,4.0,3.0,25.0,4.0,2.0,224.6,3.0,2.0,298.4,3.0,2.0,811.5,3.0,2.0,1398.0
4.0,5.0,111.8,4.0,5.0,17.5,4.0,5.0,462.1,3.0,5.0,515.2,3.0,4.0,1380.0,3.0,4.0,1662.0
4.0,6.0,70.9,4.0,6.0,9.5,4.0,6.0,401.3,3.0,6.0,430.4,3.0,6.0,1540.0,3.0,5.0,2508.0
5.0,2.0,159.1,5.0,1.0,65.0,5.0,1.0,1111.0,5.0,1.0,211.8,4.0,1.0,538.0,4.0,1.0,590.0
5.0,3.0,348.7,5.0,3.0,76.9,5.0,2.0,525.1,5.0,2.0,122.1,4.0,2.0,263.0,4.0,2.0,229.9
5.0,4.0,242.9,5.0,4.0,36.6,5.0,4.0,894.1,5.0,3.0,410.6,4.0,3.0,918.4,4.0,3.0,1068.0
5.0,6.0,267.2,5.0,6.0,41.1,5.0,6.0,1033.0,5.0,6.0,133.7,4.0,6.0,306.7,4.0,5.0,681.7
6.0,2.0,105.6,6.0,1.0,39.4,6.0,1.0,1089.0,6.0,1.0,167.1,6.0,1.0,608.0,5.0,1.0,1326.0
6.0,3.0,374.2,6.0,3.0,73.6,6.0,2.0,581.4,6.0,2.0,84.2,6.0,2.0,341.9,5.0,2.0,688.1
6.0,4.0,147.4,6.0,4.0,21.0,6.0,4.0,796.7,6.0,3.0,359.8,6.0,3.0,1206.0,5.0,3.0,2090.0
6.0,5.0,287.8,6.0,5.0,47.5,6.0,5.0,1137.0,6.0,5.0,166.4,6.0,4.0,462.6,5.0,4.0,894.1
