first,second,third,odds
6,1,1379,6.0
6,1,2073,6.0
6,1,3183,6.0
6,1,4394,5.0
3,2,2197,2.0
3,4043,2,4543.0
4,3743,3,4647.0
5,3515,4,5391.0
