1,松崎　祐太郎,松崎　祐太郎.1,2,上村　慎太郎,上村　慎太郎.1,3,田中　太一郎,田中　太一郎.1,4,本岡 勝利,本岡 勝利.1,5,柳瀬 興志,柳瀬 興志.1,6,平尾 崇典,平尾 崇典.1
2.0,3.0,30.1,1.0,3.0,363.0,1.0,2.0,337.0,1.0,2.0,239.9,1.0,2.0,958.7,1.0,2.0,48.9
2.0,4.0,26.5,1.0,4.0,295.5,1.0,4.0,163.6,1.0,3.0,211.6,1.0,3.0,656.3,1.0,3.0,29.1
2.0,5.0,75.6,1.0,5.0,748.8,1.0,5.0,225.0,1.0,5.0,266.1,1.0,4.0,728.3,1.0,4.0,27.9
2.0,6.0,14.9,1.0,6.0,257.6,1.0,6.0,70.3,1.0,6.0,71.2,1.0,6.0,318.2,1.0,5.0,57.8
3.0,2.0,29.0,3.0,1.0,748.8,2.0,1.0,716.8,2.0,1.0,507.3,2.0,1.0,2025.0,2.0,1.0,150.7
3.0,4.0,16.8,3.0,4.0,1618.0,2.0,4.0,1213.0,2.0,3.0,1515.0,2.0,3.0,3093.0,2.0,3.0,319.1
3.0,5.0,36.4,3.0,5.0,1980.0,2.0,5.0,1568.0,2.0,5.0,1201.0,2.0,4.0,2858.0,2.0,4.0,294.7
3.0,6.0,8.3,3.0,6.0,1328.0,2.0,6.0,871.7,2.0,6.0,541.4,2.0,6.0,1881.0,2.0,5.0,568.7
4.0,2.0,32.3,4.0,1.0,598.9,4.0,1.0,338.5,3.0,1.0,369.2,3.0,1.0,1042.0,3.0,1.0,85.5
4.0,3.0,23.1,4.0,3.0,1636.0,4.0,2.0,1131.0,3.0,2.0,1250.0,3.0,2.0,3473.0,3.0,2.0,314.9
4.0,5.0,49.4,4.0,5.0,1980.0,4.0,5.0,793.6,3.0,5.0,1024.0,3.0,4.0,2508.0,3.0,4.0,165.9
4.0,6.0,9.8,4.0,6.0,687.3,4.0,6.0,334.0,3.0,6.0,352.5,3.0,6.0,1254.0,3.0,5.0,310.5
5.0,2.0,141.5,5.0,1.0,2140.0,5.0,1.0,654.4,5.0,1.0,500.6,4.0,1.0,1179.0,4.0,1.0,72.5
5.0,3.0,97.3,5.0,3.0,2551.0,5.0,2.0,1723.0,5.0,2.0,1324.0,4.0,2.0,2454.0,4.0,2.0,252.5
5.0,4.0,101.6,5.0,4.0,3010.0,5.0,4.0,1104.0,5.0,3.0,1250.0,4.0,3.0,2120.0,4.0,3.0,179.9
5.0,6.0,41.4,5.0,6.0,2034.0,5.0,6.0,665.0,5.0,6.0,385.3,4.0,6.0,863.4,4.0,5.0,251.5
6.0,2.0,15.4,6.0,1.0,426.8,6.0,1.0,134.6,6.0,1.0,84.0,6.0,1.0,390.6,5.0,1.0,157.8
6.0,3.0,9.1,6.0,3.0,1115.0,6.0,2.0,644.1,6.0,2.0,319.5,6.0,2.0,1607.0,5.0,2.0,606.1
6.0,4.0,9.1,6.0,4.0,720.2,6.0,4.0,290.5,6.0,3.0,237.1,6.0,3.0,836.2,5.0,3.0,444.4
6.0,5.0,20.0,6.0,5.0,1568.0,6.0,5.0,390.9,6.0,5.0,256.0,6.0,4.0,688.3,5.0,4.0,328.1
