1,平石 和男,平石 和男.1,2,仲本 舜,仲本 舜.1,3,榮田 将彦,榮田 将彦.1,4,永嶋 裕一,永嶋 裕一.1,5,芝田 浩治,芝田 浩治.1,6,萩原 秀人,萩原 秀人.1
2.0,3.0,50.7,1.0,3.0,261.1,1.0,2.0,182.7,1.0,2.0,159.9,1.0,2.0,309.7,1.0,2.0,230.7
2.0,4.0,44.5,1.0,4.0,253.9,1.0,4.0,51.0,1.0,3.0,79.3,1.0,3.0,211.1,1.0,3.0,147.4
2.0,5.0,69.9,1.0,5.0,305.9,1.0,5.0,60.6,1.0,5.0,87.5,1.0,4.0,192.0,1.0,4.0,76.4
2.0,6.0,46.2,1.0,6.0,222.0,1.0,6.0,43.3,1.0,6.0,40.0,1.0,6.0,105.4,1.0,5.0,118.0
3.0,2.0,40.9,3.0,1.0,391.7,2.0,1.0,346.4,2.0,1.0,298.4,2.0,1.0,491.7,2.0,1.0,496.7
3.0,4.0,12.9,3.0,4.0,775.2,2.0,4.0,508.7,2.0,3.0,732.6,2.0,3.0,771.2,2.0,3.0,634.3
3.0,5.0,20.8,3.0,5.0,651.2,2.0,5.0,459.3,2.0,5.0,694.4,2.0,4.0,1332.0,2.0,4.0,505.2
3.0,6.0,12.5,3.0,6.0,837.3,2.0,6.0,408.1,2.0,6.0,326.3,2.0,6.0,796.3,2.0,5.0,800.7
4.0,2.0,38.7,4.0,1.0,610.5,4.0,1.0,73.3,3.0,1.0,117.6,3.0,1.0,273.8,3.0,1.0,239.0
4.0,3.0,14.0,4.0,3.0,1210.0,4.0,2.0,388.6,3.0,2.0,455.0,3.0,2.0,669.0,3.0,2.0,805.1
4.0,5.0,24.1,4.0,5.0,1221.0,4.0,5.0,99.4,3.0,5.0,158.9,3.0,4.0,462.2,3.0,4.0,254.8
4.0,6.0,9.4,4.0,6.0,832.5,4.0,6.0,58.1,3.0,6.0,86.5,3.0,6.0,305.2,3.0,5.0,380.5
5.0,2.0,100.4,5.0,1.0,602.9,5.0,1.0,112.4,5.0,1.0,133.5,4.0,1.0,320.6,4.0,1.0,126.7
5.0,3.0,36.6,5.0,3.0,861.9,5.0,2.0,412.7,5.0,2.0,480.4,4.0,2.0,1172.0,4.0,2.0,651.2
5.0,4.0,38.5,5.0,4.0,1592.0,5.0,4.0,168.6,5.0,3.0,222.6,4.0,3.0,507.0,4.0,3.0,260.2
5.0,6.0,26.6,5.0,6.0,809.5,5.0,6.0,101.0,5.0,6.0,81.6,4.0,6.0,188.8,4.0,5.0,190.7
6.0,2.0,61.4,6.0,1.0,446.7,6.0,1.0,81.2,6.0,1.0,59.2,6.0,1.0,139.4,5.0,1.0,174.6
6.0,3.0,24.2,6.0,3.0,714.7,6.0,2.0,330.7,6.0,2.0,261.1,6.0,2.0,530.8,5.0,2.0,645.4
6.0,4.0,16.4,6.0,4.0,663.0,6.0,4.0,100.6,6.0,3.0,122.1,6.0,3.0,280.1,5.0,3.0,338.4
6.0,5.0,29.2,6.0,5.0,1061.0,6.0,5.0,116.9,6.0,5.0,93.9,6.0,4.0,196.9,5.0,4.0,165.3
