1,山本　稔太朗,山本　稔太朗.1,2,市川 猛,市川 猛.1,3,大上 卓人,大上 卓人.1,4,杉山 太陽,杉山 太陽.1,5,下河 雅史,下河 雅史.1,6,富山 弘幸,富山 弘幸.1
2.0,3.0,59.4,1.0,3.0,211.8,1.0,2.0,32.1,1.0,2.0,1421.0,1.0,2.0,317.1,1.0,2.0,748.2
2.0,4.0,243.8,1.0,4.0,902.5,1.0,4.0,48.7,1.0,3.0,849.9,1.0,3.0,71.2,1.0,3.0,184.9
2.0,5.0,159.8,1.0,5.0,727.1,1.0,5.0,6.1,1.0,5.0,1195.0,1.0,4.0,406.4,1.0,4.0,896.9
2.0,6.0,199.6,1.0,6.0,870.2,1.0,6.0,8.7,1.0,6.0,1473.0,1.0,6.0,112.8,1.0,5.0,324.7
3.0,2.0,20.0,3.0,1.0,300.2,2.0,1.0,123.9,2.0,1.0,1757.0,2.0,1.0,743.1,2.0,1.0,1493.0
3.0,4.0,45.7,3.0,4.0,1013.0,2.0,4.0,415.3,2.0,3.0,1463.0,2.0,3.0,672.3,2.0,3.0,1355.0
3.0,5.0,5.3,3.0,5.0,676.5,2.0,5.0,176.5,2.0,5.0,2366.0,2.0,4.0,1372.0,2.0,4.0,2636.0
3.0,6.0,8.9,3.0,6.0,981.4,2.0,6.0,216.9,2.0,6.0,2685.0,2.0,6.0,791.5,2.0,5.0,1962.0
4.0,2.0,440.8,4.0,1.0,1772.0,4.0,1.0,178.8,3.0,1.0,884.3,3.0,1.0,64.9,3.0,1.0,177.0
4.0,3.0,216.4,4.0,3.0,1743.0,4.0,2.0,429.9,3.0,2.0,1658.0,3.0,2.0,292.2,3.0,2.0,674.4
4.0,5.0,408.3,4.0,5.0,1651.0,4.0,5.0,173.2,3.0,5.0,981.4,3.0,4.0,298.9,3.0,4.0,639.0
4.0,6.0,466.6,4.0,6.0,2328.0,4.0,6.0,193.0,3.0,6.0,1291.0,3.0,6.0,76.2,3.0,5.0,205.7
5.0,2.0,114.7,5.0,1.0,1119.0,5.0,1.0,13.9,5.0,1.0,1546.0,4.0,1.0,788.7,4.0,1.0,1743.0
5.0,3.0,19.8,5.0,3.0,941.3,5.0,2.0,71.2,5.0,2.0,3316.0,4.0,2.0,1552.0,4.0,2.0,3126.0
5.0,4.0,194.0,5.0,4.0,2366.0,5.0,4.0,71.7,5.0,3.0,1113.0,4.0,3.0,663.2,4.0,3.0,1233.0
5.0,6.0,41.6,5.0,6.0,1468.0,5.0,6.0,16.2,5.0,6.0,1473.0,4.0,6.0,722.3,4.0,5.0,1645.0
6.0,2.0,222.9,6.0,1.0,1639.0,6.0,1.0,26.7,6.0,1.0,2487.0,6.0,1.0,164.3,5.0,1.0,358.2
6.0,3.0,41.5,6.0,3.0,1683.0,6.0,2.0,112.9,6.0,2.0,2788.0,6.0,2.0,435.9,5.0,2.0,1128.0
6.0,4.0,320.4,6.0,4.0,3039.0,6.0,4.0,105.4,6.0,3.0,1737.0,6.0,3.0,123.2,5.0,3.0,251.2
6.0,5.0,75.5,6.0,5.0,2045.0,6.0,5.0,28.7,6.0,5.0,1765.0,6.0,4.0,394.3,5.0,4.0,806.1
