1,山崎 昂介,山崎 昂介.1,2,國分　将太郎,國分　将太郎.1,3,乙藤 智史,乙藤 智史.1,4,中渡 修作,中渡 修作.1,5,前出 達吉,前出 達吉.1,6,宮本 琉正,宮本 琉正.1
2.0,3.0,8.6,1.0,3.0,31.8,1.0,2.0,30.7,1.0,2.0,125.8,1.0,2.0,172.7,1.0,2.0,2546.0
2.0,4.0,22.2,1.0,4.0,59.2,1.0,4.0,28.2,1.0,3.0,86.3,1.0,3.0,114.1,1.0,3.0,3224.0
2.0,5.0,22.4,1.0,5.0,59.6,1.0,5.0,24.7,1.0,5.0,74.7,1.0,4.0,148.1,1.0,4.0,3367.0
2.0,6.0,321.4,1.0,6.0,725.0,1.0,6.0,365.6,1.0,6.0,496.8,1.0,6.0,844.2,1.0,5.0,3030.0
3.0,2.0,7.6,3.0,1.0,50.2,2.0,1.0,52.7,2.0,1.0,219.4,2.0,1.0,280.6,2.0,1.0,4151.0
3.0,4.0,10.1,3.0,4.0,76.2,2.0,4.0,94.9,2.0,3.0,268.9,2.0,3.0,298.0,2.0,3.0,4329.0
3.0,5.0,10.3,3.0,5.0,81.6,2.0,5.0,74.2,2.0,5.0,239.4,2.0,4.0,437.9,2.0,4.0,4151.0
3.0,6.0,172.0,3.0,6.0,801.8,2.0,6.0,679.5,2.0,6.0,1500.0,2.0,6.0,1751.0,2.0,5.0,4888.0
4.0,2.0,30.3,4.0,1.0,148.5,4.0,1.0,47.7,3.0,1.0,102.3,3.0,1.0,174.8,3.0,1.0,4457.0
4.0,3.0,22.6,4.0,3.0,164.0,4.0,2.0,101.4,3.0,2.0,188.1,3.0,2.0,277.8,3.0,2.0,3696.0
4.0,5.0,27.5,4.0,5.0,208.1,4.0,5.0,48.9,3.0,5.0,92.6,3.0,4.0,236.9,3.0,4.0,3061.0
4.0,6.0,274.7,4.0,6.0,1217.0,4.0,6.0,556.1,3.0,6.0,956.1,3.0,6.0,1217.0,3.0,5.0,4095.0
5.0,2.0,36.9,5.0,1.0,164.0,5.0,1.0,56.3,5.0,1.0,80.9,4.0,1.0,175.6,4.0,1.0,4457.0
5.0,3.0,26.5,5.0,3.0,166.7,5.0,2.0,99.9,5.0,2.0,151.7,4.0,2.0,315.3,4.0,2.0,4209.0
5.0,4.0,42.6,5.0,4.0,269.4,5.0,4.0,70.1,5.0,3.0,108.4,4.0,3.0,232.9,4.0,3.0,3565.0
5.0,6.0,323.8,5.0,6.0,1968.0,5.0,6.0,494.4,5.0,6.0,422.7,4.0,6.0,775.1,4.0,5.0,2971.0
6.0,2.0,806.0,6.0,1.0,2164.0,6.0,1.0,1683.0,6.0,1.0,1620.0,6.0,1.0,1980.0,5.0,1.0,4592.0
6.0,3.0,865.9,6.0,3.0,3608.0,6.0,2.0,2196.0,6.0,2.0,2405.0,6.0,2.0,2806.0,5.0,2.0,5828.0
6.0,4.0,1232.0,6.0,4.0,3696.0,6.0,4.0,2007.0,6.0,3.0,1693.0,6.0,3.0,2261.0,5.0,3.0,4735.0
6.0,5.0,891.4,6.0,5.0,3696.0,6.0,5.0,1722.0,6.0,5.0,1365.0,6.0,4.0,1762.0,5.0,4.0,3258.0
