1,松崎　祐太郎,松崎　祐太郎.1,2,木場 悠介,木場 悠介.1,3,山本 英志,山本 英志.1,4,大場 広孝,大場 広孝.1,5,池田 紫乃,池田 紫乃.1,6,玄馬 徹,玄馬 徹.1
2.0,3.0,4.9,1.0,3.0,32.0,1.0,2.0,21.2,1.0,2.0,328.8,1.0,2.0,343.0,1.0,2.0,1453.0
2.0,4.0,14.1,1.0,4.0,76.8,1.0,4.0,29.7,1.0,3.0,324.9,1.0,3.0,239.4,1.0,3.0,876.2
2.0,5.0,20.2,1.0,5.0,121.6,1.0,5.0,28.2,1.0,5.0,545.7,1.0,4.0,702.3,1.0,4.0,2553.0
2.0,6.0,62.0,1.0,6.0,262.6,1.0,6.0,55.7,1.0,6.0,843.1,1.0,6.0,734.0,1.0,5.0,1655.0
3.0,2.0,4.6,3.0,1.0,77.6,2.0,1.0,59.5,2.0,1.0,529.6,2.0,1.0,549.9,2.0,1.0,1881.0
3.0,4.0,8.5,3.0,4.0,250.1,2.0,4.0,190.0,2.0,3.0,911.9,2.0,3.0,581.2,2.0,3.0,2814.0
3.0,5.0,10.1,3.0,5.0,256.0,2.0,5.0,152.5,2.0,5.0,1354.0,2.0,4.0,1521.0,2.0,4.0,3437.0
3.0,6.0,27.3,3.0,6.0,582.2,2.0,6.0,311.4,2.0,6.0,1727.0,2.0,6.0,1060.0,2.0,5.0,2220.0
4.0,2.0,37.3,4.0,1.0,353.9,4.0,1.0,109.5,3.0,1.0,485.7,3.0,1.0,311.6,3.0,1.0,1063.0
4.0,3.0,34.1,4.0,3.0,549.9,4.0,2.0,198.9,3.0,2.0,841.1,3.0,2.0,500.6,3.0,2.0,2837.0
4.0,5.0,83.1,4.0,5.0,943.2,4.0,5.0,183.1,3.0,5.0,984.8,3.0,4.0,955.8,3.0,4.0,3539.0
4.0,6.0,146.0,4.0,6.0,1314.0,4.0,6.0,303.9,3.0,6.0,1333.0,3.0,6.0,887.0,3.0,5.0,2127.0
5.0,2.0,50.6,5.0,1.0,415.6,5.0,1.0,90.2,5.0,1.0,1004.0,4.0,1.0,1424.0,4.0,1.0,3844.0
5.0,3.0,39.0,5.0,3.0,436.5,5.0,2.0,151.9,5.0,2.0,1718.0,4.0,2.0,2321.0,4.0,2.0,5860.0
5.0,4.0,110.7,5.0,4.0,1120.0,5.0,4.0,225.9,5.0,3.0,1314.0,4.0,3.0,1534.0,4.0,3.0,4156.0
5.0,6.0,167.4,5.0,6.0,1067.0,5.0,6.0,269.4,5.0,6.0,1540.0,4.0,6.0,2179.0,4.0,5.0,3685.0
6.0,2.0,246.8,6.0,1.0,1349.0,6.0,1.0,258.8,6.0,1.0,1911.0,6.0,1.0,1328.0,5.0,1.0,1986.0
6.0,3.0,185.2,6.0,3.0,1632.0,6.0,2.0,497.2,6.0,2.0,2749.0,6.0,2.0,1694.0,5.0,2.0,2687.0
6.0,4.0,367.0,6.0,4.0,2193.0,6.0,4.0,636.1,6.0,3.0,2415.0,6.0,3.0,1540.0,5.0,3.0,2277.0
6.0,5.0,331.9,6.0,5.0,1483.0,6.0,5.0,455.4,6.0,5.0,2306.0,6.0,4.0,2667.0,5.0,4.0,3972.0
