1,新田 泰章,新田 泰章.1,2,新開 航,新開 航.1,3,井口 佳典,井口 佳典.1,4,君島 秀三,君島 秀三.1,5,赤坂 俊輔,赤坂 俊輔.1,6,岡村 慶太,岡村 慶太.1
2.0,3.0,9.3,1.0,3.0,13.3,1.0,2.0,49.8,1.0,2.0,109.4,1.0,2.0,384.9,1.0,2.0,517.8
2.0,4.0,12.9,1.0,4.0,14.9,1.0,4.0,73.0,1.0,3.0,159.3,1.0,3.0,517.8,1.0,3.0,1064.0
2.0,5.0,32.9,1.0,5.0,47.4,1.0,5.0,111.0,1.0,5.0,175.2,1.0,4.0,487.6,1.0,4.0,574.7
2.0,6.0,24.7,1.0,6.0,25.5,1.0,6.0,95.9,1.0,6.0,127.9,1.0,6.0,463.3,1.0,5.0,1341.0
3.0,2.0,15.3,3.0,1.0,28.7,2.0,1.0,55.8,2.0,1.0,132.3,2.0,1.0,570.0,2.0,1.0,578.7
3.0,4.0,21.9,3.0,4.0,33.0,2.0,4.0,61.1,2.0,3.0,143.9,2.0,3.0,526.9,2.0,3.0,771.9
3.0,5.0,40.5,3.0,5.0,67.3,2.0,5.0,96.7,2.0,5.0,168.5,2.0,4.0,632.9,2.0,4.0,586.8
3.0,6.0,39.9,3.0,6.0,40.4,2.0,6.0,69.8,2.0,6.0,118.4,2.0,6.0,491.0,2.0,5.0,1248.0
4.0,2.0,27.9,4.0,1.0,44.3,4.0,1.0,131.5,3.0,1.0,236.9,3.0,1.0,744.4,3.0,1.0,1303.0
4.0,3.0,38.4,4.0,3.0,50.5,4.0,2.0,95.1,3.0,2.0,209.7,3.0,2.0,682.5,3.0,2.0,901.7
4.0,5.0,76.7,4.0,5.0,97.4,4.0,5.0,166.5,3.0,5.0,297.3,3.0,4.0,1020.0,3.0,4.0,1499.0
4.0,6.0,56.1,4.0,6.0,51.5,4.0,6.0,127.0,3.0,6.0,237.7,3.0,6.0,657.8,3.0,5.0,1615.0
5.0,2.0,93.6,5.0,1.0,193.7,5.0,1.0,279.3,5.0,1.0,206.2,4.0,1.0,497.5,4.0,1.0,692.7
5.0,3.0,105.6,5.0,3.0,173.1,5.0,2.0,247.7,5.0,2.0,196.3,4.0,2.0,492.2,4.0,2.0,695.0
5.0,4.0,147.6,5.0,4.0,225.5,5.0,4.0,360.3,5.0,3.0,360.0,4.0,3.0,875.3,4.0,3.0,1505.0
5.0,6.0,143.3,5.0,6.0,193.7,5.0,6.0,294.6,5.0,6.0,167.7,4.0,6.0,407.0,4.0,5.0,1198.0
6.0,2.0,96.8,6.0,1.0,116.3,6.0,1.0,311.7,6.0,1.0,208.4,6.0,1.0,946.6,5.0,1.0,1937.0
6.0,3.0,132.1,6.0,3.0,130.0,6.0,2.0,233.4,6.0,2.0,197.0,6.0,2.0,820.3,5.0,2.0,1578.0
6.0,4.0,129.4,6.0,4.0,131.3,6.0,4.0,381.7,6.0,3.0,371.9,6.0,3.0,850.4,5.0,3.0,1876.0
6.0,5.0,209.4,6.0,5.0,261.9,6.0,5.0,422.6,6.0,5.0,257.7,6.0,4.0,812.4,5.0,4.0,1505.0
