1,松田　大志郎,松田　大志郎.1,2,河合 佑樹,河合 佑樹.1,3,益田 啓司,益田 啓司.1,4,山本　景士郎,山本　景士郎.1,5,柳生 泰二,柳生 泰二.1,6,近藤 友宝,近藤 友宝.1
2.0,3.0,4.0,1.0,3.0,19.1,1.0,2.0,35.3,1.0,2.0,426.2,1.0,2.0,94.5,1.0,2.0,2526.0
2.0,4.0,14.4,1.0,4.0,52.0,1.0,4.0,85.5,1.0,3.0,638.2,1.0,3.0,113.3,1.0,3.0,2933.0
2.0,5.0,6.9,1.0,5.0,27.1,1.0,5.0,40.8,1.0,5.0,466.6,1.0,4.0,298.4,1.0,4.0,4830.0
2.0,6.0,77.1,1.0,6.0,218.5,1.0,6.0,257.7,1.0,6.0,1241.0,1.0,6.0,328.5,1.0,5.0,3494.0
3.0,2.0,7.2,3.0,1.0,51.9,2.0,1.0,67.7,2.0,1.0,621.3,2.0,1.0,166.6,2.0,1.0,3570.0
3.0,4.0,21.4,3.0,4.0,207.9,2.0,4.0,214.2,2.0,3.0,964.3,2.0,3.0,268.6,2.0,3.0,5132.0
3.0,5.0,10.5,3.0,5.0,93.1,2.0,5.0,115.2,2.0,5.0,951.2,2.0,4.0,650.9,2.0,4.0,6658.0
3.0,6.0,100.6,3.0,6.0,605.3,2.0,6.0,617.4,2.0,6.0,2036.0,2.0,6.0,769.9,2.0,5.0,5242.0
4.0,2.0,51.1,4.0,1.0,261.9,4.0,1.0,314.0,3.0,1.0,1087.0,3.0,1.0,228.6,3.0,1.0,4039.0
4.0,3.0,60.7,4.0,3.0,423.3,4.0,2.0,413.7,3.0,2.0,1207.0,3.0,2.0,327.1,3.0,2.0,4830.0
4.0,5.0,68.6,4.0,5.0,460.5,4.0,5.0,356.8,3.0,5.0,1539.0,3.0,4.0,949.4,3.0,4.0,6483.0
4.0,6.0,213.9,4.0,6.0,1544.0,4.0,6.0,1154.0,3.0,6.0,2799.0,3.0,6.0,1293.0,3.0,5.0,4784.0
5.0,2.0,18.2,5.0,1.0,101.1,5.0,1.0,121.2,5.0,1.0,625.3,4.0,1.0,689.1,4.0,1.0,7466.0
5.0,3.0,24.0,5.0,3.0,146.8,5.0,2.0,161.3,5.0,2.0,993.4,4.0,2.0,935.0,4.0,2.0,5242.0
5.0,4.0,63.5,5.0,4.0,405.5,5.0,4.0,340.5,5.0,3.0,1511.0,4.0,3.0,1368.0,4.0,3.0,5797.0
5.0,6.0,134.6,5.0,6.0,678.7,5.0,6.0,579.0,5.0,6.0,1659.0,4.0,6.0,1681.0,4.0,5.0,5663.0
6.0,2.0,423.6,6.0,1.0,1436.0,6.0,1.0,1357.0,6.0,1.0,3241.0,6.0,1.0,914.2,5.0,1.0,3241.0
6.0,3.0,534.4,6.0,3.0,2087.0,6.0,2.0,1399.0,6.0,2.0,3263.0,6.0,2.0,1785.0,5.0,2.0,4977.0
6.0,4.0,612.8,6.0,4.0,2898.0,6.0,4.0,2096.0,6.0,3.0,3849.0,6.0,3.0,2061.0,5.0,3.0,5028.0
6.0,5.0,520.8,6.0,5.0,1932.0,6.0,5.0,1589.0,6.0,5.0,3445.0,6.0,4.0,2566.0,5.0,4.0,5298.0
