1,河野 真也,河野 真也.1,2,西澤　日花里,西澤　日花里.1,3,清水 攻二,清水 攻二.1,4,内堀 学,内堀 学.1,5,関 裕也,関 裕也.1,6,岡田 憲行,岡田 憲行.1
2.0,3.0,13.4,1.0,3.0,103.8,1.0,2.0,101.6,1.0,2.0,252.9,1.0,2.0,274.8,1.0,2.0,443.6
2.0,4.0,27.0,1.0,4.0,210.8,1.0,4.0,62.0,1.0,3.0,159.2,1.0,3.0,128.4,1.0,3.0,209.8
2.0,5.0,27.1,1.0,5.0,212.3,1.0,5.0,51.0,1.0,5.0,140.9,1.0,4.0,245.9,1.0,4.0,447.0
2.0,6.0,25.8,1.0,6.0,147.6,1.0,6.0,52.7,1.0,6.0,115.5,1.0,6.0,121.8,1.0,5.0,284.8
3.0,2.0,13.7,3.0,1.0,257.1,2.0,1.0,280.3,2.0,1.0,537.3,2.0,1.0,656.9,2.0,1.0,867.3
3.0,4.0,9.2,3.0,4.0,721.4,2.0,4.0,682.1,2.0,3.0,973.0,2.0,3.0,1121.0,2.0,3.0,1362.0
3.0,5.0,8.0,3.0,5.0,734.0,2.0,5.0,618.4,2.0,5.0,845.2,2.0,4.0,1447.0,2.0,4.0,1549.0
3.0,6.0,7.7,3.0,6.0,471.1,2.0,6.0,425.3,2.0,6.0,521.6,2.0,6.0,833.0,2.0,5.0,1761.0
4.0,2.0,38.6,4.0,1.0,640.6,4.0,1.0,168.8,3.0,1.0,343.3,3.0,1.0,282.4,3.0,1.0,330.8
4.0,3.0,19.1,4.0,3.0,1082.0,4.0,2.0,590.7,3.0,2.0,840.6,3.0,2.0,909.9,3.0,2.0,1304.0
4.0,5.0,30.3,4.0,5.0,1330.0,4.0,5.0,254.4,3.0,5.0,486.5,3.0,4.0,797.2,3.0,4.0,1212.0
4.0,6.0,25.3,4.0,6.0,831.5,4.0,6.0,245.2,3.0,6.0,353.0,3.0,6.0,368.7,3.0,5.0,901.1
5.0,2.0,40.0,5.0,1.0,662.6,5.0,1.0,165.8,5.0,1.0,190.6,4.0,1.0,384.7,4.0,1.0,812.6
5.0,3.0,16.5,5.0,3.0,1157.0,5.0,2.0,528.7,5.0,2.0,527.5,4.0,2.0,947.2,4.0,2.0,1528.0
5.0,4.0,42.7,5.0,4.0,1636.0,5.0,4.0,392.1,5.0,3.0,439.4,4.0,3.0,731.7,4.0,3.0,1301.0
5.0,6.0,24.5,5.0,6.0,1140.0,5.0,6.0,220.8,5.0,6.0,209.7,4.0,6.0,428.8,4.0,5.0,1390.0
6.0,2.0,50.5,6.0,1.0,625.9,6.0,1.0,176.1,6.0,1.0,244.6,6.0,1.0,254.4,5.0,1.0,545.5
6.0,3.0,26.3,6.0,3.0,922.6,6.0,2.0,529.3,6.0,2.0,579.7,6.0,2.0,834.5,5.0,2.0,1613.0
6.0,4.0,51.5,6.0,4.0,1319.0,6.0,4.0,395.2,6.0,3.0,420.6,6.0,3.0,427.6,5.0,3.0,915.3
6.0,5.0,42.8,6.0,5.0,1382.0,6.0,5.0,352.7,6.0,5.0,331.7,6.0,4.0,592.3,5.0,4.0,1399.0
