1,今村 暢孝,今村 暢孝.1,2,青木　幸太郎,青木　幸太郎.1,3,山本　景士郎,山本　景士郎.1,4,東 健介,東 健介.1,5,宮下 元胤,宮下 元胤.1,6,横田 貴満,横田 貴満.1
2.0,3.0,6.0,1.0,3.0,18.2,1.0,2.0,46.6,1.0,2.0,651.2,1.0,2.0,121.5,1.0,2.0,614.2
2.0,4.0,21.9,1.0,4.0,71.3,1.0,4.0,92.2,1.0,3.0,738.7,1.0,3.0,124.0,1.0,3.0,623.6
2.0,5.0,9.8,1.0,5.0,28.9,1.0,5.0,44.7,1.0,5.0,617.7,1.0,4.0,350.2,1.0,4.0,1515.0
2.0,6.0,25.4,1.0,6.0,47.4,1.0,6.0,76.9,1.0,6.0,857.9,1.0,6.0,173.3,1.0,5.0,643.4
3.0,2.0,8.5,3.0,1.0,53.9,2.0,1.0,86.2,2.0,1.0,842.3,2.0,1.0,260.6,2.0,1.0,948.2
3.0,4.0,22.4,3.0,4.0,141.0,2.0,4.0,201.8,2.0,3.0,1154.0,2.0,3.0,419.5,2.0,3.0,1256.0
3.0,5.0,8.5,3.0,5.0,75.5,2.0,5.0,102.8,2.0,5.0,1237.0,2.0,4.0,968.0,2.0,4.0,2513.0
3.0,6.0,27.4,3.0,6.0,120.7,2.0,6.0,166.3,2.0,6.0,1162.0,2.0,6.0,558.1,2.0,5.0,1307.0
4.0,2.0,58.4,4.0,1.0,364.3,4.0,1.0,280.7,3.0,1.0,991.7,3.0,1.0,224.2,3.0,1.0,1052.0
4.0,3.0,56.3,4.0,3.0,482.5,4.0,2.0,388.3,3.0,2.0,1192.0,3.0,2.0,418.4,3.0,2.0,1559.0
4.0,5.0,63.3,4.0,5.0,486.2,4.0,5.0,310.3,3.0,5.0,1095.0,3.0,4.0,825.2,3.0,4.0,2869.0
4.0,6.0,107.3,4.0,6.0,719.0,4.0,6.0,461.3,3.0,6.0,1529.0,3.0,6.0,477.6,3.0,5.0,1312.0
5.0,2.0,21.9,5.0,1.0,135.6,5.0,1.0,117.1,5.0,1.0,864.8,4.0,1.0,789.0,4.0,1.0,2384.0
5.0,3.0,21.7,5.0,3.0,187.0,5.0,2.0,199.6,5.0,2.0,1281.0,4.0,2.0,1397.0,4.0,2.0,2533.0
5.0,4.0,68.0,5.0,4.0,545.9,5.0,4.0,335.0,5.0,3.0,1247.0,4.0,3.0,1237.0,4.0,3.0,2384.0
5.0,6.0,37.0,5.0,6.0,305.9,5.0,6.0,199.4,5.0,6.0,1042.0,4.0,6.0,1214.0,4.0,5.0,2147.0
6.0,2.0,94.1,6.0,1.0,321.4,6.0,1.0,381.5,6.0,1.0,1671.0,6.0,1.0,411.0,5.0,1.0,1137.0
6.0,3.0,89.5,6.0,3.0,432.9,6.0,2.0,578.0,6.0,2.0,2350.0,6.0,2.0,639.6,5.0,2.0,1715.0
6.0,4.0,202.9,6.0,4.0,982.7,6.0,4.0,876.4,6.0,3.0,1918.0,6.0,3.0,610.7,5.0,3.0,1428.0
6.0,5.0,89.1,6.0,5.0,490.6,6.0,5.0,413.6,6.0,5.0,1621.0,6.0,4.0,1141.0,5.0,4.0,2475.0
