1,角 ひとみ,角 ひとみ.1,2,佐藤 右京,佐藤 右京.1,3,大田 直弥,大田 直弥.1,4,石原 翼,石原 翼.1,5,渥美 卓郎,渥美 卓郎.1,6,佐々木　完太,佐々木　完太.1
2.0,3.0,103.4,1.0,3.0,292.9,1.0,2.0,186.0,1.0,2.0,130.2,1.0,2.0,492.3,1.0,2.0,266.6
2.0,4.0,91.5,1.0,4.0,217.5,1.0,4.0,36.4,1.0,3.0,44.1,1.0,3.0,355.7,1.0,3.0,119.4
2.0,5.0,148.8,1.0,5.0,426.7,1.0,5.0,88.8,1.0,5.0,75.8,1.0,4.0,240.7,1.0,4.0,81.3
2.0,6.0,117.6,1.0,6.0,353.3,1.0,6.0,35.8,1.0,6.0,24.1,1.0,6.0,261.6,1.0,5.0,261.2
3.0,2.0,77.6,3.0,1.0,439.6,2.0,1.0,314.5,2.0,1.0,226.5,2.0,1.0,755.8,2.0,1.0,489.3
3.0,4.0,22.4,3.0,4.0,302.6,2.0,4.0,218.3,2.0,3.0,230.9,2.0,3.0,1061.0,2.0,3.0,592.4
3.0,5.0,64.6,3.0,5.0,638.4,2.0,5.0,400.1,2.0,5.0,257.6,2.0,4.0,559.3,2.0,4.0,286.6
3.0,6.0,27.2,3.0,6.0,382.4,2.0,6.0,187.0,2.0,6.0,115.6,2.0,6.0,654.0,2.0,5.0,720.2
4.0,2.0,79.1,4.0,1.0,263.1,4.0,1.0,38.3,3.0,1.0,50.1,3.0,1.0,441.4,3.0,1.0,139.9
4.0,3.0,27.9,4.0,3.0,313.2,4.0,2.0,140.0,3.0,2.0,156.1,3.0,2.0,1037.0,3.0,2.0,434.2
4.0,5.0,59.0,4.0,5.0,453.3,4.0,5.0,58.0,3.0,5.0,67.4,3.0,4.0,254.5,3.0,4.0,63.1
4.0,6.0,18.3,4.0,6.0,190.6,4.0,6.0,21.4,3.0,6.0,21.3,3.0,6.0,233.4,3.0,5.0,218.3
5.0,2.0,183.6,5.0,1.0,721.8,5.0,1.0,159.5,5.0,1.0,82.4,4.0,1.0,182.3,4.0,1.0,58.8
5.0,3.0,119.5,5.0,3.0,962.4,5.0,2.0,396.1,5.0,2.0,170.5,4.0,2.0,332.1,4.0,2.0,151.8
5.0,4.0,92.3,5.0,4.0,605.8,5.0,4.0,108.5,5.0,3.0,89.2,4.0,3.0,203.8,4.0,3.0,46.5
5.0,6.0,103.8,5.0,6.0,616.3,5.0,6.0,89.5,5.0,6.0,31.9,4.0,6.0,84.3,4.0,5.0,77.8
6.0,2.0,146.4,6.0,1.0,564.2,6.0,1.0,51.1,6.0,1.0,17.8,6.0,1.0,282.1,5.0,1.0,338.7
6.0,3.0,50.5,6.0,3.0,573.3,6.0,2.0,159.6,6.0,2.0,59.6,6.0,2.0,512.8,5.0,2.0,679.0
6.0,4.0,40.7,6.0,4.0,324.3,6.0,4.0,30.6,6.0,3.0,17.9,6.0,3.0,250.1,5.0,3.0,288.2
6.0,5.0,122.4,6.0,5.0,741.8,6.0,5.0,72.8,6.0,5.0,24.7,6.0,4.0,107.3,5.0,4.0,133.5
