1,富永 正人,富永 正人.1,2,山下 大輝,山下 大輝.1,3,奥田 誠,奥田 誠.1,4,松下 知幸,松下 知幸.1,5,岸本 隆,岸本 隆.1,6,坂東 満,坂東 満.1
2.0,3.0,9.2,1.0,3.0,12.1,1.0,2.0,47.4,1.0,2.0,113.8,1.0,2.0,114.4,1.0,2.0,691.8
2.0,4.0,15.4,1.0,4.0,20.2,1.0,4.0,61.7,1.0,3.0,158.1,1.0,3.0,131.8,1.0,3.0,591.4
2.0,5.0,16.9,1.0,5.0,17.8,1.0,5.0,49.3,1.0,5.0,119.2,1.0,4.0,213.4,1.0,4.0,1104.0
2.0,6.0,52.1,1.0,6.0,47.4,1.0,6.0,118.1,1.0,6.0,191.1,1.0,6.0,196.5,1.0,5.0,605.1
3.0,2.0,12.2,3.0,1.0,32.9,2.0,1.0,70.9,2.0,1.0,157.9,2.0,1.0,161.4,2.0,1.0,617.3
3.0,4.0,22.9,3.0,4.0,66.5,2.0,4.0,135.4,2.0,3.0,258.9,2.0,3.0,203.2,2.0,3.0,837.2
3.0,5.0,19.3,3.0,5.0,45.0,2.0,5.0,100.7,2.0,5.0,207.1,2.0,4.0,289.6,2.0,4.0,848.8
3.0,6.0,54.1,3.0,6.0,131.9,2.0,6.0,201.2,2.0,6.0,318.8,2.0,6.0,266.5,2.0,5.0,603.1
4.0,2.0,32.8,4.0,1.0,73.1,4.0,1.0,169.6,3.0,1.0,308.6,3.0,1.0,189.6,3.0,1.0,800.6
4.0,3.0,45.8,4.0,3.0,111.2,4.0,2.0,210.2,3.0,2.0,368.1,3.0,2.0,250.1,3.0,2.0,1273.0
4.0,5.0,59.8,4.0,5.0,116.4,4.0,5.0,205.7,3.0,5.0,338.2,3.0,4.0,396.0,3.0,4.0,1466.0
4.0,6.0,90.8,4.0,6.0,193.4,4.0,6.0,310.2,3.0,6.0,448.2,3.0,6.0,382.7,3.0,5.0,935.4
5.0,2.0,41.9,5.0,1.0,63.7,5.0,1.0,116.5,5.0,1.0,161.5,4.0,1.0,288.2,4.0,1.0,1111.0
5.0,3.0,40.6,5.0,3.0,75.4,5.0,2.0,167.4,5.0,2.0,203.0,4.0,2.0,313.9,4.0,2.0,954.9
5.0,4.0,84.9,5.0,4.0,130.6,5.0,4.0,246.4,5.0,3.0,273.6,4.0,3.0,412.9,4.0,3.0,1222.0
5.0,6.0,110.2,5.0,6.0,129.6,5.0,6.0,235.3,5.0,6.0,213.6,4.0,6.0,360.2,4.0,5.0,975.2
6.0,2.0,190.0,6.0,1.0,282.9,6.0,1.0,391.7,6.0,1.0,386.8,6.0,1.0,317.7,5.0,1.0,783.5
6.0,3.0,205.3,6.0,3.0,353.9,6.0,2.0,572.9,6.0,2.0,436.5,6.0,2.0,375.7,5.0,2.0,898.7
6.0,4.0,245.1,6.0,4.0,361.6,6.0,4.0,638.8,6.0,3.0,613.2,6.0,3.0,531.4,5.0,3.0,852.8
6.0,5.0,242.2,6.0,5.0,288.2,6.0,5.0,459.5,6.0,5.0,386.0,6.0,4.0,553.9,5.0,4.0,1160.0
