1,榎 幸司,榎 幸司.1,2,中川 りな,中川 りな.1,3,下河 雅史,下河 雅史.1,4,吉村 誠,吉村 誠.1,5,山田 丈,山田 丈.1,6,西丸　侑太朗,西丸　侑太朗.1
2.0,3.0,9.4,1.0,3.0,41.4,1.0,2.0,75.6,1.0,2.0,39.4,1.0,2.0,341.3,1.0,2.0,541.3
2.0,4.0,8.8,1.0,4.0,33.6,1.0,4.0,63.5,1.0,3.0,50.3,1.0,3.0,303.4,1.0,3.0,774.6
2.0,5.0,35.3,1.0,5.0,113.9,1.0,5.0,123.1,1.0,5.0,57.6,1.0,4.0,269.7,1.0,4.0,541.3
2.0,6.0,35.1,1.0,6.0,86.4,1.0,6.0,121.5,1.0,6.0,60.9,1.0,6.0,303.6,1.0,5.0,898.8
3.0,2.0,12.2,3.0,1.0,108.8,2.0,1.0,157.4,2.0,1.0,73.7,2.0,1.0,600.7,2.0,1.0,707.2
3.0,4.0,11.8,3.0,4.0,125.1,2.0,4.0,156.3,2.0,3.0,123.0,2.0,3.0,945.7,2.0,3.0,987.4
3.0,5.0,29.8,3.0,5.0,300.1,2.0,5.0,321.0,2.0,5.0,176.5,2.0,4.0,740.5,2.0,4.0,802.3
3.0,6.0,33.1,3.0,6.0,227.3,2.0,6.0,290.0,2.0,6.0,142.2,2.0,6.0,754.8,2.0,5.0,1116.0
4.0,2.0,13.1,4.0,1.0,81.8,4.0,1.0,98.3,3.0,1.0,98.0,3.0,1.0,539.5,3.0,1.0,1255.0
4.0,3.0,15.2,4.0,3.0,133.2,4.0,2.0,149.5,3.0,2.0,149.0,3.0,2.0,1080.0,3.0,2.0,1365.0
4.0,5.0,29.7,4.0,5.0,277.3,4.0,5.0,211.7,3.0,5.0,197.6,3.0,4.0,799.6,3.0,4.0,1174.0
4.0,6.0,31.0,4.0,6.0,191.6,4.0,6.0,181.2,3.0,6.0,188.6,3.0,6.0,897.1,3.0,5.0,1797.0
5.0,2.0,74.5,5.0,1.0,410.2,5.0,1.0,320.8,5.0,1.0,70.5,4.0,1.0,259.2,4.0,1.0,612.4
5.0,3.0,63.5,5.0,3.0,562.7,5.0,2.0,525.0,5.0,2.0,114.2,4.0,2.0,412.0,4.0,2.0,749.9
5.0,4.0,70.2,5.0,4.0,485.5,5.0,4.0,397.1,5.0,3.0,154.3,4.0,3.0,522.1,4.0,3.0,969.1
5.0,6.0,94.0,5.0,6.0,515.3,5.0,6.0,481.0,5.0,6.0,83.1,4.0,6.0,293.8,4.0,5.0,759.6
6.0,2.0,94.0,6.0,1.0,315.4,6.0,1.0,383.2,6.0,1.0,116.6,6.0,1.0,574.3,5.0,1.0,1032.0
6.0,3.0,96.0,6.0,3.0,469.1,6.0,2.0,523.3,6.0,2.0,168.0,6.0,2.0,798.2,5.0,2.0,1160.0
6.0,4.0,90.1,6.0,4.0,379.2,6.0,4.0,436.1,6.0,3.0,225.8,6.0,3.0,936.3,5.0,3.0,1624.0
6.0,5.0,145.7,6.0,5.0,605.3,6.0,5.0,679.6,6.0,5.0,149.9,6.0,4.0,547.6,5.0,4.0,838.0
