1,志道 吉和,志道 吉和.1,2,土井 歩夢,土井 歩夢.1,3,宮地 秀祈,宮地 秀祈.1,4,佐藤　謙史朗,佐藤　謙史朗.1,5,山下 心一,山下 心一.1,6,藤井 公人,藤井 公人.1
2.0,3.0,24.1,1.0,3.0,49.0,1.0,2.0,91.0,1.0,2.0,40.2,1.0,2.0,552.9,1.0,2.0,52.8
2.0,4.0,31.2,1.0,4.0,52.4,1.0,4.0,73.4,1.0,3.0,59.4,1.0,3.0,621.0,1.0,3.0,56.9
2.0,5.0,172.1,1.0,5.0,230.3,1.0,5.0,342.8,1.0,5.0,98.6,1.0,4.0,578.7,1.0,4.0,40.1
2.0,6.0,20.3,1.0,6.0,37.9,1.0,6.0,60.6,1.0,6.0,30.9,1.0,6.0,534.6,1.0,5.0,159.0
3.0,2.0,29.2,3.0,1.0,93.8,2.0,1.0,138.8,2.0,1.0,61.7,2.0,1.0,727.3,2.0,1.0,82.7
3.0,4.0,29.6,3.0,4.0,116.6,2.0,4.0,171.0,2.0,3.0,81.3,2.0,3.0,787.6,2.0,3.0,103.9
3.0,5.0,177.6,3.0,5.0,462.6,2.0,5.0,591.4,2.0,5.0,133.2,2.0,4.0,761.6,2.0,4.0,68.5
3.0,6.0,21.0,3.0,6.0,80.7,2.0,6.0,120.6,2.0,6.0,56.5,2.0,6.0,768.9,2.0,5.0,273.6
4.0,2.0,30.6,4.0,1.0,87.3,4.0,1.0,97.3,3.0,1.0,85.1,3.0,1.0,922.6,3.0,1.0,89.1
4.0,3.0,45.7,4.0,3.0,139.1,4.0,2.0,135.9,3.0,2.0,90.0,3.0,2.0,990.6,3.0,2.0,110.3
4.0,5.0,178.4,4.0,5.0,472.1,4.0,5.0,343.5,3.0,5.0,201.3,3.0,4.0,897.0,3.0,4.0,88.8
4.0,6.0,24.2,4.0,6.0,81.6,4.0,6.0,88.8,3.0,6.0,73.4,3.0,6.0,887.2,3.0,5.0,362.8
5.0,2.0,385.3,5.0,1.0,486.3,5.0,1.0,699.0,5.0,1.0,138.7,4.0,1.0,489.3,4.0,1.0,46.5
5.0,3.0,359.6,5.0,3.0,693.0,5.0,2.0,854.3,5.0,2.0,141.3,4.0,2.0,540.0,4.0,2.0,54.2
5.0,4.0,452.3,5.0,4.0,765.2,5.0,4.0,799.3,5.0,3.0,202.5,4.0,3.0,576.6,4.0,3.0,65.5
5.0,6.0,364.4,5.0,6.0,587.1,5.0,6.0,690.0,5.0,6.0,141.5,4.0,6.0,404.6,4.0,5.0,127.9
6.0,2.0,26.3,6.0,1.0,66.9,6.0,1.0,82.6,6.0,1.0,35.8,6.0,1.0,653.7,5.0,1.0,321.6
6.0,3.0,24.3,6.0,3.0,87.4,6.0,2.0,127.7,6.0,2.0,40.0,6.0,2.0,828.0,5.0,2.0,366.1
6.0,4.0,32.6,6.0,4.0,80.4,6.0,4.0,92.4,6.0,3.0,55.3,6.0,3.0,787.6,5.0,3.0,423.8
6.0,5.0,141.8,6.0,5.0,386.2,6.0,5.0,422.6,6.0,5.0,105.6,6.0,4.0,514.2,5.0,4.0,262.9
