1,末永 和也,末永 和也.1,2,長尾　京志郎,長尾　京志郎.1,3,三川 昂暁,三川 昂暁.1,4,大谷 直弘,大谷 直弘.1,5,町田 洸希,町田 洸希.1,6,森 悠稀,森 悠稀.1
2.0,3.0,18.9,1.0,3.0,397.9,1.0,2.0,207.3,1.0,2.0,191.5,1.0,2.0,493.9,1.0,2.0,180.6
2.0,4.0,15.3,1.0,4.0,312.1,1.0,4.0,88.2,1.0,3.0,185.7,1.0,3.0,318.9,1.0,3.0,146.5
2.0,5.0,29.1,1.0,5.0,424.9,1.0,5.0,116.7,1.0,5.0,127.8,1.0,4.0,295.5,1.0,4.0,122.8
2.0,6.0,20.6,1.0,6.0,323.0,1.0,6.0,84.8,1.0,6.0,83.0,1.0,6.0,250.6,1.0,5.0,204.1
3.0,2.0,15.9,3.0,1.0,773.0,2.0,1.0,587.5,2.0,1.0,511.9,2.0,1.0,1118.0,2.0,1.0,469.4
3.0,4.0,8.4,3.0,4.0,1264.0,2.0,4.0,1042.0,2.0,3.0,1015.0,2.0,3.0,2148.0,2.0,3.0,919.1
3.0,5.0,16.4,3.0,5.0,1903.0,2.0,5.0,1246.0,2.0,5.0,964.7,2.0,4.0,1892.0,2.0,4.0,673.4
3.0,6.0,11.3,3.0,6.0,1246.0,2.0,6.0,1057.0,2.0,6.0,537.9,2.0,6.0,1777.0,2.0,5.0,1378.0
4.0,2.0,14.0,4.0,1.0,670.8,4.0,1.0,252.8,3.0,1.0,384.8,3.0,1.0,567.5,3.0,1.0,315.4
4.0,3.0,12.8,4.0,3.0,1311.0,4.0,2.0,847.9,3.0,2.0,1155.0,3.0,2.0,2633.0,3.0,2.0,1009.0
4.0,5.0,17.5,4.0,5.0,1346.0,4.0,5.0,479.0,3.0,5.0,743.5,3.0,4.0,1341.0,3.0,4.0,591.5
4.0,6.0,9.6,4.0,6.0,673.4,4.0,6.0,316.9,3.0,6.0,458.9,3.0,6.0,1042.0,3.0,5.0,928.8
5.0,2.0,41.6,5.0,1.0,1273.0,5.0,1.0,315.4,5.0,1.0,214.7,4.0,1.0,448.3,4.0,1.0,252.8
5.0,3.0,37.5,5.0,3.0,2714.0,5.0,2.0,1163.0,5.0,2.0,700.3,4.0,2.0,1278.0,4.0,2.0,596.5
5.0,4.0,35.6,5.0,4.0,2035.0,5.0,4.0,643.7,5.0,3.0,668.3,4.0,3.0,1115.0,4.0,3.0,669.5
5.0,6.0,30.8,5.0,6.0,1956.0,5.0,6.0,493.9,5.0,6.0,204.9,4.0,6.0,480.3,4.0,5.0,542.0
6.0,2.0,32.0,6.0,1.0,873.2,6.0,1.0,235.5,6.0,1.0,136.6,6.0,1.0,485.6,5.0,1.0,514.9
6.0,3.0,28.4,6.0,3.0,1843.0,6.0,2.0,904.8,6.0,2.0,444.9,6.0,2.0,1346.0,5.0,2.0,1459.0
6.0,4.0,23.3,6.0,4.0,970.0,6.0,4.0,458.3,6.0,3.0,457.7,6.0,3.0,1090.0,5.0,3.0,1080.0
6.0,5.0,37.8,6.0,5.0,1945.0,6.0,5.0,552.3,6.0,5.0,233.1,6.0,4.0,673.4,5.0,4.0,694.8
