1,佐藤　隆太郎,佐藤　隆太郎.1,2,市橋 卓士,市橋 卓士.1,3,春園 功太,春園 功太.1,4,仲谷 颯仁,仲谷 颯仁.1,5,瓜生 正義,瓜生 正義.1,6,守田 俊介,守田 俊介.1
2.0,3.0,17.3,1.0,3.0,150.7,1.0,2.0,180.7,1.0,2.0,113.6,1.0,2.0,113.7,1.0,2.0,1211.0
2.0,4.0,13.3,1.0,4.0,121.4,1.0,4.0,99.4,1.0,3.0,129.5,1.0,3.0,127.2,1.0,3.0,1586.0
2.0,5.0,15.4,1.0,5.0,124.1,1.0,5.0,90.3,1.0,5.0,48.6,1.0,4.0,71.1,1.0,4.0,958.5
2.0,6.0,50.8,1.0,6.0,239.3,1.0,6.0,214.5,1.0,6.0,108.0,1.0,6.0,114.5,1.0,5.0,843.2
3.0,2.0,19.5,3.0,1.0,284.8,2.0,1.0,379.4,2.0,1.0,277.6,2.0,1.0,297.3,2.0,1.0,1898.0
3.0,4.0,12.6,3.0,4.0,427.0,2.0,4.0,519.1,2.0,3.0,568.1,2.0,3.0,676.9,2.0,3.0,2907.0
3.0,5.0,13.4,3.0,5.0,510.5,2.0,5.0,470.2,2.0,5.0,295.4,2.0,4.0,444.8,2.0,4.0,2437.0
3.0,6.0,43.3,3.0,6.0,948.3,2.0,6.0,820.7,2.0,6.0,528.3,2.0,6.0,618.7,2.0,5.0,2400.0
4.0,2.0,14.1,4.0,1.0,259.3,4.0,1.0,229.4,3.0,1.0,292.0,3.0,1.0,326.7,3.0,1.0,2284.0
4.0,3.0,14.7,4.0,3.0,459.1,4.0,2.0,486.5,3.0,2.0,566.9,3.0,2.0,770.9,3.0,2.0,3387.0
4.0,5.0,8.9,4.0,5.0,339.3,4.0,5.0,219.6,3.0,5.0,305.8,3.0,4.0,499.3,3.0,4.0,2805.0
4.0,6.0,28.8,4.0,6.0,639.0,4.0,6.0,487.7,3.0,6.0,629.9,3.0,6.0,659.0,3.0,5.0,2214.0
5.0,2.0,17.4,5.0,1.0,270.8,5.0,1.0,216.1,5.0,1.0,58.1,4.0,1.0,96.7,4.0,1.0,1255.0
5.0,3.0,20.3,5.0,3.0,541.9,5.0,2.0,492.5,5.0,2.0,149.5,4.0,2.0,251.1,4.0,2.0,2323.0
5.0,4.0,12.9,5.0,4.0,410.6,5.0,4.0,275.8,5.0,3.0,175.2,4.0,3.0,303.2,4.0,3.0,2578.0
5.0,6.0,29.5,5.0,6.0,643.1,5.0,6.0,452.9,5.0,6.0,86.7,4.0,6.0,149.4,4.0,5.0,666.7
6.0,2.0,133.8,6.0,1.0,840.6,6.0,1.0,759.9,6.0,1.0,255.2,6.0,1.0,317.3,5.0,1.0,893.2
6.0,3.0,148.9,6.0,3.0,1730.0,6.0,2.0,1325.0,6.0,2.0,521.4,6.0,2.0,693.9,5.0,2.0,2172.0
6.0,4.0,100.0,6.0,4.0,1417.0,6.0,4.0,1049.0,6.0,3.0,644.1,6.0,3.0,795.4,5.0,3.0,2137.0
6.0,5.0,93.3,6.0,5.0,1390.0,6.0,5.0,930.6,6.0,5.0,223.3,6.0,4.0,302.8,5.0,4.0,647.8
