1,吉本 玲緒,吉本 玲緒.1,2,永田 義紘,永田 義紘.1,3,田中 京介,田中 京介.1,4,平野 和明,平野 和明.1,5,黒崎 竜也,黒崎 竜也.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,60.5,1.0,3.0,85.0,1.0,2.0,107.3,1.0,2.0,122.0,1.0,2.0,116.1,1.0,2.0,1731.0
2.0,4.0,50.0,1.0,4.0,60.6,1.0,4.0,57.7,1.0,3.0,122.2,1.0,3.0,105.2,1.0,3.0,2862.0
2.0,5.0,53.5,1.0,5.0,65.2,1.0,5.0,53.5,1.0,5.0,62.9,1.0,4.0,81.7,1.0,4.0,2226.0
2.0,6.0,319.5,1.0,6.0,492.1,1.0,6.0,485.3,1.0,6.0,346.3,1.0,6.0,315.1,1.0,5.0,1870.0
3.0,2.0,65.9,3.0,1.0,108.7,2.0,1.0,120.2,2.0,1.0,123.4,2.0,1.0,113.8,2.0,1.0,2191.0
3.0,4.0,38.5,3.0,4.0,42.9,2.0,4.0,32.4,2.0,3.0,64.4,2.0,3.0,69.3,2.0,3.0,3187.0
3.0,5.0,39.3,3.0,5.0,40.9,2.0,5.0,43.3,2.0,5.0,34.0,2.0,4.0,42.3,2.0,4.0,1975.0
3.0,6.0,359.6,3.0,6.0,398.4,2.0,6.0,446.6,2.0,6.0,225.5,2.0,6.0,205.9,2.0,5.0,1446.0
4.0,2.0,55.8,4.0,1.0,83.9,4.0,1.0,69.5,3.0,1.0,100.3,3.0,1.0,121.4,3.0,1.0,3790.0
4.0,3.0,54.4,4.0,3.0,49.4,4.0,2.0,33.9,3.0,2.0,58.4,3.0,2.0,76.0,3.0,2.0,3261.0
4.0,5.0,36.3,4.0,5.0,30.8,4.0,5.0,21.4,3.0,5.0,27.1,3.0,4.0,43.8,3.0,4.0,2460.0
4.0,6.0,337.9,4.0,6.0,271.8,4.0,6.0,229.1,3.0,6.0,197.2,3.0,6.0,272.3,3.0,5.0,1975.0
5.0,2.0,70.6,5.0,1.0,78.6,5.0,1.0,66.2,5.0,1.0,45.5,4.0,1.0,63.3,4.0,1.0,2337.0
5.0,3.0,59.8,5.0,3.0,50.0,5.0,2.0,47.3,5.0,2.0,24.4,4.0,2.0,35.3,4.0,2.0,1263.0
5.0,4.0,53.5,5.0,4.0,35.8,5.0,4.0,26.2,5.0,3.0,22.9,4.0,3.0,32.4,4.0,3.0,2191.0
5.0,6.0,231.4,5.0,6.0,196.7,5.0,6.0,192.1,5.0,6.0,54.3,4.0,6.0,85.5,4.0,5.0,531.3
6.0,2.0,726.7,6.0,1.0,762.3,6.0,1.0,1087.0,6.0,1.0,609.8,6.0,1.0,371.0,5.0,1.0,1731.0
6.0,3.0,829.9,6.0,3.0,980.8,6.0,2.0,1275.0,6.0,2.0,527.3,6.0,2.0,272.8,5.0,2.0,1131.0
6.0,4.0,750.0,6.0,4.0,742.1,6.0,4.0,697.8,6.0,3.0,558.8,6.0,3.0,366.2,5.0,3.0,2003.0
6.0,5.0,565.5,6.0,5.0,515.6,6.0,5.0,495.6,6.0,5.0,187.0,6.0,4.0,191.0,5.0,4.0,545.7
