1,山田 亮太,山田 亮太.1,2,栗山 繁洋,栗山 繁洋.1,3,鳥飼 眞,鳥飼 眞.1,4,伊藤 尚汰,伊藤 尚汰.1,5,佃 來紀,佃 來紀.1,6,吉川 勇作,吉川 勇作.1
2.0,3.0,16.5,1.0,3.0,89.6,1.0,2.0,36.0,1.0,2.0,141.4,1.0,2.0,251.0,1.0,2.0,655.1
2.0,4.0,26.9,1.0,4.0,154.2,1.0,4.0,21.7,1.0,3.0,76.0,1.0,3.0,121.7,1.0,3.0,381.1
2.0,5.0,34.8,1.0,5.0,199.2,1.0,5.0,24.5,1.0,5.0,83.6,1.0,4.0,197.5,1.0,4.0,604.0
2.0,6.0,83.4,1.0,6.0,284.5,1.0,6.0,48.9,1.0,6.0,129.5,1.0,6.0,226.5,1.0,5.0,706.6
3.0,2.0,9.8,3.0,1.0,145.3,2.0,1.0,95.9,2.0,1.0,282.9,2.0,1.0,457.8,2.0,1.0,971.3
3.0,4.0,6.4,3.0,4.0,281.7,2.0,4.0,164.0,2.0,3.0,395.5,2.0,3.0,720.8,2.0,3.0,1175.0
3.0,5.0,9.0,3.0,5.0,319.8,2.0,5.0,166.1,2.0,5.0,462.0,2.0,4.0,760.0,2.0,4.0,1582.0
3.0,6.0,27.6,3.0,6.0,484.2,2.0,6.0,276.0,2.0,6.0,642.6,2.0,6.0,909.8,2.0,5.0,1877.0
4.0,2.0,30.4,4.0,1.0,334.7,4.0,1.0,46.6,3.0,1.0,96.5,3.0,1.0,158.5,3.0,1.0,447.6
4.0,3.0,15.5,4.0,3.0,416.1,4.0,2.0,119.6,3.0,2.0,263.9,3.0,2.0,536.9,3.0,2.0,1133.0
4.0,5.0,26.4,4.0,5.0,602.5,4.0,5.0,62.9,3.0,5.0,142.8,3.0,4.0,328.6,3.0,4.0,733.4
4.0,6.0,58.0,4.0,6.0,808.9,4.0,6.0,103.6,3.0,6.0,217.1,3.0,6.0,400.9,3.0,5.0,1039.0
5.0,2.0,51.7,5.0,1.0,490.4,5.0,1.0,72.0,5.0,1.0,117.9,4.0,1.0,261.9,4.0,1.0,831.6
5.0,3.0,24.9,5.0,3.0,706.6,5.0,2.0,198.8,5.0,2.0,277.9,4.0,2.0,575.0,4.0,2.0,1729.0
5.0,4.0,45.1,5.0,4.0,818.1,5.0,4.0,111.6,5.0,3.0,187.2,4.0,3.0,389.7,4.0,3.0,885.8
5.0,6.0,79.3,5.0,6.0,1156.0,5.0,6.0,170.6,5.0,6.0,156.2,4.0,6.0,339.2,4.0,5.0,1075.0
6.0,2.0,166.6,6.0,1.0,677.2,6.0,1.0,162.9,6.0,1.0,276.1,6.0,1.0,464.6,5.0,1.0,1079.0
6.0,3.0,99.3,6.0,3.0,980.8,6.0,2.0,389.1,6.0,2.0,617.3,6.0,2.0,1046.0,5.0,2.0,1870.0
6.0,4.0,156.3,6.0,4.0,1300.0,6.0,4.0,257.7,6.0,3.0,393.4,6.0,3.0,668.2,5.0,3.0,1389.0
6.0,5.0,156.1,6.0,5.0,1688.0,6.0,5.0,302.5,6.0,5.0,330.1,6.0,4.0,650.0,5.0,4.0,1170.0
