1,大上 卓人,大上 卓人.1,2,下河 誉史,下河 誉史.1,3,市橋 卓士,市橋 卓士.1,4,今井 貴士,今井 貴士.1,5,春園 功太,春園 功太.1,6,羽野 直也,羽野 直也.1
2.0,3.0,22.3,1.0,3.0,199.0,1.0,2.0,160.0,1.0,2.0,124.4,1.0,2.0,269.3,1.0,2.0,614.2
2.0,4.0,28.8,1.0,4.0,207.2,1.0,4.0,64.7,1.0,3.0,81.9,1.0,3.0,174.2,1.0,3.0,392.1
2.0,5.0,42.3,1.0,5.0,278.2,1.0,5.0,73.2,1.0,5.0,42.7,1.0,4.0,117.9,1.0,4.0,323.5
2.0,6.0,36.2,1.0,6.0,273.3,1.0,6.0,69.1,1.0,6.0,44.9,1.0,6.0,113.8,1.0,5.0,474.6
3.0,2.0,17.9,3.0,1.0,445.8,2.0,1.0,330.5,2.0,1.0,340.2,2.0,1.0,735.8,2.0,1.0,1268.0
3.0,4.0,9.2,3.0,4.0,885.6,2.0,4.0,573.7,2.0,3.0,676.1,2.0,3.0,1205.0,2.0,3.0,2019.0
3.0,5.0,12.9,3.0,5.0,983.5,2.0,5.0,756.9,2.0,5.0,361.8,2.0,4.0,1002.0,2.0,4.0,1552.0
3.0,6.0,12.1,3.0,6.0,913.2,2.0,6.0,525.3,2.0,6.0,336.4,2.0,6.0,841.4,2.0,5.0,2040.0
4.0,2.0,28.3,4.0,1.0,501.1,4.0,1.0,137.1,3.0,1.0,173.7,3.0,1.0,384.7,3.0,1.0,614.7
4.0,3.0,13.8,4.0,3.0,889.6,4.0,2.0,553.6,3.0,2.0,643.1,3.0,2.0,1221.0,3.0,2.0,1759.0
4.0,5.0,16.9,4.0,5.0,1086.0,4.0,5.0,193.0,3.0,5.0,285.6,3.0,4.0,660.8,3.0,4.0,853.1
4.0,6.0,15.0,4.0,6.0,695.7,4.0,6.0,171.4,3.0,6.0,172.1,3.0,6.0,528.1,3.0,5.0,1201.0
5.0,2.0,51.8,5.0,1.0,855.9,5.0,1.0,141.3,5.0,1.0,49.8,4.0,1.0,110.9,4.0,1.0,394.3
5.0,3.0,27.4,5.0,3.0,1306.0,5.0,2.0,513.4,5.0,2.0,145.1,4.0,2.0,369.4,4.0,2.0,989.6
5.0,4.0,30.2,5.0,4.0,1411.0,5.0,4.0,207.3,5.0,3.0,160.2,4.0,3.0,343.4,4.0,3.0,733.7
5.0,6.0,28.2,5.0,6.0,1293.0,5.0,6.0,313.4,5.0,6.0,49.6,4.0,6.0,109.4,4.0,5.0,461.3
6.0,2.0,60.9,6.0,1.0,879.7,6.0,1.0,243.3,6.0,1.0,72.9,6.0,1.0,189.2,5.0,1.0,623.4
6.0,3.0,33.5,6.0,3.0,1348.0,6.0,2.0,639.5,6.0,2.0,208.5,6.0,2.0,548.6,5.0,2.0,1543.0
6.0,4.0,35.9,6.0,4.0,1140.0,6.0,4.0,311.7,6.0,3.0,170.1,6.0,3.0,430.0,5.0,3.0,1101.0
6.0,5.0,52.0,6.0,5.0,1555.0,6.0,5.0,445.0,6.0,5.0,76.1,6.0,4.0,195.1,5.0,4.0,595.3
