1,溝口　海義也,溝口　海義也.1,2,篠原 飛翔,篠原 飛翔.1,3,橋本 英一,橋本 英一.1,4,安東 幸治,安東 幸治.1,5,宮脇 遼太,宮脇 遼太.1,6,富永 修一,富永 修一.1
2.0,3.0,13.6,1.0,3.0,83.7,1.0,2.0,209.8,1.0,2.0,62.0,1.0,2.0,98.9,1.0,2.0,523.3
2.0,4.0,7.5,1.0,4.0,46.4,1.0,4.0,215.9,1.0,3.0,142.6,1.0,3.0,195.2,1.0,3.0,889.8
2.0,5.0,13.3,1.0,5.0,70.3,1.0,5.0,254.6,1.0,5.0,54.7,1.0,4.0,89.1,1.0,4.0,381.5
2.0,6.0,23.7,1.0,6.0,106.0,1.0,6.0,358.8,1.0,6.0,57.3,1.0,6.0,105.4,1.0,5.0,577.9
3.0,2.0,19.0,3.0,1.0,250.1,2.0,1.0,348.3,2.0,1.0,129.0,2.0,1.0,199.4,2.0,1.0,869.3
3.0,4.0,17.6,3.0,4.0,460.1,2.0,4.0,568.4,2.0,3.0,560.0,2.0,3.0,618.3,2.0,3.0,1494.0
3.0,5.0,26.2,3.0,5.0,554.7,2.0,5.0,673.4,2.0,5.0,273.9,2.0,4.0,370.0,2.0,4.0,1418.0
3.0,6.0,42.4,3.0,6.0,577.1,2.0,6.0,692.5,2.0,6.0,255.7,2.0,6.0,375.3,2.0,5.0,1452.0
4.0,2.0,10.5,4.0,1.0,103.3,4.0,1.0,363.8,3.0,1.0,399.5,3.0,1.0,542.4,3.0,1.0,1623.0
4.0,3.0,21.2,4.0,3.0,387.6,4.0,2.0,594.4,3.0,2.0,725.1,3.0,2.0,959.6,3.0,2.0,1592.0
4.0,5.0,14.6,4.0,5.0,245.4,4.0,5.0,631.5,3.0,5.0,628.6,3.0,4.0,953.0,3.0,4.0,2109.0
4.0,6.0,15.5,4.0,6.0,251.3,4.0,6.0,624.8,3.0,6.0,614.6,3.0,6.0,1090.0,3.0,5.0,3101.0
5.0,2.0,22.6,5.0,1.0,187.9,5.0,1.0,491.1,5.0,1.0,88.4,4.0,1.0,135.4,4.0,1.0,480.3
5.0,3.0,38.9,5.0,3.0,555.5,5.0,2.0,776.7,5.0,2.0,194.2,4.0,2.0,325.4,4.0,2.0,1314.0
5.0,4.0,25.1,5.0,4.0,352.1,5.0,4.0,860.3,5.0,3.0,451.1,4.0,3.0,674.5,4.0,3.0,1855.0
5.0,6.0,39.0,5.0,6.0,461.7,5.0,6.0,959.6,5.0,6.0,119.7,4.0,6.0,213.5,4.0,5.0,1054.0
6.0,2.0,72.5,6.0,1.0,385.4,6.0,1.0,903.3,6.0,1.0,110.1,6.0,1.0,226.8,5.0,1.0,785.5
6.0,3.0,110.1,6.0,3.0,816.3,6.0,2.0,1093.0,6.0,2.0,338.6,6.0,2.0,369.0,5.0,2.0,1423.0
6.0,4.0,53.5,6.0,4.0,618.3,6.0,4.0,1135.0,6.0,3.0,666.9,6.0,3.0,696.0,5.0,3.0,2388.0
6.0,5.0,75.9,6.0,5.0,722.6,6.0,5.0,1222.0,6.0,5.0,247.7,6.0,4.0,389.8,5.0,4.0,1057.0
