1,木村 亮太,木村 亮太.1,2,河合 佑樹,河合 佑樹.1,3,川北 浩貴,川北 浩貴.1,4,川崎 公靖,川崎 公靖.1,5,高橋 英之,高橋 英之.1,6,近藤 友宝,近藤 友宝.1
2.0,3.0,6.5,1.0,3.0,7.7,1.0,2.0,38.9,1.0,2.0,434.0,1.0,2.0,111.7,1.0,2.0,1516.0
2.0,4.0,31.6,1.0,4.0,33.2,1.0,4.0,148.5,1.0,3.0,615.7,1.0,3.0,142.8,1.0,3.0,2183.0
2.0,5.0,13.0,1.0,5.0,15.5,1.0,5.0,55.3,1.0,5.0,670.2,1.0,4.0,475.5,1.0,4.0,3274.0
2.0,6.0,73.8,1.0,6.0,70.3,1.0,6.0,174.8,1.0,6.0,1059.0,1.0,6.0,311.8,1.0,5.0,1947.0
3.0,2.0,11.7,3.0,1.0,15.3,2.0,1.0,26.9,2.0,1.0,510.9,2.0,1.0,135.8,2.0,1.0,1715.0
3.0,4.0,47.7,3.0,4.0,52.3,2.0,4.0,109.2,2.0,3.0,431.4,2.0,3.0,84.2,2.0,3.0,1117.0
3.0,5.0,22.7,3.0,5.0,14.6,2.0,5.0,28.4,2.0,5.0,621.1,2.0,4.0,485.1,2.0,4.0,2324.0
3.0,6.0,101.0,3.0,6.0,67.1,2.0,6.0,108.2,2.0,6.0,1125.0,2.0,6.0,307.8,2.0,5.0,1549.0
4.0,2.0,94.6,4.0,1.0,154.7,4.0,1.0,304.0,3.0,1.0,852.6,3.0,1.0,214.4,3.0,1.0,2484.0
4.0,3.0,122.7,4.0,3.0,149.4,4.0,2.0,261.9,3.0,2.0,522.0,3.0,2.0,105.0,3.0,2.0,1359.0
4.0,5.0,166.2,4.0,5.0,196.8,4.0,5.0,313.2,3.0,5.0,857.7,3.0,4.0,754.4,3.0,4.0,2940.0
4.0,6.0,335.1,4.0,6.0,457.4,4.0,6.0,588.1,3.0,6.0,1221.0,3.0,6.0,456.0,3.0,5.0,1801.0
5.0,2.0,45.6,5.0,1.0,47.9,5.0,1.0,99.1,5.0,1.0,713.3,4.0,1.0,832.9,4.0,1.0,3202.0
5.0,3.0,63.6,5.0,3.0,30.1,5.0,2.0,55.8,5.0,2.0,702.9,4.0,2.0,608.0,4.0,2.0,3202.0
5.0,4.0,190.8,5.0,4.0,150.8,5.0,4.0,280.8,5.0,3.0,1051.0,4.0,3.0,917.8,4.0,3.0,3132.0
5.0,6.0,219.3,5.0,6.0,138.6,5.0,6.0,196.5,5.0,6.0,818.7,4.0,6.0,868.0,4.0,5.0,3430.0
6.0,2.0,444.7,6.0,1.0,311.8,6.0,1.0,537.6,6.0,1.0,1549.0,6.0,1.0,750.5,5.0,1.0,2324.0
6.0,3.0,592.9,6.0,3.0,300.2,6.0,2.0,398.0,6.0,2.0,2001.0,6.0,2.0,574.0,5.0,2.0,1778.0
6.0,4.0,796.1,6.0,4.0,873.3,6.0,4.0,993.7,6.0,3.0,1715.0,6.0,3.0,686.1,5.0,3.0,1847.0
6.0,5.0,602.9,6.0,5.0,318.0,6.0,5.0,477.1,6.0,5.0,1359.0,6.0,4.0,1549.0,5.0,4.0,3894.0
