1,河合 佑樹,河合 佑樹.1,2,大橋　純一郎,大橋　純一郎.1,3,川北 浩貴,川北 浩貴.1,4,渡 修平,渡 修平.1,5,内田 圭,内田 圭.1,6,村田 友也,村田 友也.1
2.0,3.0,2.5,1.0,3.0,20.5,1.0,2.0,30.9,1.0,2.0,447.4,1.0,2.0,437.3,1.0,2.0,1557.0
2.0,4.0,14.5,1.0,4.0,88.7,1.0,4.0,94.6,1.0,3.0,607.0,1.0,3.0,426.6,1.0,3.0,1919.0
2.0,5.0,14.0,1.0,5.0,83.0,1.0,5.0,66.3,1.0,5.0,791.8,1.0,4.0,1154.0,1.0,4.0,2846.0
2.0,6.0,50.0,1.0,6.0,222.6,1.0,6.0,214.2,1.0,6.0,1041.0,1.0,6.0,868.9,1.0,5.0,2579.0
3.0,2.0,3.7,3.0,1.0,48.7,2.0,1.0,57.3,2.0,1.0,750.4,2.0,1.0,722.5,2.0,1.0,1765.0
3.0,4.0,14.3,3.0,4.0,224.1,2.0,4.0,273.8,2.0,3.0,1223.0,2.0,3.0,1232.0,2.0,3.0,2641.0
3.0,5.0,13.5,3.0,5.0,233.0,2.0,5.0,234.8,2.0,5.0,1876.0,2.0,4.0,2103.0,2.0,4.0,3752.0
3.0,6.0,54.3,3.0,6.0,585.4,2.0,6.0,562.5,2.0,6.0,1814.0,2.0,6.0,2410.0,2.0,5.0,4179.0
4.0,2.0,57.6,4.0,1.0,465.7,4.0,1.0,458.6,3.0,1.0,1123.0,3.0,1.0,788.1,3.0,1.0,2293.0
4.0,3.0,60.1,4.0,3.0,581.3,4.0,2.0,609.2,3.0,2.0,1417.0,3.0,2.0,1441.0,3.0,2.0,2896.0
4.0,5.0,145.3,4.0,5.0,1016.0,4.0,5.0,805.4,3.0,5.0,1747.0,3.0,4.0,2186.0,3.0,4.0,3795.0
4.0,6.0,197.3,4.0,6.0,1834.0,4.0,6.0,1375.0,3.0,6.0,2293.0,3.0,6.0,3115.0,3.0,5.0,4717.0
5.0,2.0,64.7,5.0,1.0,497.3,5.0,1.0,343.6,5.0,1.0,1232.0,4.0,1.0,2025.0,4.0,1.0,4717.0
5.0,3.0,65.2,5.0,3.0,588.6,5.0,2.0,537.8,5.0,2.0,2089.0,4.0,2.0,3115.0,4.0,2.0,5693.0
5.0,4.0,229.4,5.0,4.0,1166.0,5.0,4.0,982.7,5.0,3.0,2025.0,4.0,3.0,2482.0,4.0,3.0,4179.0
5.0,6.0,225.7,5.0,6.0,1702.0,5.0,6.0,1315.0,5.0,6.0,1977.0,4.0,6.0,2846.0,4.0,5.0,5241.0
6.0,2.0,279.6,6.0,1.0,1170.0,6.0,1.0,1123.0,6.0,1.0,2774.0,6.0,1.0,1710.0,5.0,1.0,3589.0
6.0,3.0,302.6,6.0,3.0,1626.0,6.0,2.0,1494.0,6.0,2.0,2922.0,6.0,2.0,3404.0,5.0,2.0,5413.0
6.0,4.0,545.8,6.0,4.0,2922.0,6.0,4.0,2144.0,6.0,3.0,3086.0,6.0,3.0,3057.0,5.0,3.0,5693.0
6.0,5.0,474.4,6.0,5.0,2974.0,6.0,5.0,1747.0,6.0,5.0,3001.0,6.0,4.0,3710.0,5.0,4.0,4523.0
