1,板橋 侑我,板橋 侑我.1,2,品川　二千翔,品川　二千翔.1,3,坂本 雄紀,坂本 雄紀.1,4,栗原 一馬,栗原 一馬.1,5,木谷 賢太,木谷 賢太.1,6,仲本 舜,仲本 舜.1
2.0,3.0,10.7,1.0,3.0,133.8,1.0,2.0,99.0,1.0,2.0,240.7,1.0,2.0,158.3,1.0,2.0,660.7
2.0,4.0,14.7,1.0,4.0,172.0,1.0,4.0,79.7,1.0,3.0,230.0,1.0,3.0,130.1,1.0,3.0,688.8
2.0,5.0,9.7,1.0,5.0,107.8,1.0,5.0,53.1,1.0,5.0,141.8,1.0,4.0,179.2,1.0,4.0,739.0
2.0,6.0,47.2,1.0,6.0,329.9,1.0,6.0,179.9,1.0,6.0,253.3,1.0,6.0,190.8,1.0,5.0,553.4
3.0,2.0,10.7,3.0,1.0,333.1,2.0,1.0,297.0,2.0,1.0,506.8,2.0,1.0,399.7,2.0,1.0,1301.0
3.0,4.0,9.1,3.0,4.0,718.5,2.0,4.0,582.0,2.0,3.0,890.1,2.0,3.0,766.3,2.0,3.0,1992.0
3.0,5.0,7.6,3.0,5.0,630.9,2.0,5.0,431.6,2.0,5.0,681.6,2.0,4.0,860.5,2.0,4.0,1780.0
3.0,6.0,34.1,3.0,6.0,1199.0,2.0,6.0,860.5,2.0,6.0,933.4,2.0,6.0,918.5,2.0,5.0,2000.0
4.0,2.0,22.5,4.0,1.0,485.5,4.0,1.0,207.0,3.0,1.0,382.5,3.0,1.0,241.0,3.0,1.0,1188.0
4.0,3.0,18.5,4.0,3.0,881.0,4.0,2.0,542.4,3.0,2.0,875.0,3.0,2.0,664.1,3.0,2.0,2039.0
4.0,5.0,17.9,4.0,5.0,677.1,4.0,5.0,222.9,3.0,5.0,404.0,3.0,4.0,516.4,3.0,4.0,811.9
4.0,6.0,45.8,4.0,6.0,984.8,4.0,6.0,273.8,3.0,6.0,388.9,3.0,6.0,726.5,3.0,5.0,1349.0
5.0,2.0,14.3,5.0,1.0,380.9,5.0,1.0,158.6,5.0,1.0,187.9,4.0,1.0,293.6,4.0,1.0,1374.0
5.0,3.0,14.5,5.0,3.0,729.6,5.0,2.0,366.3,5.0,2.0,428.8,4.0,2.0,667.5,4.0,2.0,1962.0
5.0,4.0,23.6,5.0,4.0,759.5,5.0,4.0,266.8,5.0,3.0,442.0,4.0,3.0,654.0,4.0,3.0,1061.0
5.0,6.0,35.7,5.0,6.0,849.2,5.0,6.0,418.7,5.0,6.0,267.5,4.0,6.0,436.0,4.0,5.0,1048.0
6.0,2.0,118.3,6.0,1.0,1114.0,6.0,1.0,737.9,6.0,1.0,649.1,6.0,1.0,402.5,5.0,1.0,756.2
6.0,3.0,104.7,6.0,3.0,1792.0,6.0,2.0,1248.0,6.0,2.0,986.7,6.0,2.0,957.5,5.0,2.0,1104.0
6.0,4.0,117.6,6.0,4.0,1501.0,6.0,4.0,664.1,6.0,3.0,707.7,6.0,3.0,872.1,5.0,3.0,1224.0
6.0,5.0,87.1,6.0,5.0,1523.0,6.0,5.0,765.1,6.0,5.0,520.6,6.0,4.0,645.9,5.0,4.0,846.4
