1,深川　麻奈美,深川　麻奈美.1,2,古賀 智之,古賀 智之.1,3,上野 秀和,上野 秀和.1,4,乙藤 智史,乙藤 智史.1,5,小松 卓司,小松 卓司.1,6,西山 貴浩,西山 貴浩.1
2.0,3.0,97.1,1.0,3.0,160.2,1.0,2.0,289.6,1.0,2.0,160.6,1.0,2.0,987.5,1.0,2.0,24.3
2.0,4.0,73.3,1.0,4.0,126.3,1.0,4.0,174.7,1.0,3.0,171.6,1.0,3.0,912.7,1.0,3.0,24.5
2.0,5.0,196.5,1.0,5.0,275.9,1.0,5.0,272.9,1.0,5.0,190.8,1.0,4.0,773.4,1.0,4.0,12.8
2.0,6.0,36.9,1.0,6.0,71.4,1.0,6.0,117.1,1.0,6.0,56.3,1.0,6.0,474.3,1.0,5.0,48.4
3.0,2.0,122.2,3.0,1.0,314.9,2.0,1.0,391.9,2.0,1.0,259.1,2.0,1.0,1138.0,2.0,1.0,49.2
3.0,4.0,84.7,3.0,4.0,296.7,2.0,4.0,315.8,2.0,3.0,341.7,2.0,3.0,1329.0,2.0,3.0,57.1
3.0,5.0,186.6,3.0,5.0,557.5,2.0,5.0,547.9,2.0,5.0,403.6,2.0,4.0,1025.0,2.0,4.0,36.6
3.0,6.0,55.7,3.0,6.0,152.1,2.0,6.0,179.6,2.0,6.0,114.1,2.0,6.0,629.9,2.0,5.0,92.5
4.0,2.0,75.0,4.0,1.0,233.2,4.0,1.0,167.3,3.0,1.0,206.2,3.0,1.0,960.4,3.0,1.0,39.9
4.0,3.0,87.3,4.0,3.0,303.9,4.0,2.0,246.0,3.0,2.0,285.3,3.0,2.0,1370.0,3.0,2.0,54.8
4.0,5.0,133.4,4.0,5.0,418.1,4.0,5.0,181.4,3.0,5.0,195.9,3.0,4.0,734.4,3.0,4.0,28.2
4.0,6.0,27.8,4.0,6.0,105.8,4.0,6.0,78.6,3.0,6.0,91.1,3.0,6.0,704.8,3.0,5.0,60.0
5.0,2.0,384.1,5.0,1.0,710.5,5.0,1.0,495.8,5.0,1.0,243.6,4.0,1.0,643.8,4.0,1.0,19.0
5.0,3.0,348.8,5.0,3.0,796.3,5.0,2.0,719.3,5.0,2.0,362.2,4.0,2.0,838.3,4.0,2.0,28.8
5.0,4.0,285.3,5.0,4.0,717.8,5.0,4.0,364.5,5.0,3.0,289.6,4.0,3.0,643.8,4.0,3.0,25.4
5.0,6.0,165.2,5.0,6.0,424.7,5.0,6.0,309.3,5.0,6.0,131.2,4.0,6.0,274.4,4.0,5.0,33.6
6.0,2.0,20.8,6.0,1.0,71.4,6.0,1.0,103.4,6.0,1.0,48.3,6.0,1.0,454.6,5.0,1.0,127.9
6.0,3.0,22.7,6.0,3.0,80.9,6.0,2.0,121.3,6.0,2.0,72.2,6.0,2.0,605.8,5.0,2.0,193.5
6.0,4.0,13.5,6.0,4.0,57.2,6.0,4.0,61.4,6.0,3.0,62.2,6.0,3.0,568.4,5.0,3.0,143.7
6.0,5.0,54.2,6.0,5.0,148.5,6.0,5.0,136.2,6.0,5.0,74.9,6.0,4.0,277.2,5.0,4.0,83.3
