1,深川　麻奈美,深川　麻奈美.1,2,藤原 菜希,藤原 菜希.1,3,佐々木　裕美,佐々木　裕美.1,4,井上 未都,井上 未都.1,5,藤本　紗弥香,藤本　紗弥香.1,6,石井 裕美,石井 裕美.1
2.0,3.0,5.9,1.0,3.0,19.0,1.0,2.0,61.2,1.0,2.0,33.0,1.0,2.0,496.1,1.0,2.0,946.9
2.0,4.0,5.7,1.0,4.0,18.2,1.0,4.0,73.0,1.0,3.0,59.1,1.0,3.0,702.7,1.0,3.0,1688.0
2.0,5.0,29.5,1.0,5.0,70.7,1.0,5.0,181.3,1.0,5.0,90.5,1.0,4.0,579.4,1.0,4.0,1190.0
2.0,6.0,41.5,1.0,6.0,90.3,1.0,6.0,252.0,1.0,6.0,82.6,1.0,6.0,1016.0,1.0,5.0,3432.0
3.0,2.0,11.6,3.0,1.0,56.0,2.0,1.0,98.2,2.0,1.0,49.6,2.0,1.0,719.8,2.0,1.0,1196.0
3.0,4.0,13.2,3.0,4.0,86.6,2.0,4.0,151.8,2.0,3.0,112.1,2.0,3.0,1415.0,2.0,3.0,1905.0
3.0,5.0,54.5,3.0,5.0,323.8,2.0,5.0,408.4,2.0,5.0,167.9,2.0,4.0,958.6,2.0,4.0,638.4
3.0,6.0,70.7,3.0,6.0,284.0,2.0,6.0,431.0,2.0,6.0,126.5,2.0,6.0,1652.0,2.0,5.0,2849.0
4.0,2.0,11.1,4.0,1.0,48.4,4.0,1.0,134.2,3.0,1.0,128.3,3.0,1.0,1093.0,3.0,1.0,2105.0
4.0,3.0,16.9,4.0,3.0,100.3,4.0,2.0,174.9,3.0,2.0,173.5,3.0,2.0,1740.0,3.0,2.0,2504.0
4.0,5.0,52.3,4.0,5.0,273.6,4.0,5.0,452.7,3.0,5.0,414.9,3.0,4.0,1978.0,3.0,4.0,2621.0
4.0,6.0,48.8,4.0,6.0,154.3,4.0,6.0,457.7,3.0,6.0,375.3,3.0,6.0,2666.0,3.0,5.0,3697.0
5.0,2.0,100.0,5.0,1.0,349.5,5.0,1.0,511.2,5.0,1.0,171.2,4.0,1.0,775.5,4.0,1.0,1272.0
5.0,3.0,149.8,5.0,3.0,714.8,5.0,2.0,693.3,5.0,2.0,215.9,4.0,2.0,928.5,4.0,2.0,631.3
5.0,4.0,131.7,5.0,4.0,530.9,5.0,4.0,817.3,5.0,3.0,426.3,4.0,3.0,1621.0,4.0,3.0,2417.0
5.0,6.0,306.0,5.0,6.0,939.7,5.0,6.0,1365.0,5.0,6.0,273.2,4.0,6.0,1144.0,4.0,5.0,2436.0
6.0,2.0,201.4,6.0,1.0,366.0,6.0,1.0,754.8,6.0,1.0,194.8,6.0,1.0,1859.0,5.0,1.0,3529.0
6.0,3.0,290.1,6.0,3.0,641.0,6.0,2.0,1042.0,6.0,2.0,183.7,6.0,2.0,1821.0,5.0,2.0,3339.0
6.0,4.0,190.7,6.0,4.0,282.8,6.0,4.0,1011.0,6.0,3.0,426.9,6.0,3.0,2588.0,5.0,3.0,4007.0
6.0,5.0,522.8,6.0,5.0,1063.0,6.0,5.0,1935.0,6.0,5.0,384.8,6.0,4.0,1617.0,5.0,4.0,2875.0
