1,西山 貴浩,西山 貴浩.1,2,小川 広大,小川 広大.1,3,岡村 慶太,岡村 慶太.1,4,松尾 宣邦,松尾 宣邦.1,5,奈須 啓太,奈須 啓太.1,6,原田　才一郎,原田　才一郎.1
2.0,3.0,17.7,1.0,3.0,269.5,1.0,2.0,76.2,1.0,2.0,720.7,1.0,2.0,216.2,1.0,2.0,578.1
2.0,4.0,51.8,1.0,4.0,546.6,1.0,4.0,56.9,1.0,3.0,498.3,1.0,3.0,85.1,1.0,3.0,271.3
2.0,5.0,36.4,1.0,5.0,453.3,1.0,5.0,23.6,1.0,5.0,522.6,1.0,4.0,273.5,1.0,4.0,772.7
2.0,6.0,47.4,1.0,6.0,509.4,1.0,6.0,32.7,1.0,6.0,514.3,1.0,6.0,102.8,1.0,5.0,339.9
3.0,2.0,9.6,3.0,1.0,467.5,2.0,1.0,281.4,2.0,1.0,1370.0,2.0,1.0,680.3,2.0,1.0,1270.0
3.0,4.0,8.7,3.0,4.0,1376.0,2.0,4.0,759.0,2.0,3.0,2186.0,2.0,3.0,1135.0,2.0,3.0,1795.0
3.0,5.0,4.6,3.0,5.0,1036.0,2.0,5.0,533.5,2.0,5.0,2287.0,2.0,4.0,1885.0,2.0,4.0,2795.0
3.0,6.0,7.0,3.0,6.0,1238.0,2.0,6.0,615.8,2.0,6.0,1619.0,2.0,6.0,1133.0,2.0,5.0,2121.0
4.0,2.0,65.7,4.0,1.0,1129.0,4.0,1.0,251.7,3.0,1.0,708.0,3.0,1.0,159.0,3.0,1.0,409.2
4.0,3.0,29.3,4.0,3.0,1885.0,4.0,2.0,736.4,3.0,2.0,1960.0,3.0,2.0,683.9,3.0,2.0,1400.0
4.0,5.0,52.8,4.0,5.0,2363.0,4.0,5.0,356.1,3.0,5.0,1141.0,3.0,4.0,751.0,3.0,4.0,1631.0
4.0,6.0,54.6,4.0,6.0,1936.0,4.0,6.0,421.8,3.0,6.0,1312.0,3.0,6.0,308.6,3.0,5.0,669.7
5.0,2.0,37.7,5.0,1.0,1036.0,5.0,1.0,80.9,5.0,1.0,806.6,4.0,1.0,837.1,4.0,1.0,1627.0
5.0,3.0,12.5,5.0,3.0,1431.0,5.0,2.0,376.4,5.0,2.0,2054.0,4.0,2.0,2054.0,4.0,2.0,3494.0
5.0,4.0,53.1,5.0,4.0,2701.0,5.0,4.0,309.8,5.0,3.0,1347.0,4.0,3.0,1512.0,4.0,3.0,2724.0
5.0,6.0,22.0,5.0,6.0,1766.0,5.0,6.0,142.4,5.0,6.0,1186.0,4.0,6.0,1283.0,4.0,5.0,2883.0
6.0,2.0,68.0,6.0,1.0,1403.0,6.0,1.0,150.6,6.0,1.0,1133.0,6.0,1.0,225.9,5.0,1.0,463.5
6.0,3.0,24.8,6.0,3.0,1948.0,6.0,2.0,559.0,6.0,2.0,2883.0,6.0,2.0,704.9,5.0,2.0,1512.0
6.0,4.0,83.8,6.0,4.0,3018.0,6.0,4.0,579.7,6.0,3.0,2009.0,6.0,3.0,349.0,5.0,3.0,666.9
6.0,5.0,37.1,6.0,5.0,2372.0,6.0,5.0,234.8,6.0,5.0,2028.0,6.0,4.0,934.4,5.0,4.0,1936.0
