1,丸岡 正典,丸岡 正典.1,2,川田 正人,川田 正人.1,3,榮田 将彦,榮田 将彦.1,4,表 憲一,表 憲一.1,5,松本 弓雄,松本 弓雄.1,6,森作 雄大,森作 雄大.1
2.0,3.0,9.1,1.0,3.0,131.4,1.0,2.0,110.6,1.0,2.0,130.9,1.0,2.0,477.0,1.0,2.0,450.0
2.0,4.0,7.0,1.0,4.0,108.8,1.0,4.0,66.4,1.0,3.0,157.3,1.0,3.0,434.6,1.0,3.0,472.5
2.0,5.0,23.0,1.0,5.0,240.3,1.0,5.0,103.0,1.0,5.0,185.6,1.0,4.0,505.1,1.0,4.0,428.6
2.0,6.0,21.2,1.0,6.0,216.2,1.0,6.0,90.8,1.0,6.0,125.6,1.0,6.0,438.3,1.0,5.0,735.0
3.0,2.0,10.9,3.0,1.0,358.7,2.0,1.0,300.0,2.0,1.0,331.8,2.0,1.0,1112.0,2.0,1.0,1013.0
3.0,4.0,7.7,3.0,4.0,743.9,2.0,4.0,542.5,2.0,3.0,977.5,2.0,3.0,2331.0,2.0,3.0,2018.0
3.0,5.0,16.4,3.0,5.0,1425.0,2.0,5.0,853.2,2.0,5.0,982.6,2.0,4.0,2255.0,2.0,4.0,1596.0
3.0,6.0,18.7,3.0,6.0,1125.0,2.0,6.0,777.1,2.0,6.0,709.7,2.0,6.0,2063.0,2.0,5.0,2391.0
4.0,2.0,9.8,4.0,1.0,326.6,4.0,1.0,166.6,3.0,1.0,271.1,3.0,1.0,764.3,3.0,1.0,939.6
4.0,3.0,11.7,4.0,3.0,851.9,4.0,2.0,467.4,3.0,2.0,857.2,3.0,2.0,2360.0,3.0,2.0,2168.0
4.0,5.0,23.5,4.0,5.0,1289.0,4.0,5.0,320.7,3.0,5.0,524.6,3.0,4.0,1714.0,3.0,4.0,1955.0
4.0,6.0,17.7,4.0,6.0,707.0,4.0,6.0,267.2,3.0,6.0,464.7,3.0,6.0,1582.0,3.0,5.0,2814.0
5.0,2.0,46.4,5.0,1.0,894.3,5.0,1.0,314.7,5.0,1.0,380.0,4.0,1.0,880.2,4.0,1.0,665.6
5.0,3.0,41.7,5.0,3.0,1826.0,5.0,2.0,754.9,5.0,2.0,749.9,4.0,2.0,2134.0,4.0,2.0,1518.0
5.0,4.0,48.9,5.0,4.0,1975.0,5.0,4.0,572.0,5.0,3.0,804.0,4.0,3.0,1663.0,4.0,3.0,2151.0
5.0,6.0,61.3,5.0,6.0,1768.0,5.0,6.0,617.0,5.0,6.0,628.8,4.0,6.0,1451.0,4.0,5.0,2350.0
6.0,2.0,52.4,6.0,1.0,786.9,6.0,1.0,396.5,6.0,1.0,299.0,6.0,1.0,947.5,5.0,1.0,1601.0
6.0,3.0,56.3,6.0,3.0,1838.0,6.0,2.0,883.0,6.0,2.0,784.7,6.0,2.0,1768.0,5.0,2.0,2360.0
6.0,4.0,46.1,6.0,4.0,1216.0,6.0,4.0,681.1,6.0,3.0,873.3,6.0,3.0,1809.0,5.0,3.0,3095.0
6.0,5.0,86.2,6.0,5.0,2193.0,6.0,5.0,939.6,6.0,5.0,952.4,6.0,4.0,1785.0,5.0,4.0,2628.0
