1,石原 翼,石原 翼.1,2,加藤 優弥,加藤 優弥.1,3,國崎 良春,國崎 良春.1,4,小澤 和也,小澤 和也.1,5,梅木 敬太,梅木 敬太.1,6,高井 雄基,高井 雄基.1
2.0,3.0,10.2,1.0,3.0,72.0,1.0,2.0,52.5,1.0,2.0,644.1,1.0,2.0,166.2,1.0,2.0,424.6
2.0,4.0,26.5,1.0,4.0,154.5,1.0,4.0,67.9,1.0,3.0,543.7,1.0,3.0,106.8,1.0,3.0,219.9
2.0,5.0,19.4,1.0,5.0,132.1,1.0,5.0,43.7,1.0,5.0,604.2,1.0,4.0,309.6,1.0,4.0,679.9
2.0,6.0,21.7,1.0,6.0,117.3,1.0,6.0,40.2,1.0,6.0,471.0,1.0,6.0,121.8,1.0,5.0,446.3
3.0,2.0,8.0,3.0,1.0,160.1,2.0,1.0,152.0,2.0,1.0,1331.0,2.0,1.0,330.2,2.0,1.0,872.5
3.0,4.0,13.7,3.0,4.0,547.2,2.0,4.0,379.8,2.0,3.0,1564.0,2.0,3.0,668.1,2.0,3.0,1208.0
3.0,5.0,8.2,3.0,5.0,434.7,2.0,5.0,280.2,2.0,5.0,2100.0,2.0,4.0,1279.0,2.0,4.0,2105.0
3.0,6.0,8.5,3.0,6.0,379.8,2.0,6.0,230.2,2.0,6.0,1481.0,2.0,6.0,456.0,2.0,5.0,1988.0
4.0,2.0,50.3,4.0,1.0,541.0,4.0,1.0,264.0,3.0,1.0,799.5,3.0,1.0,200.6,3.0,1.0,322.7
4.0,3.0,34.7,4.0,3.0,1002.0,4.0,2.0,456.4,3.0,2.0,1533.0,3.0,2.0,545.4,3.0,2.0,991.3
4.0,5.0,53.8,4.0,5.0,1253.0,4.0,5.0,356.3,3.0,5.0,1316.0,3.0,4.0,716.8,3.0,4.0,807.9
4.0,6.0,50.0,4.0,6.0,1007.0,4.0,6.0,321.2,3.0,6.0,1002.0,3.0,6.0,292.7,3.0,5.0,667.2
5.0,2.0,26.8,5.0,1.0,391.3,5.0,1.0,120.1,5.0,1.0,915.4,4.0,1.0,747.7,4.0,1.0,1540.0
5.0,3.0,16.8,5.0,3.0,724.5,5.0,2.0,273.9,5.0,2.0,1859.0,4.0,2.0,1571.0,4.0,2.0,2885.0
5.0,4.0,54.8,5.0,4.0,1272.0,5.0,4.0,343.1,5.0,3.0,1317.0,4.0,3.0,1102.0,4.0,3.0,1901.0
5.0,6.0,25.2,5.0,6.0,816.4,5.0,6.0,168.6,5.0,6.0,789.5,4.0,6.0,651.6,4.0,5.0,1927.0
6.0,2.0,42.2,6.0,1.0,480.7,6.0,1.0,121.8,6.0,1.0,843.2,6.0,1.0,233.8,5.0,1.0,665.0
6.0,3.0,24.9,6.0,3.0,834.7,6.0,2.0,315.5,6.0,2.0,1786.0,6.0,2.0,414.8,5.0,2.0,1436.0
6.0,4.0,72.2,6.0,4.0,1185.0,6.0,4.0,315.9,6.0,3.0,1235.0,6.0,3.0,365.8,5.0,3.0,784.5
6.0,5.0,45.2,6.0,5.0,1095.0,6.0,5.0,215.6,6.0,5.0,1033.0,6.0,4.0,591.4,5.0,4.0,1449.0
