1,尾崎 雄二,尾崎 雄二.1,2,秋元 哲,秋元 哲.1,3,森 竜也,森 竜也.1,4,池田　奈津美,池田　奈津美.1,5,赤羽 克也,赤羽 克也.1,6,清水 敦揮,清水 敦揮.1
2.0,3.0,47.5,1.0,3.0,84.2,1.0,2.0,260.5,1.0,2.0,139.9,1.0,2.0,73.4,1.0,2.0,83.9
2.0,4.0,36.2,1.0,4.0,74.5,1.0,4.0,391.0,1.0,3.0,328.1,1.0,3.0,235.5,1.0,3.0,254.5
2.0,5.0,19.8,1.0,5.0,26.2,1.0,5.0,298.0,1.0,5.0,163.1,1.0,4.0,193.1,1.0,4.0,198.0
2.0,6.0,18.1,1.0,6.0,20.6,1.0,6.0,288.3,1.0,6.0,146.1,1.0,6.0,68.0,1.0,5.0,102.3
3.0,2.0,68.2,3.0,1.0,157.6,2.0,1.0,315.7,2.0,1.0,200.2,2.0,1.0,60.5,2.0,1.0,81.0
3.0,4.0,93.4,3.0,4.0,264.8,2.0,4.0,400.5,2.0,3.0,339.3,2.0,3.0,146.2,2.0,3.0,172.6
3.0,5.0,83.9,3.0,5.0,131.3,2.0,5.0,281.2,2.0,5.0,134.9,2.0,4.0,133.2,2.0,4.0,150.0
3.0,6.0,82.8,3.0,6.0,105.8,2.0,6.0,226.2,2.0,6.0,111.8,2.0,6.0,26.4,2.0,5.0,45.7
4.0,2.0,48.3,4.0,1.0,138.5,4.0,1.0,617.2,3.0,1.0,598.2,3.0,1.0,468.5,3.0,1.0,420.3
4.0,3.0,110.5,4.0,3.0,295.4,4.0,2.0,498.9,3.0,2.0,480.7,3.0,2.0,340.5,3.0,2.0,279.8
4.0,5.0,57.9,4.0,5.0,95.4,4.0,5.0,692.5,3.0,5.0,762.3,3.0,4.0,713.1,3.0,4.0,541.9
4.0,6.0,52.7,4.0,6.0,82.1,4.0,6.0,552.9,3.0,6.0,584.5,3.0,6.0,337.1,3.0,5.0,410.2
5.0,2.0,32.3,5.0,1.0,30.3,5.0,1.0,491.7,5.0,1.0,216.5,4.0,1.0,277.9,4.0,1.0,321.4
5.0,3.0,98.1,5.0,3.0,85.5,5.0,2.0,371.8,5.0,2.0,178.9,4.0,2.0,239.0,4.0,2.0,242.6
5.0,4.0,68.9,5.0,4.0,68.4,5.0,4.0,781.2,5.0,3.0,585.3,4.0,3.0,679.8,4.0,3.0,577.9
5.0,6.0,31.2,5.0,6.0,12.9,5.0,6.0,365.4,5.0,6.0,115.9,4.0,6.0,168.6,4.0,5.0,240.7
6.0,2.0,34.3,6.0,1.0,30.8,6.0,1.0,539.0,6.0,1.0,243.0,6.0,1.0,66.9,5.0,1.0,100.6
6.0,3.0,94.8,6.0,3.0,82.4,6.0,2.0,346.8,6.0,2.0,166.5,6.0,2.0,35.1,5.0,2.0,50.6
6.0,4.0,81.8,6.0,4.0,73.0,6.0,4.0,710.6,6.0,3.0,527.9,6.0,3.0,172.8,5.0,3.0,261.9
6.0,5.0,37.6,6.0,5.0,17.2,6.0,5.0,450.5,6.0,5.0,153.9,6.0,4.0,115.9,5.0,4.0,163.1
