1,藤原 孝斗,藤原 孝斗.1,2,前原 大道,前原 大道.1,3,田中 駿兵,田中 駿兵.1,4,登玉 隼百,登玉 隼百.1,5,豊田 祥生,豊田 祥生.1,6,楠 将太郎,楠 将太郎.1
2.0,3.0,10.7,1.0,3.0,16.0,1.0,2.0,40.7,1.0,2.0,44.1,1.0,2.0,501.0,1.0,2.0,843.5
2.0,4.0,11.5,1.0,4.0,12.8,1.0,4.0,45.5,1.0,3.0,82.5,1.0,3.0,694.3,1.0,3.0,1124.0
2.0,5.0,71.6,1.0,5.0,76.4,1.0,5.0,147.1,1.0,5.0,109.7,1.0,4.0,618.7,1.0,4.0,959.7
2.0,6.0,77.3,1.0,6.0,77.1,1.0,6.0,143.5,1.0,6.0,112.1,1.0,6.0,907.3,1.0,5.0,1999.0
3.0,2.0,15.4,3.0,1.0,34.0,2.0,1.0,48.7,2.0,1.0,37.7,2.0,1.0,604.8,2.0,1.0,926.8
3.0,4.0,24.7,3.0,4.0,24.4,2.0,4.0,32.3,2.0,3.0,43.9,2.0,3.0,749.8,2.0,3.0,947.1
3.0,5.0,90.3,3.0,5.0,114.0,2.0,5.0,153.5,2.0,5.0,78.7,2.0,4.0,498.7,2.0,4.0,681.2
3.0,6.0,108.4,3.0,6.0,106.2,2.0,6.0,128.3,2.0,6.0,76.5,2.0,6.0,930.8,2.0,5.0,1741.0
4.0,2.0,21.3,4.0,1.0,21.2,4.0,1.0,60.0,3.0,1.0,103.6,3.0,1.0,1058.0,3.0,1.0,1300.0
4.0,3.0,33.6,4.0,3.0,21.3,4.0,2.0,34.9,3.0,2.0,63.7,3.0,2.0,840.2,3.0,2.0,1013.0
4.0,5.0,96.5,4.0,5.0,72.7,4.0,5.0,135.8,3.0,5.0,172.6,3.0,4.0,837.0,3.0,4.0,1124.0
4.0,6.0,110.4,4.0,6.0,63.8,4.0,6.0,128.9,3.0,6.0,158.4,3.0,6.0,1316.0,3.0,5.0,1861.0
5.0,2.0,205.8,5.0,1.0,270.9,5.0,1.0,384.9,5.0,1.0,125.4,4.0,1.0,590.0,4.0,1.0,934.8
5.0,3.0,285.2,5.0,3.0,253.1,5.0,2.0,239.9,5.0,2.0,98.2,4.0,2.0,437.1,4.0,2.0,676.9
5.0,4.0,289.4,5.0,4.0,170.3,5.0,4.0,231.4,5.0,3.0,178.6,4.0,3.0,752.4,4.0,3.0,1096.0
5.0,6.0,495.2,5.0,6.0,435.3,5.0,6.0,458.4,5.0,6.0,130.4,4.0,6.0,522.8,4.0,5.0,981.5
6.0,2.0,287.9,6.0,1.0,312.5,6.0,1.0,399.1,6.0,1.0,195.7,6.0,1.0,1635.0,5.0,1.0,2426.0
6.0,3.0,388.3,6.0,3.0,257.0,6.0,2.0,245.6,6.0,2.0,129.8,6.0,2.0,1358.0,5.0,2.0,2159.0
6.0,4.0,411.3,6.0,4.0,201.4,6.0,4.0,276.8,6.0,3.0,229.9,6.0,3.0,1845.0,5.0,3.0,2540.0
6.0,5.0,768.5,6.0,5.0,559.4,6.0,5.0,679.0,6.0,5.0,206.8,6.0,4.0,877.8,5.0,4.0,1142.0
