1,松尾 昂明,松尾 昂明.1,2,塩田 雄一,塩田 雄一.1,3,室田 泰史,室田 泰史.1,4,山口 達也,山口 達也.1,5,門間 雄大,門間 雄大.1,6,川上 清人,川上 清人.1
2.0,3.0,40.8,1.0,3.0,311.6,1.0,2.0,131.4,1.0,2.0,62.2,1.0,2.0,353.0,1.0,2.0,2189.0
2.0,4.0,29.5,1.0,4.0,232.2,1.0,4.0,22.6,1.0,3.0,18.3,1.0,3.0,182.5,1.0,3.0,1527.0
2.0,5.0,60.6,1.0,5.0,426.4,1.0,5.0,41.6,1.0,5.0,21.7,1.0,4.0,119.9,1.0,4.0,1152.0
2.0,6.0,173.1,1.0,6.0,800.8,1.0,6.0,151.1,1.0,6.0,81.0,1.0,6.0,332.1,1.0,5.0,2068.0
3.0,2.0,24.5,3.0,1.0,555.3,2.0,1.0,406.6,2.0,1.0,223.0,2.0,1.0,965.7,2.0,1.0,3127.0
3.0,4.0,6.5,3.0,4.0,625.4,2.0,4.0,375.2,2.0,3.0,314.6,2.0,3.0,1641.0,2.0,3.0,4306.0
3.0,5.0,15.8,3.0,5.0,1256.0,2.0,5.0,479.3,2.0,5.0,272.5,2.0,4.0,1090.0,2.0,4.0,2324.0
3.0,6.0,67.4,3.0,6.0,1592.0,2.0,6.0,869.8,2.0,6.0,481.1,2.0,6.0,1382.0,2.0,5.0,2171.0
4.0,2.0,16.7,4.0,1.0,368.9,4.0,1.0,32.8,3.0,1.0,33.8,3.0,1.0,309.7,3.0,1.0,2245.0
4.0,3.0,6.3,4.0,3.0,711.9,4.0,2.0,159.9,3.0,2.0,161.7,3.0,2.0,1054.0,3.0,2.0,3598.0
4.0,5.0,9.8,4.0,5.0,665.0,4.0,5.0,48.3,3.0,5.0,47.9,3.0,4.0,299.5,3.0,4.0,1716.0
4.0,6.0,40.0,4.0,6.0,1152.0,4.0,6.0,130.4,3.0,6.0,143.0,3.0,6.0,803.3,3.0,5.0,2794.0
5.0,2.0,68.1,5.0,1.0,976.5,5.0,1.0,117.5,5.0,1.0,43.1,4.0,1.0,144.8,4.0,1.0,1611.0
5.0,3.0,37.7,5.0,3.0,1662.0,5.0,2.0,437.0,5.0,2.0,178.7,4.0,2.0,566.1,4.0,2.0,2680.0
5.0,4.0,29.9,5.0,4.0,965.7,5.0,4.0,110.1,5.0,3.0,60.4,4.0,3.0,248.5,4.0,3.0,1811.0
5.0,6.0,133.2,5.0,6.0,1467.0,5.0,6.0,307.9,5.0,6.0,97.6,4.0,6.0,442.2,4.0,5.0,1683.0
6.0,2.0,397.4,6.0,1.0,2626.0,6.0,1.0,663.3,6.0,1.0,265.6,6.0,1.0,1467.0,5.0,1.0,3127.0
6.0,3.0,325.5,6.0,3.0,2388.0,6.0,2.0,1306.0,6.0,2.0,543.8,6.0,2.0,1975.0,5.0,2.0,3203.0
6.0,4.0,245.2,6.0,4.0,2020.0,6.0,4.0,522.2,6.0,3.0,340.2,6.0,3.0,1763.0,5.0,3.0,3325.0
6.0,5.0,331.2,6.0,5.0,2366.0,6.0,5.0,793.6,6.0,5.0,296.1,6.0,4.0,1132.0,5.0,4.0,1673.0
