1,大須賀 友,大須賀 友.1,2,片岡 恵里,片岡 恵里.1,3,木場 悠介,木場 悠介.1,4,下河 雅史,下河 雅史.1,5,山本 英志,山本 英志.1,6,山田 亮太,山田 亮太.1
2.0,3.0,16.7,1.0,3.0,105.7,1.0,2.0,84.6,1.0,2.0,232.9,1.0,2.0,272.3,1.0,2.0,858.6
2.0,4.0,29.2,1.0,4.0,199.0,1.0,4.0,38.5,1.0,3.0,116.3,1.0,3.0,103.0,1.0,3.0,601.7
2.0,5.0,29.9,1.0,5.0,202.9,1.0,5.0,34.3,1.0,5.0,116.8,1.0,4.0,219.4,1.0,4.0,982.6
2.0,6.0,42.3,1.0,6.0,295.3,1.0,6.0,69.3,1.0,6.0,156.6,1.0,6.0,198.3,1.0,5.0,689.3
3.0,2.0,12.6,3.0,1.0,279.9,2.0,1.0,252.7,2.0,1.0,491.3,2.0,1.0,668.4,2.0,1.0,1418.0
3.0,4.0,6.8,3.0,4.0,454.3,2.0,4.0,335.0,2.0,3.0,679.0,2.0,3.0,1136.0,2.0,3.0,2920.0
3.0,5.0,6.2,3.0,5.0,529.9,2.0,5.0,371.4,2.0,5.0,762.4,2.0,4.0,1491.0,2.0,4.0,3349.0
3.0,6.0,16.7,3.0,6.0,692.2,2.0,6.0,545.7,2.0,6.0,936.5,2.0,6.0,1480.0,2.0,5.0,3439.0
4.0,2.0,31.6,4.0,1.0,533.0,4.0,1.0,104.3,3.0,1.0,208.4,3.0,1.0,196.9,3.0,1.0,808.6
4.0,3.0,15.6,4.0,3.0,680.5,4.0,2.0,289.8,3.0,2.0,543.9,3.0,2.0,684.1,3.0,2.0,2518.0
4.0,5.0,21.8,4.0,5.0,981.0,4.0,5.0,115.6,3.0,5.0,241.4,3.0,4.0,392.4,3.0,4.0,1619.0
4.0,6.0,36.0,4.0,6.0,1100.0,4.0,6.0,173.7,3.0,6.0,336.4,3.0,6.0,418.6,3.0,5.0,1284.0
5.0,2.0,33.1,5.0,1.0,697.5,5.0,1.0,102.8,5.0,1.0,181.5,4.0,1.0,372.9,4.0,1.0,1384.0
5.0,3.0,13.9,5.0,3.0,1004.0,5.0,2.0,354.9,5.0,2.0,582.5,4.0,2.0,1076.0,4.0,2.0,2947.0
5.0,4.0,29.2,5.0,4.0,1384.0,5.0,4.0,154.8,5.0,3.0,264.1,4.0,3.0,470.3,4.0,3.0,1692.0
5.0,6.0,33.5,5.0,6.0,1564.0,5.0,6.0,204.6,5.0,6.0,246.5,4.0,6.0,454.9,4.0,5.0,1505.0
6.0,2.0,67.4,6.0,1.0,964.8,6.0,1.0,329.2,6.0,1.0,416.7,6.0,1.0,454.9,5.0,1.0,881.0
6.0,3.0,45.1,6.0,3.0,1801.0,6.0,2.0,961.9,6.0,2.0,1178.0,6.0,2.0,1564.0,5.0,2.0,2975.0
6.0,4.0,62.7,6.0,4.0,2104.0,6.0,4.0,458.8,6.0,3.0,605.7,6.0,3.0,696.0,5.0,3.0,1387.0
6.0,5.0,52.6,6.0,5.0,2423.0,6.0,5.0,424.4,6.0,5.0,454.3,6.0,4.0,772.5,5.0,4.0,1567.0
