1,横田 貴満,横田 貴満.1,2,広次 修,広次 修.1,3,浜野 孝志,浜野 孝志.1,4,浮田 圭浩,浮田 圭浩.1,5,溝口　海義也,溝口　海義也.1,6,北川 潤二,北川 潤二.1
2.0,3.0,43.6,1.0,3.0,107.4,1.0,2.0,141.1,1.0,2.0,737.9,1.0,2.0,32.6,1.0,2.0,108.5
2.0,4.0,105.9,1.0,4.0,210.9,1.0,4.0,181.1,1.0,3.0,730.0,1.0,3.0,28.3,1.0,3.0,95.1
2.0,5.0,28.1,1.0,5.0,90.2,1.0,5.0,72.9,1.0,5.0,580.0,1.0,4.0,107.9,1.0,4.0,257.3
2.0,6.0,33.4,1.0,6.0,113.6,1.0,6.0,115.7,1.0,6.0,747.1,1.0,6.0,16.3,1.0,5.0,49.5
3.0,2.0,54.2,3.0,1.0,107.7,2.0,1.0,158.3,2.0,1.0,880.1,2.0,1.0,82.4,2.0,1.0,207.1
3.0,4.0,101.8,3.0,4.0,126.3,2.0,4.0,169.1,2.0,3.0,648.1,2.0,3.0,119.4,2.0,3.0,240.6
3.0,5.0,26.8,3.0,5.0,99.6,2.0,5.0,144.4,2.0,5.0,855.0,2.0,4.0,249.1,2.0,4.0,421.8
3.0,6.0,38.5,3.0,6.0,143.2,2.0,6.0,189.2,2.0,6.0,1035.0,2.0,6.0,89.3,2.0,5.0,170.8
4.0,2.0,185.7,4.0,1.0,339.7,4.0,1.0,253.7,3.0,1.0,654.3,3.0,1.0,73.5,3.0,1.0,202.2
4.0,3.0,204.8,4.0,3.0,242.6,4.0,2.0,256.6,3.0,2.0,635.3,3.0,2.0,143.2,3.0,2.0,293.3
4.0,5.0,150.5,4.0,5.0,327.6,4.0,5.0,224.7,3.0,5.0,568.3,3.0,4.0,216.6,3.0,4.0,422.9
4.0,6.0,176.6,4.0,6.0,377.3,4.0,6.0,295.1,3.0,6.0,706.4,3.0,6.0,80.3,3.0,5.0,155.1
5.0,2.0,16.3,5.0,1.0,128.3,5.0,1.0,100.3,5.0,1.0,666.2,4.0,1.0,358.7,4.0,1.0,731.1
5.0,3.0,14.7,5.0,3.0,130.5,5.0,2.0,177.5,5.0,2.0,841.5,4.0,2.0,510.2,4.0,2.0,859.6
5.0,4.0,67.6,5.0,4.0,263.4,5.0,4.0,216.1,5.0,3.0,674.6,4.0,3.0,380.9,4.0,3.0,769.9
5.0,6.0,8.9,5.0,6.0,138.4,5.0,6.0,114.5,5.0,6.0,591.4,4.0,6.0,334.9,4.0,5.0,573.0
6.0,2.0,24.5,6.0,1.0,192.6,6.0,1.0,196.9,6.0,1.0,893.2,6.0,1.0,26.0,5.0,1.0,56.0
6.0,3.0,26.5,6.0,3.0,196.8,6.0,2.0,267.8,6.0,2.0,1187.0,6.0,2.0,52.9,5.0,2.0,114.0
6.0,4.0,78.7,6.0,4.0,338.0,6.0,4.0,334.7,6.0,3.0,925.9,6.0,3.0,43.9,5.0,3.0,91.4
6.0,5.0,14.9,6.0,5.0,165.0,6.0,5.0,152.8,6.0,5.0,755.3,6.0,4.0,135.0,5.0,4.0,266.6
