1,梶山 涼斗,梶山 涼斗.1,2,中村 将隆,中村 将隆.1,3,坂井 滉哉,坂井 滉哉.1,4,平田 忠則,平田 忠則.1,5,堀之内紀代子,堀之内紀代子.1,6,山崎 哲司,山崎 哲司.1
2.0,3.0,33.0,1.0,3.0,60.6,1.0,2.0,135.7,1.0,2.0,42.0,1.0,2.0,71.4,1.0,2.0,171.5
2.0,4.0,16.4,1.0,4.0,36.2,1.0,4.0,90.5,1.0,3.0,80.2,1.0,3.0,89.6,1.0,3.0,258.7
2.0,5.0,64.0,1.0,5.0,95.4,1.0,5.0,118.4,1.0,5.0,47.5,1.0,4.0,57.4,1.0,4.0,101.4
2.0,6.0,30.4,1.0,6.0,60.1,1.0,6.0,125.3,1.0,6.0,34.5,1.0,6.0,90.1,1.0,5.0,225.4
3.0,2.0,39.3,3.0,1.0,151.9,2.0,1.0,172.7,2.0,1.0,78.9,2.0,1.0,100.1,2.0,1.0,264.6
3.0,4.0,30.3,3.0,4.0,148.8,2.0,4.0,159.2,2.0,3.0,165.2,2.0,3.0,160.2,2.0,3.0,439.7
3.0,5.0,74.8,3.0,5.0,253.0,2.0,5.0,273.1,2.0,5.0,125.1,2.0,4.0,87.6,2.0,4.0,159.1
3.0,6.0,61.8,3.0,6.0,169.7,2.0,6.0,194.2,2.0,6.0,80.6,2.0,6.0,139.8,2.0,5.0,415.1
4.0,2.0,17.6,4.0,1.0,66.0,4.0,1.0,114.5,3.0,1.0,156.4,3.0,1.0,128.1,3.0,1.0,455.4
4.0,3.0,32.5,4.0,3.0,131.8,4.0,2.0,138.4,3.0,2.0,204.2,3.0,2.0,206.8,3.0,2.0,475.1
4.0,5.0,39.4,4.0,5.0,126.9,4.0,5.0,135.3,3.0,5.0,207.0,3.0,4.0,154.4,3.0,4.0,315.4
4.0,6.0,18.5,4.0,6.0,69.7,4.0,6.0,88.7,3.0,6.0,126.0,3.0,6.0,230.2,3.0,5.0,418.9
5.0,2.0,123.3,5.0,1.0,265.8,5.0,1.0,193.1,5.0,1.0,87.4,4.0,1.0,82.3,4.0,1.0,98.5
5.0,3.0,115.8,5.0,3.0,429.8,5.0,2.0,409.2,5.0,2.0,146.9,4.0,2.0,101.8,4.0,2.0,119.1
5.0,4.0,87.9,5.0,4.0,251.0,5.0,4.0,348.9,5.0,3.0,220.9,4.0,3.0,155.6,4.0,3.0,226.1
5.0,6.0,110.8,5.0,6.0,285.6,5.0,6.0,297.9,5.0,6.0,59.7,4.0,6.0,64.7,4.0,5.0,113.6
6.0,2.0,49.1,6.0,1.0,168.4,6.0,1.0,229.5,6.0,1.0,50.8,6.0,1.0,126.1,5.0,1.0,271.8
6.0,3.0,88.0,6.0,3.0,269.6,6.0,2.0,280.4,6.0,2.0,72.4,6.0,2.0,167.5,5.0,2.0,334.2
6.0,4.0,35.5,6.0,4.0,108.0,6.0,4.0,166.5,6.0,3.0,115.9,6.0,3.0,214.1,5.0,3.0,454.5
6.0,5.0,99.3,6.0,5.0,275.7,6.0,5.0,253.5,6.0,5.0,50.4,6.0,4.0,70.8,5.0,4.0,151.5
